round,unc,lev,cert,cert_orc
0.000000000000000000e+00,2.022753442918186373e+00,2.022753442918185485e+00,2.022753442918184597e+00,2.022753442918185041e+00
1.000000000000000000e+00,2.023459810147565818e+00,1.476022903029654110e+00,1.499423298640910840e+00,1.452278864849001483e+00
2.000000000000000000e+00,2.011874899221584911e+00,1.223792193094446479e-01,8.987735221070272118e-01,1.090705404007634993e-01
3.000000000000000000e+00,1.792276498771389948e+00,1.138764804838393596e-01,6.748028149509113227e-01,6.249972469822127896e-02
4.000000000000000000e+00,1.104462581540062827e+00,2.654995825633792439e-01,2.785345179030169205e-01,4.540250916589483321e-02
5.000000000000000000e+00,1.012933090557217586e+00,3.971667017745937889e-01,3.095101484593942298e-01,2.682060625157144801e-02
6.000000000000000000e+00,9.124454806932433826e-01,4.101122149380395099e-01,2.465206619551623124e-01,3.169709150686900179e-02
7.000000000000000000e+00,7.684386198809990409e-01,4.188950310857595394e-01,1.311748849604965350e-01,2.146184924523861920e-02
8.000000000000000000e+00,2.707149691011486725e-01,4.231097646251670286e-01,8.409488151211971796e-02,1.481790887124582665e-02
9.000000000000000000e+00,3.195323642067644521e-01,4.830053377506779988e-01,9.218689318311236447e-02,1.903630934866135799e-02
1.000000000000000000e+01,2.662084918785732612e-01,5.387864208995513104e-01,9.059248818056189756e-02,1.694398126979680674e-02
1.100000000000000000e+01,1.945594574784612618e-01,5.604279606743500786e-01,6.615954646445693088e-02,1.408865011693191845e-02
1.200000000000000000e+01,1.422230861662665546e-01,5.689999617291683354e-01,8.130200210459131993e-02,1.181800468076237703e-02
