name,total,sd_total,teacherlike,sd_teacherlike,frac_teacherlike,dwellB_ps,rmse,lower,upper,pred,diverged
AL-lev-r0-s1,3.6794,0.0310,3.1366,0.0321,0.5743,3.0558,148.6116,-2.0755,1.9091,1.8414,0.0000
AL-lev-r1-s1,1.4591,0.0437,0.5298,0.0595,0.3847,26.3764,140.8264,-1.5380,0.3255,0.3264,0.0000
AL-lev-r2-s1,1.6420,0.0406,0.1778,0.0638,0.2370,22.1802,134.4871,-1.3846,0.2392,0.2975,0.0000
AL-lev-r3-s1,2.3085,0.0343,-0.1412,0.0647,0.0833,11.8263,130.9563,-1.3291,-0.0486,0.0728,0.0000
AL-lev-r3-s2,2.9599,0.0351,-0.3237,0.0966,0.0397,5.9361,128.4329,-1.3465,-0.0672,-0.1279,0.0000
AL-lev-r3-s3,2.1323,0.0391,-0.1634,0.0827,0.1058,13.8515,133.6698,-1.6314,-0.0087,-0.0333,0.0000
AL-random-r1-s1,3.0810,0.0327,2.7582,0.0341,0.6976,5.2830,140.3911,-0.9178,2.0722,1.9509,0.0000
AL-random-r2-s1,2.8424,0.0327,1.0331,0.0445,0.1580,6.8930,132.9419,-1.3407,0.8142,0.8854,0.0000
AL-random-r3-s1,2.3674,0.0356,1.3180,0.0446,0.3421,10.7277,129.8708,-0.9497,1.3055,1.2043,0.0000
AL-random-r3-s2,3.5876,0.0314,0.7668,0.0481,0.0624,3.5301,132.2101,-2.9285,1.4044,1.3058,0.0000
AL-random-r3-s3,3.5933,0.0318,1.6488,0.0409,0.1440,3.3512,134.0102,-2.1952,1.0276,0.9300,0.0000
AL-two-r1-s1,2.7175,0.0396,1.2719,0.0624,0.2251,7.3380,168.0212,-1.1842,1.1776,1.3305,0.0000
AL-two-r1-s2,3.7176,0.0331,2.7719,0.0377,0.3805,2.7391,172.3246,-1.8392,1.9160,2.0882,0.0000
AL-two-r1-s3,1.7753,0.0554,0.9844,0.0757,0.4502,18.6346,165.1600,-1.4654,nan,1.1211,0.0000
AL-two-r2-s1,1.7193,0.0555,1.5195,0.0606,0.7926,19.7463,161.0880,-0.9315,1.1747,1.4243,0.0000
AL-two-r2-s2,1.8444,0.0535,1.6854,0.0569,0.8468,17.4114,184.6661,-3.8723,1.8252,1.8197,0.0000
AL-two-r2-s3,nan,nan,nan,nan,nan,nan,157.2665,-1.4058,0.6918,1.1217,8.0000
AL-two-r3-s1,1.0795,0.0623,0.9706,0.0658,0.8720,38.0589,161.0455,-1.4149,0.4832,0.6745,0.0000
AL-two-r3-s2,1.9158,0.0582,1.6876,0.0641,0.7792,16.0453,203.1691,-1.2678,1.6666,1.5724,0.0000
AL-two-r3-s3,0.6687,0.0626,0.1265,0.0788,0.5710,59.1440,154.4904,-1.3712,-0.1682,0.4438,0.0000
AL-unc-r1-s1,3.9612,0.0309,3.5700,0.0316,0.6623,2.2590,139.4288,-2.3887,2.3116,2.2083,0.0000
AL-unc-r2-s1,1.8902,0.0369,0.8097,0.0478,0.3381,17.7122,129.9574,-2.5645,0.7945,0.7965,0.0000
AL-unc-r3-s1,1.5318,0.0407,0.6265,0.0530,0.4014,24.9765,127.3229,-1.4391,0.6176,0.6693,0.0000
AL-unc-r3-s2,2.4803,0.0357,0.9038,0.0532,0.1947,9.9990,125.8100,-1.4594,0.8528,0.9053,0.0000
AL-unc-r3-s3,2.4180,0.0373,1.9508,0.0416,0.6086,10.3565,131.7333,-0.5693,0.7033,1.5234,0.0000
