force_rmse_meVA,energy_rmse_kT,dV_sd_on_paths_kT,bracket_lower,bracket_upper,first_order,per_path,basinB_minus_basinA_offset_kT,series_law
1.486116249375079406e+02,0.000000000000000000e+00,1.652385713497410258e+00,-2.075533165620533360e+00,1.909101306154225464e+00,1.959340290510774851e+00,3.938933640822608329e-01,1.627197700521371693e-01,1.841394136328016851e+00
1.408263606912557577e+02,0.000000000000000000e+00,1.271323929067528224e+00,-1.538006742524399506e+00,3.255134214182554553e-01,6.827544419603386316e-01,-7.348417786462672074e-01,3.436101050918067834e-01,3.264382612469450828e-01
1.344871002950147556e+02,0.000000000000000000e+00,1.179005619525187454e+00,-1.384607669758700643e+00,2.391691155950973480e-01,5.539037765337462282e-01,-3.962068528334825590e-01,2.384048811546761459e-01,2.974657881104267876e-01
1.309562541284734891e+02,0.000000000000000000e+00,1.097214355196752589e+00,-1.329055142605839235e+00,-4.858812215888752561e-02,3.550450075511227266e-01,-1.190650358710772627e+00,3.799258130788479154e-02,7.275220055193420965e-02
1.486116249375079406e+02,0.000000000000000000e+00,1.652385713497410258e+00,-2.075533165620533360e+00,1.909101306154225464e+00,1.959340290510774851e+00,3.938933640822608329e-01,1.627197700521371693e-01,1.841394136328016851e+00
1.403911227499167182e+02,0.000000000000000000e+00,1.493620465779326389e+00,-9.177707346104011510e-01,2.072172821297717960e+00,2.143260277384094081e+00,1.132073991075396746e+00,4.251632001024512886e-01,1.950917274922221223e+00
1.329419003186142731e+02,0.000000000000000000e+00,1.359627244188100992e+00,-1.340664535216724573e+00,8.141959018389597347e-01,1.057899245118967491e+00,-3.030931431078206506e-01,2.921770954698549305e-02,8.854267788327945254e-01
1.298707705524416554e+02,0.000000000000000000e+00,1.448762255084643291e+00,-9.496523623241905909e-01,1.305535499536975230e+00,1.243038283483948181e+00,1.092453038150581479e-01,3.399306075761654999e-01,1.204296834915324688e+00
1.486116249375079406e+02,0.000000000000000000e+00,1.652385713497410258e+00,-2.075533165620533360e+00,1.909101306154225464e+00,1.959340290510774851e+00,3.938933640822608329e-01,1.627197700521371693e-01,1.841394136328016851e+00
1.394288417248897360e+02,0.000000000000000000e+00,1.618147970149723003e+00,-2.388691057486690195e+00,2.311592120976135423e+00,2.071886340502967716e+00,1.242276572101175258e+00,2.273956653393412186e-01,2.208342816711450052e+00
1.299573917612474929e+02,0.000000000000000000e+00,1.455549073526236192e+00,-2.564545763648022447e+00,7.945055864183974137e-01,5.932739015111440084e-01,-1.533889712444923559e-01,-1.741923281962953242e-03,7.965392848798049652e-01
1.273228877258985960e+02,0.000000000000000000e+00,1.335692956688918631e+00,-1.439131407211612590e+00,6.175643694706748343e-01,3.995457095258765912e-01,-2.794392927039908159e-01,-9.290795880852886768e-02,6.693348846635679417e-01
