exact,lower,upper,var_nu
2.071359768849313429e-02,2.071311071435011364e-02,2.104077534809353431e-02,3.276705665585932922e-04
-1.189388822934925490e-02,-1.189404224811346431e-02,-1.181067734728549062e-02,8.336516160665972096e-05
-4.879218447249826095e-05,-4.896878595805201416e-05,1.065049929150455483e-04,1.554751220792871069e-04
6.162093948748424005e-03,6.161697349219159500e-03,6.209776599934555344e-03,4.807925699945589447e-05
-1.969242850314937288e-01,-1.969223066785594500e-01,-1.945311526695547300e-01,2.391065395718873846e-03
-1.180401049557817245e-02,-1.180384609043265767e-02,-1.180384418545661097e-02,1.904882087772349822e-09
7.932962786646324468e-03,7.932623292848143062e-03,7.934023784710815541e-03,1.400491307857453880e-06
2.462557225529245762e-04,2.458724454660514772e-04,3.392810807593970874e-04,9.340801658073389431e-05
1.953367758479822964e-04,1.953709460999030595e-04,1.954256557529699843e-04,5.470964434755482085e-08
2.568956251993781068e-02,2.568747506786035750e-02,3.014379119029294424e-02,4.458201212791198034e-03
-2.893497826580453472e-02,-2.893487096437969558e-02,-2.864174354627791602e-02,2.931310905588773146e-04
2.344083198235531621e-04,2.339530094133811407e-04,2.341045740718451079e-04,1.515646472193188373e-07
-1.043159594456711603e-03,-1.043590527633929009e-03,-1.043412950123872012e-03,1.775773965117074097e-07
-6.031137986285936385e-03,-6.031085029689109943e-03,-6.031084423256152273e-03,6.064290659692445560e-10
1.450328581974484089e-02,1.450283093509030508e-02,1.450711498324927864e-02,4.284047881899432443e-06
5.866354969593560661e-03,5.866091220129886902e-03,6.137160553869609042e-03,2.710650831215032997e-04
1.162380487098859105e-01,1.162359733138527695e-01,1.172550861794634802e-01,1.018844657518685201e-03
4.083013514187491810e-02,4.082935012669209468e-02,4.089481836184276353e-02,6.546789320072592198e-05
-1.774359704089085651e-02,-1.774368123543618170e-02,-1.773098243141608271e-02,1.269881841826232862e-05
-5.056292786461179592e-04,-5.060994149519580827e-04,-5.055766393915663709e-04,5.227752292630037611e-07
-5.416383553970985365e-02,-5.416339434119421536e-02,-5.412152146851723078e-02,4.187043992548372071e-05
2.572870269764580553e-01,2.572706676801984615e-01,3.129546841568423554e-01,5.578135033940622572e-02
-5.545385029225624422e-03,-5.545899830595852481e-03,-5.419010394074014886e-03,1.268882649333420514e-04
-1.517326876034529688e-03,-1.517285347064248162e-03,-1.516243855884740485e-03,1.041488913703642146e-06
-1.050554455602255343e-03,-1.051112395424348310e-03,-1.051109918115100163e-03,2.477305626308441583e-09
-2.247156024663383295e-02,-2.247195055629670063e-02,-2.151755270685316163e-02,9.541994519060485822e-04
-8.312220883544940708e-03,-8.312388058658954845e-03,-6.392659758265009998e-03,1.919992545210689235e-03
-4.426900798054045350e-02,-4.426845332057878502e-02,-4.413993319486578942e-02,1.285211789825549443e-04
4.697212812204336861e-03,4.696755111276326201e-03,4.704379130031181855e-03,7.624017692152152944e-06
1.085413540863056081e-02,1.085379915577365344e-02,1.085735913221911458e-02,3.559928530340616032e-06
-4.163853675330168977e-04,-4.165887041590872301e-04,-4.164904226008419533e-04,9.828154196765100355e-08
1.146301584916977444e-02,1.146272905895941337e-02,1.146650224579877364e-02,3.773125831006399893e-06
-1.950274270419026512e-02,-1.950289465416468748e-02,-1.912467687444541209e-02,3.782227401617205406e-04
4.212417198211611605e-03,4.211696510429763576e-03,4.884261929954910805e-03,6.726173340137254521e-04
1.951964886258320334e-02,1.951883152725664844e-02,1.952505414918862675e-02,6.222616321839296737e-06
8.661442673716492069e-02,8.661255535528994409e-02,8.796227173887230522e-02,1.347894316846451074e-03
-1.807619863761124801e-03,-1.807613538478245732e-03,-1.723441006373019335e-03,8.417299628554746223e-05
-6.355827746955104718e-02,-6.355797156482280441e-02,-6.167540166308965732e-02,1.882866771518832728e-03
1.055512042317515234e-02,1.055487172440567993e-02,1.055594781486289546e-02,1.076089646660929945e-06
5.294727436378476176e-02,5.294659404775346745e-02,5.366219758574226201e-02,7.155497836132064440e-04
-3.905082876796735214e-02,-3.905061370024606043e-02,-3.901610257093549722e-02,3.451034522791033893e-05
-1.124216321471891572e-02,-1.124136656306962828e-02,-1.042559558988931379e-02,8.157200331176191373e-04
-1.005754400080364902e-01,-1.005746850092750361e-01,-9.971473054904345101e-02,8.598367392195761750e-04
1.245838170122734040e-01,1.245815702821861382e-01,1.255889593168721674e-01,1.007378651881836017e-03
-6.313936670609068954e-04,-6.319486388170075537e-04,-6.319476510552450880e-04,9.877610675331316423e-10
-1.127531738641870535e-01,-1.128141900577813994e-01,6.947725676113067905e-01,8.722312518822992189e-01
3.348661369230835488e-02,3.348600143815171071e-02,3.409717600878911514e-02,6.112167143988351571e-04
4.097012278739414932e-03,4.096810443671085322e-03,4.236825726166640327e-03,1.399999725853627499e-04
1.202748300104465248e-02,1.202722438265287595e-02,1.202722492801000867e-02,5.453283714044751270e-10
5.309540889157289860e-04,5.294676803579733467e-04,3.351764249246513751e-03,2.822731082902161029e-03
2.547232870944440668e-03,2.547183579709925635e-03,2.551034426797277408e-03,3.850845350017193937e-06
-4.980132468246420278e-05,-4.977001482856847382e-05,-3.304153810733878247e-05,1.672844939997375325e-05
1.607417253660810980e-02,1.607347129501104227e-02,1.607347343009371196e-02,2.134972702578108301e-09
-2.358419147766123436e-02,-2.358418497601038472e-02,-2.311778670299170085e-02,4.664171611357756245e-04
1.609457064957824091e-02,1.609411506681288073e-02,1.624157089368278434e-02,1.474549047307599698e-04
-3.074748792764796235e-02,-3.074772750101020455e-02,-3.030574420567972924e-02,4.419859215460276297e-04
-3.852099253750965180e-02,-3.852099336323946271e-02,-3.851954082251136946e-02,1.452518686437262003e-06
3.811103312348761984e-01,3.810668992142342004e-01,5.851014236375204902e-01,2.069884427395158322e-01
-1.175161474538170998e-03,-1.175260816412695931e-03,-1.168480299710611100e-03,6.780521729245002661e-06
-4.695041351322964268e-02,-4.695090117427862947e-02,-4.503372993273917213e-02,1.917361402371864365e-03
-1.050994708686305013e-02,-1.051006403265874675e-02,-1.050106489137443352e-02,8.999123079937199098e-06
6.159183216563335339e-02,6.159062929754526017e-02,6.261595123351677838e-02,1.025396563853347076e-03
-3.627705449086729428e-02,-3.627724132317952654e-02,-3.624820865336957770e-02,2.903135909684948537e-05
7.765230366490762093e-02,7.765089309104460102e-02,7.806748903627798442e-02,4.164854385772659429e-04
1.095020612294374078e-02,1.094998864210537659e-02,1.094999582587699236e-02,7.183609627245411609e-09
-4.589671554828722577e-02,-4.589625814806482657e-02,-4.579690285940660188e-02,9.935582107631446926e-05
-4.746631272862811626e-03,-4.746387951460507952e-03,-4.636530982163259394e-03,1.098566960334455334e-04
3.657151899864225213e-03,3.657119856705459953e-03,3.705564063005219698e-03,4.844433464495841732e-05
2.151068578353860367e-02,2.151020149098122752e-02,2.157496578381801894e-02,6.476428495229706096e-05
-3.048921424179165760e-03,-3.049278950683840129e-03,-3.016534373962847203e-03,3.274437895957854454e-05
2.485843104227396932e-02,2.485737597532065857e-02,2.501016100065168307e-02,1.527832138740602846e-04
-5.439958286467693263e-03,-5.440696305271095802e-03,-5.274644622810608849e-03,1.660428353363467319e-04
-7.948541831382441303e-02,-7.948426420533191705e-02,-7.904607774968058775e-02,4.380726338522078793e-04
4.072069823907163190e-04,4.069915681485015459e-04,4.069948744340248499e-04,3.306284076338421594e-09
1.814911759870174723e-02,1.814839952143648683e-02,1.815648747003841684e-02,8.085420424861921343e-06
1.533046135976338063e-02,1.533177691029185066e-02,1.850773753202850785e-02,3.175313483652130852e-03
9.688328092956048632e-02,9.688168541016908830e-02,9.727159045495270551e-02,3.898016337027308646e-04
1.108140031126468583e-02,1.108118470056622742e-02,1.121535803913579002e-02,1.341719382391364348e-04
1.084947900655236670e-02,1.084930018122476011e-02,1.108311548547865830e-02,2.338102974222666512e-04
1.828503887853309695e-02,1.828454910333271802e-02,1.829504293926571823e-02,1.049382887161278728e-05
-2.777894886248631276e-02,-2.777902948619895979e-02,-2.608612988398867003e-02,1.693058120485177063e-03
8.525576757768446286e-04,8.520474229618574692e-04,8.520483233320171913e-04,9.003609057160822740e-10
3.191245074278313207e-03,3.190257074073612857e-03,3.679296702568776029e-03,4.890653555621315030e-04
-1.893717625675498013e-03,-1.894052116822339798e-03,-1.893366585810269493e-03,6.855248908065586596e-07
-6.921840288405036248e-03,-6.922489668662819111e-03,-6.903253798140951587e-03,1.923590014628827181e-05
-4.566863638572996043e-02,-4.566847184436249873e-02,-4.547577354423835289e-02,1.926983969205100676e-04
4.982086110930162778e-03,4.981898419667474612e-03,5.038788687445292305e-03,5.688999566394974247e-05
1.180790943703259079e-02,1.180748842017521026e-02,1.183966479729149646e-02,3.217614588766515998e-05
3.737772819404877166e-04,3.734068524641134682e-04,7.755768495487334879e-04,4.021894151115752215e-04
1.157237052693185731e-03,1.156775272865239595e-03,1.306267954091784589e-03,1.494819097403323296e-04
-1.691150140579971567e-02,-1.691127488927781850e-02,-1.691127290351466736e-02,1.985639474096877609e-09
4.540903807130650290e-03,4.540215636452762243e-03,4.563450370098018349e-03,2.323472461514044452e-05
-1.682062621063977817e-02,-1.682053060546757559e-02,-1.679649518416673204e-02,2.403501457240223751e-05
-9.008692793897229989e-02,-9.008437262898585929e-02,-8.376957746038861397e-02,6.318332282878237616e-03
2.295591010510842148e-02,2.295559937970327591e-02,2.297999996269751988e-02,2.440011570696310481e-05
6.202718385503013486e-03,6.202382175541407139e-03,6.225603261826648596e-03,2.321861601523122316e-05
9.679164477705828537e-03,9.678384275425626695e-03,9.884987925945108375e-03,2.066045663180735611e-04
2.571885253650833727e-03,2.571370386037453645e-03,2.606922398823385140e-03,3.555182162251388614e-05
5.106997906996577942e-03,5.106538017252098931e-03,5.106538069380367646e-03,5.212536502667445996e-11
-3.678126625781436530e-03,-3.678180904219881774e-03,-3.677755105662900304e-03,4.257984360891256063e-07
-1.182271232346271579e-02,-1.182307753140994164e-02,-1.182303032293934020e-02,4.720773081373599100e-08
-2.171876714818847531e-02,-2.171888107773504994e-02,-2.119756892958430186e-02,5.211527027123764476e-04
5.027996168214814848e-02,5.027868588011707995e-02,5.220908909339493087e-02,1.930385195565163846e-03
-1.289152887927478286e-01,-1.289139724755031524e-01,-1.287839309351490602e-01,1.300313472077260736e-04
9.140548833911148197e-02,9.140416750827924652e-02,9.686880216374507691e-02,5.467579382904385471e-03
-5.589744110094833213e-02,-5.589678025841701703e-02,-5.568081403593996836e-02,2.159571098164453720e-04
-2.689362525860375386e-02,-2.689299143917432688e-02,-2.435506349889060562e-02,2.537882587844588096e-03
-9.502072336906213293e-04,-9.507484788042494615e-04,-8.712865819286137823e-04,7.946236400077939387e-05
1.108843902322653729e-02,1.108820899308881822e-02,1.110529132179566454e-02,1.708159059271804913e-05
2.685941932106383420e-02,2.685873976304123389e-02,2.694726293548187213e-02,8.852384303047221899e-05
7.875295860102382584e-02,7.875133113576382460e-02,7.961835770297570614e-02,8.669451323403203850e-04
1.446922514742352874e-02,1.446831354793321270e-02,1.468862572181190568e-02,2.203144642670545883e-04
3.789436426959409410e-01,3.788814569585560732e-01,6.888043855135752569e-01,3.105636375290336537e-01
-7.543118620449094361e-04,-7.548164995656867285e-04,-4.792477787703380669e-06,7.500918993357561871e-04
-8.274331216766191155e-03,-8.273944685102762805e-03,-8.135017115619468456e-03,1.389285873077958974e-04
-1.028900838361502673e-01,-1.028945360029339673e-01,-8.698149407373018116e-02,1.594076961579232732e-02
-3.348693194346061969e-02,-3.348715601274037529e-02,-3.348419071916654971e-02,2.965138879254531598e-06
-2.643592327022082147e-02,-2.643556560796670590e-02,-2.643145574914394780e-02,4.109841461208438258e-06
-5.607580589136123596e-03,-5.608094760402817201e-03,-5.606252416196883318e-03,1.842339474854904388e-06
2.484956791163956367e-03,2.484488238874503485e-03,2.887640616242118444e-03,4.031296693918481671e-04
-3.343198213935658168e-03,-3.343287755970875651e-03,-3.332703853177619059e-03,1.058383677479933651e-05
5.308259011059729589e-03,5.307965587915846641e-03,5.311234981066736277e-03,3.269390689659305022e-06
-5.581014119279452228e-03,-5.581417277603208625e-03,-5.393066998301368833e-03,1.883511166847677098e-04
2.246107531858322279e-02,2.246075366766478454e-02,2.248706787220700748e-02,2.631370626218105266e-05
-8.831279271863616553e-02,-8.831206101160522792e-02,-8.758900418778241270e-02,7.229442865239263253e-04
-2.722657804945019869e-02,-2.722609216353218120e-02,-2.722596175578194042e-02,1.304060976547184752e-07
1.629251536434702177e-03,1.629167089843029876e-03,1.629167167384336368e-03,7.754069576051558579e-11
1.062340932939072726e-03,1.061808294125686503e-03,1.260773585505442496e-03,1.989597813800499278e-04
7.644579919864643962e-03,7.635231087571575127e-03,3.592538001921928570e-02,2.833320062738902897e-02
2.677559002002712907e-01,2.677509342759688549e-01,2.732245408484046401e-01,5.473311170778715623e-03
-1.582117294337840041e-01,-1.582102980833196282e-01,-1.572395138545641669e-01,9.708542853225555656e-04
2.916640504815470967e-03,2.916642846352541542e-03,2.921073940959884388e-03,4.431093271108843379e-06
-4.319134696482271676e-03,-4.319160457528994565e-03,-4.318094268727775895e-03,1.066187438540424614e-06
1.653644568706713136e-03,1.653268017139806340e-03,1.703420165424242641e-03,5.015189407959899317e-05
-6.991540459102660483e-04,-6.992440106950965168e-04,-6.972817942506158049e-04,1.962195456793309104e-06
5.236076999649576756e-03,5.235878960852592169e-03,5.237424841157107581e-03,1.545863238663061990e-06
-4.703082287090881719e-02,-4.703063845412366883e-02,-4.653043474573936855e-02,5.002250988427769289e-04
-2.252472858886325757e-02,-2.252440128176909015e-02,-2.252386612867465776e-02,5.351342594925002588e-07
3.332277052916986920e-02,3.332196309085731084e-02,3.334722527587218044e-02,2.526157591394995324e-05
-1.776343670217096424e-02,-1.776858109430977731e-02,5.195827109415956414e-03,2.302561034755797736e-02
1.274554399349225701e-02,1.274526563105589198e-02,1.277978644148992059e-02,3.451923318033458507e-05
-9.066428164234748011e-02,-9.066371450401222720e-02,-9.059246422973615820e-02,7.124783020527830722e-05
1.507844333814747570e-02,1.507783150821452242e-02,1.512843985235277217e-02,5.060756343118611833e-05
-7.307657900196661005e-02,-7.307622757268003588e-02,-7.302884568615890248e-02,4.737821461814486308e-05
1.050554656928248849e-02,1.050536492029607166e-02,1.052225198009773370e-02,1.688693300452726522e-05
1.735780649929805769e-02,1.735756065676980972e-02,1.750506718605893478e-02,1.475078218496742076e-04
-7.439489289956679845e-03,-7.438868195914931369e-03,-6.964328530975667612e-03,4.745518845879017115e-04
-2.388385403121521047e-02,-2.388311645535484695e-02,-2.315871047325055582e-02,7.244151337086532621e-04
2.053267429117339518e-02,2.053225567501715601e-02,2.091228687733094269e-02,3.800363517741816612e-04
-1.537815164830366559e-02,-1.537785521838123254e-02,-1.535408047252038131e-02,2.377436556389357517e-05
-1.392455595500497996e-03,-1.392825355406534160e-03,-9.622216462397857259e-04,4.306194899455219023e-04
1.177484930557824066e-03,1.177322906555834485e-03,1.177642601613783542e-03,3.196934997039870948e-07
-5.050014286142059071e-03,-5.050208375657450934e-03,-5.030671736642322242e-03,1.953648409495953349e-05
-4.240466630818990820e-03,-4.240968483930677123e-03,-3.481848578413553226e-03,7.591883740351028538e-04
1.213660285416045814e-01,1.213641422337631282e-01,1.218908596313623416e-01,5.267304944598061008e-04
4.748309244531572978e-03,4.747902099782114888e-03,4.802388067221266196e-03,5.448582352883497371e-05
1.243786451353508932e-02,1.243761833115230447e-02,1.264611857018386326e-02,2.085045934614266293e-04
1.478768337785918256e-02,1.478721290938942411e-02,1.479487537519905485e-02,7.662438567357864153e-06
-3.671512597505397846e-04,-3.675760796784747477e-04,-3.675404456920685053e-04,3.563398188990739648e-08
-1.230569242584677431e-04,-1.231706156694907864e-04,-1.915168860081202518e-05,1.040189347260591333e-04
3.107328283616751091e-02,3.107244414810409611e-02,3.108001264319922713e-02,7.568496566261513031e-06
-1.945739381867757703e-02,-1.945769586442423413e-02,-1.926264930897387748e-02,1.950410852788326524e-04
-1.051984217474916800e-01,-1.052444775810999489e-01,4.169300308830884982e-01,4.953555056725199579e-01
2.080206412596570867e-03,2.079973270756431750e-03,2.407198808134431919e-03,3.272340372519699867e-04
1.063411716294555831e-02,1.063333275089145026e-02,1.110706216081724582e-02,4.737535467305205999e-04
3.570458236425382709e-02,3.570326162861806735e-02,3.647013593430561279e-02,7.667786058350374882e-04
-5.695513768302746214e-03,-5.695596151346597399e-03,-5.634752159938893543e-03,6.084347333488453907e-05
-8.290854675404557561e-02,-8.290816084549663956e-02,-8.143614645076453773e-02,1.472177620961294181e-03
1.321467819358254116e-02,1.321410980313202956e-02,1.322111301433394510e-02,7.003099619893879285e-06
9.713845106636743998e-02,9.713718152537539896e-02,9.748426714975623464e-02,3.470311676989204291e-04
-4.034012173030575993e-02,-4.033992139868212978e-02,-3.780362954777331808e-02,2.536574518206470563e-03
-2.534903504033586899e-02,-2.534885535028309420e-02,-2.523104287842273252e-02,1.178131899796110410e-04
7.610789486905173047e-03,7.610261160343825132e-03,7.862485200049909584e-03,2.522165694477163968e-04
2.289623906049359091e-04,2.289608184043158369e-04,2.314166467563772084e-04,2.455807468600616073e-06
2.108300198062466532e-02,2.108221357166949542e-02,2.137617619327762328e-02,2.939663760399326966e-04
2.545009844221374001e-04,2.542621729944949220e-04,2.543972813906778051e-04,1.351083758444366109e-07
4.335003629164455724e-02,4.334934520373592143e-02,4.384468525351643137e-02,4.953536655806054130e-04
-3.366129146729604504e-02,-3.366128241257003439e-02,-3.347140407479175933e-02,1.898809254827129450e-04
-1.192156944223471231e-02,-1.192154276775742386e-02,-1.192085747092573936e-02,6.852865595200360656e-07
-7.747516542303333614e-03,-7.748302874541815148e-03,-7.044959637153941530e-03,7.022252029783482199e-04
-9.757793530969376822e-03,-9.757760736418909231e-03,-9.752161441309045373e-03,5.599163107091594549e-06
2.895006814565636438e-02,2.894671183226645017e-02,3.247962131733632407e-02,3.526309743504997193e-03
-1.506903460152019328e-03,-1.507113177928790220e-03,-1.506881699462562368e-03,2.314784431841981890e-07
-1.177627505048569934e-04,-1.179774140521415709e-04,7.396157044615547359e-04,8.575895362376452892e-04
-1.006868447462213288e-02,-1.006854426960032689e-02,-9.971175229141815421e-03,9.736897968841588878e-05
-1.769973828021596807e-01,-1.770545746522077246e-01,-1.476678913269957247e-02,1.584408200568376557e-01
-2.961777600847718267e-02,-2.961624967135375805e-02,-2.152758026890554469e-02,8.082376569413577544e-03
