block_kT,seed,exact,frozen_lower,channel_estimate,dirichlet_upper
1.000000000000000000e+00,1.000000000000000000e+00,-2.412355934065436684e-03,-2.018650702076496550e-02,-1.214968006425309888e-02,7.907706187576790668e-02
1.000000000000000000e+00,2.000000000000000000e+00,1.475502572010794489e-01,1.200933982435343772e-01,1.374633627065550701e-01,2.134323996549300495e-01
1.000000000000000000e+00,3.000000000000000000e+00,-6.346503630754322944e-02,-7.457917069866548676e-02,-7.454704817849278076e-02,2.339429413532745361e-02
3.000000000000000000e+00,1.000000000000000000e+00,-1.077373272892343081e+00,-1.314053424561625993e+00,-1.116738988280778999e+00,-5.800387818617673830e-01
3.000000000000000000e+00,2.000000000000000000e+00,-9.506361065924757714e-01,-1.145651044450605394e+00,-9.879938603990766621e-01,-4.753550299999190765e-01
3.000000000000000000e+00,3.000000000000000000e+00,-1.079324811039203302e+00,-1.396922458798678157e+00,-1.116001777809764839e+00,-6.088254603193593573e-01
6.000000000000000000e+00,1.000000000000000000e+00,-1.900987548443020758e+00,-3.752926811249877481e+00,-1.943972430600340306e+00,-1.044002833991226398e+00
6.000000000000000000e+00,2.000000000000000000e+00,-1.833402422123744602e+00,-3.571555188491023713e+00,-1.878366826614042528e+00,-9.694269953062861767e-01
6.000000000000000000e+00,3.000000000000000000e+00,-1.798290546732346673e+00,-3.844145292278299486e+00,-1.832120875149726880e+00,-1.040604994627452928e+00
9.000000000000000000e+00,1.000000000000000000e+00,-2.040459006222455685e+00,-6.409796464484302625e+00,-2.051344668895868750e+00,-1.247348443300527965e+00
9.000000000000000000e+00,2.000000000000000000e+00,-1.989706936755653910e+00,-6.225431723996599942e+00,-2.000514236427362036e+00,-1.187383271246688965e+00
9.000000000000000000e+00,3.000000000000000000e+00,-1.910862857247800584e+00,-6.501233900942159138e+00,-1.917628022068937899e+00,-1.224807350264253802e+00
1.200000000000000000e+01,1.000000000000000000e+00,-2.052111740858102440e+00,-9.155803083952243071e+00,-2.052854928434275639e+00,-1.359650902083655133e+00
1.200000000000000000e+01,2.000000000000000000e+00,-2.003195495640444079e+00,-8.970145605623709884e+00,-2.002887507801839995e+00,-1.307679984058280898e+00
1.200000000000000000e+01,3.000000000000000000e+00,-1.919309607689739128e+00,-9.247079983596384167e+00,-1.917875284623728138e+00,-1.324854820048822823e+00
1.800000000000000000e+01,1.000000000000000000e+00,-2.043963352543174405e+00,-1.478245176710911224e+01,-2.041756755577637250e+00,-1.482885906554607613e+00
1.800000000000000000e+01,2.000000000000000000e+00,-1.994834061589874752e+00,-1.459538648807473038e+01,-1.991312457427775406e+00,-1.439446685379929924e+00
1.800000000000000000e+01,3.000000000000000000e+00,-1.911253724987459934e+00,-1.487375949816376064e+01,-1.907446231322457830e+00,-1.432987582841110719e+00
