block_kT,seed,frozen_lower,tube2_lower,tube16_lower,tube64_lower,exact,slice64_upper,slice8_upper,frozen_upper
1.000000000000000000e+00,1.000000000000000000e+00,-6.439867040115768715e-01,-6.410098638320482767e-01,-6.328700564806294393e-01,-6.249229174312361801e-01,-6.310687725570085505e-01,-6.282506244459050704e-01,-6.245561803392613021e-01,-5.485843140680266572e-01
1.000000000000000000e+00,2.000000000000000000e+00,-5.043596808000897491e-01,-5.013053723126762451e-01,-4.869834920351375773e-01,-4.789257647483345370e-01,-4.839187284319402815e-01,-4.828662431455301718e-01,-4.800639296412275159e-01,-4.152800012683006137e-01
1.000000000000000000e+00,3.000000000000000000e+00,-6.802153669461425967e-01,-6.793299785739562724e-01,-6.751732311628244609e-01,-6.685470771276638136e-01,-6.727987178725838291e-01,-6.714633929846532956e-01,-6.674348254340921605e-01,-5.863171254341046357e-01
3.000000000000000000e+00,1.000000000000000000e+00,-1.960241985145298349e+00,-1.949709911154819952e+00,-1.745171734992531309e+00,-1.690966825559415465e+00,-1.720136011856420399e+00,-1.671538760987142380e+00,-1.657756496994197581e+00,-1.239185853357122724e+00
3.000000000000000000e+00,2.000000000000000000e+00,-1.795113632967166861e+00,-1.781682801985173814e+00,-1.616703436949621153e+00,-1.566493502149448380e+00,-1.597398364444525765e+00,-1.553592718903888503e+00,-1.540530707292167678e+00,-1.135963407762988098e+00
3.000000000000000000e+00,3.000000000000000000e+00,-2.023266932159690334e+00,-2.012955053268556505e+00,-1.738185235933094930e+00,-1.679942637918846460e+00,-1.701861966082852895e+00,-1.647455467053899447e+00,-1.634037350267842692e+00,-1.249591324576834639e+00
6.000000000000000000e+00,1.000000000000000000e+00,-4.411382320062325668e+00,-4.376410849312177831e+00,-2.702007702356807428e+00,-2.572172585475302586e+00,-2.554347807757241018e+00,-2.399940653719956352e+00,-2.378936734263373598e+00,-1.739793550523407006e+00
6.000000000000000000e+00,2.000000000000000000e+00,-4.234751203688261967e+00,-4.192732598768791341e+00,-2.632158681779145581e+00,-2.502513765679134305e+00,-2.491518760285581724e+00,-2.333560491859197672e+00,-2.312947798945394151e+00,-1.667810039363776031e+00
6.000000000000000000e+00,3.000000000000000000e+00,-4.481578360771164782e+00,-4.450354203217352200e+00,-2.587761817371101447e+00,-2.458402047328136941e+00,-2.430497481034895380e+00,-2.279664572922388110e+00,-2.259021166652343648e+00,-1.716193472980468426e+00
9.000000000000000000e+00,1.000000000000000000e+00,-7.073627630398464206e+00,-7.022823937454192311e+00,-2.898587888262902812e+00,-2.768880874384139101e+00,-2.701939479549893885e+00,-2.574647532674088080e+00,-2.547633611757463612e+00,-1.967725945319248382e+00
9.000000000000000000e+00,2.000000000000000000e+00,-6.894563779892473931e+00,-6.835890167117452343e+00,-2.852473693611290440e+00,-2.720429024149487951e+00,-2.656362724209491599e+00,-2.523178112508834392e+00,-2.496504637555364337e+00,-1.911529042964602576e+00
9.000000000000000000e+00,3.000000000000000000e+00,-7.143429213973610636e+00,-7.097152632325846255e+00,-2.748200369323548387e+00,-2.620000928946238705e+00,-2.550646248773766889e+00,-2.429290660801837198e+00,-2.401586440696453106e+00,-1.922928518778754592e+00
1.200000000000000000e+01,1.000000000000000000e+00,-9.823116949450479751e+00,-9.758147445753760252e+00,-2.922692573669975147e+00,-2.801024258279518175e+00,-2.720636273414134276e+00,-2.629508113373697942e+00,-2.594495631522980350e+00,-2.097827749192302971e+00
1.200000000000000000e+01,2.000000000000000000e+00,-9.643139165880207031e+00,-9.570060078925010316e+00,-2.880069536750051284e+00,-2.756692892883110702e+00,-2.677257049509065290e+00,-2.582017816907830721e+00,-2.546945389671816606e+00,-2.050582130571227957e+00
1.200000000000000000e+01,3.000000000000000000e+00,-9.892274666705034747e+00,-9.832068006533260629e+00,-2.767357638820260313e+00,-2.645674289659784684e+00,-2.565665933633163753e+00,-2.478031882919195183e+00,-2.442369333314975854e+00,-2.038979095966017230e+00
1.800000000000000000e+01,1.000000000000000000e+00,-1.545406768094005301e+01,-1.536168987128262842e+01,-2.925832643117658449e+00,-2.808000788376311618e+00,-2.724185959512047006e+00,-2.668521180509130897e+00,-2.623200268985546479e+00,-2.246270123811582309e+00
1.800000000000000000e+01,2.000000000000000000e+00,-1.527324796698906439e+01,-1.517256914388786271e+01,-2.883697037610816860e+00,-2.764675151697342681e+00,-2.681156170675287775e+00,-2.623364785098510232e+00,-2.577285503483802920e+00,-2.208978101156781282e+00
1.800000000000000000e+01,3.000000000000000000e+00,-1.552246466703524774e+01,-1.543506463107785542e+01,-2.769833608173513539e+00,-2.651155850666818026e+00,-2.568523389702335180e+00,-2.514015152157397903e+00,-2.469885026667840489e+00,-2.169487205730031842e+00
