max_abs_dV,exact_ln_ratio,lower,upper,first_order,force_rmse
2.999999999999999889e-01,8.333328738594551061e-03,7.987177248385896738e-03,9.049941947401305559e-03,8.717316544132649656e-03,2.725861829496669664e-01
2.999999999999999889e-01,2.385630594298916024e-02,2.269180507136913175e-02,2.882398013418551591e-02,3.020761243284314154e-02,8.508819583317455137e-01
2.999999999999999889e-01,1.097359822749736322e-04,-2.967166211068218706e-03,1.311481667249488059e-03,4.085917362398883146e-04,8.186433880100809635e-01
2.999999999999999889e-01,-6.385469338634159296e-03,-7.183241608635876005e-03,-5.963510128901018323e-03,-6.135111719456104451e-03,4.441283977169167008e-01
2.999999999999999889e-01,-9.852480960874156549e-03,-1.058956331822792293e-02,-9.454366185107903470e-03,-9.143719082369414913e-03,4.756077963046214108e-01
2.999999999999999889e-01,1.078247394515946880e-02,8.572031845323541122e-03,1.352201959335708886e-02,1.239005108691131063e-02,4.961647831423620647e-01
2.999999999999999889e-01,-3.780298844903379196e-02,-4.006371251237578202e-02,-3.558455337959227222e-02,-3.334259505474886087e-02,1.026986867304398920e+00
2.999999999999999889e-01,2.609027889034537528e-02,2.312574517568299903e-02,2.844707825190800204e-02,2.841491231526893646e-02,9.567372113056648031e-01
2.999999999999999889e-01,1.799137974374738144e-02,1.743635561531095557e-02,1.932907246874831370e-02,2.080046673107781297e-02,9.724336682758901729e-01
2.999999999999999889e-01,9.190946851228745662e-03,8.365328925697183837e-03,9.566463194401360337e-03,1.021618825821786307e-02,7.669246163623447687e-01
2.999999999999999889e-01,-1.415352718769413709e-02,-1.572730390030980391e-02,-1.294848596692374509e-02,-1.334526282512307760e-02,5.788117013323160753e-01
2.999999999999999889e-01,-1.745813416295543055e-02,-2.029361422281410199e-02,-1.427014939051535203e-02,-1.366165450056693043e-02,9.276100328905724224e-01
2.999999999999999889e-01,2.710111181756979029e-02,2.643556022075563977e-02,3.217626983872907964e-02,3.297059175679456500e-02,8.405529086014265072e-01
2.999999999999999889e-01,-4.477633170121867075e-03,-5.985095862513382936e-03,-4.613966757992631063e-04,-1.497787133258293713e-03,7.768205099791845036e-01
2.999999999999999889e-01,3.820466527627555588e-03,2.493542563823962846e-03,5.069997751899467733e-03,4.612075438739104277e-03,4.837700369449005611e-01
2.999999999999999889e-01,4.645013530285548031e-03,3.329917784158829830e-03,6.207900022637760293e-03,5.620133183194762558e-03,3.915095853231794765e-01
2.999999999999999889e-01,-5.004387115262499963e-03,-6.390375733620258514e-03,-4.102728834880942088e-03,-4.581007283403052549e-03,4.265012383647762695e-01
2.999999999999999889e-01,1.401191762510278944e-02,1.199089857770620562e-02,1.600867805437138774e-02,1.717390274220214480e-02,7.325219088690857472e-01
2.999999999999999889e-01,-2.257499426241909657e-04,-2.466271109469536649e-03,4.432814668669390890e-03,3.560720422976643151e-03,6.833557500368611093e-01
