t,abs_corr_error,pinsker_bound
1.000000000000000021e-02,1.088985036512557514e-05,4.413626280386657823e-03
1.184754950448596925e-02,1.397351642373756420e-05,4.804075487369319913e-03
1.403644292612457427e-02,1.784859253095572029e-05,5.229065585118120377e-03
1.662974524341527191e-02,2.268272829974993243e-05,5.691652215989556271e-03
1.970217300183525061e-02,2.866889259156568670e-05,6.195161338189080283e-03
2.334224699851901105e-02,3.602817941683600367e-05,6.743213139125354971e-03
2.765484268608928500e-02,4.501363693154569745e-05,7.339748064247265599e-03
3.276421177622145658e-02,5.591555345507703834e-05,7.989055148508785245e-03
3.881756209942459346e-02,6.906862826572268688e-05,8.695802854162456783e-03
4.598929886163911906e-02,8.486142058727885740e-05,9.465072636602634912e-03
5.448604949398697106e-02,1.037484196952931370e-04,1.030239547959400925e-02
6.455261686838829893e-02,1.262650157339839652e-04,1.121379166257052175e-02
7.647903239923464769e-02,1.530455682077214163e-04,1.220581404592824618e-02
9.060891224051188797e-02,1.848446705269291002e-04,1.328559518552963059e-02
1.073493573317088889e-01,2.225616418874976077e-04,1.446089861516850449e-02
1.271826825262174776e-01,2.672683480470228190e-04,1.574017466571227264e-02
1.506803127342684345e-01,3.202407624117720175e-04,1.713262122225614470e-02
1.785192464470672924e-01,3.829951941217712985e-04,1.864824985612820174e-02
2.115015609785161066e-01,4.573306100261742557e-04,2.029795780722866080e-02
2.505775213969026471e-01,5.453787393864262256e-04,2.209360633425022299e-02
2.968729589461196472e-01,6.496636813798639665e-04,2.404810599611089880e-02
3.517217077657383006e-01,7.731727276950595140e-04,2.617550947776542750e-02
4.167040344556929843e-01,9.194402188413830501e-04,2.849111262780496673e-02
4.936921676932850001e-01,1.092646507758310293e-03,3.101156443429675322e-02
5.849042396723183046e-01,1.297734472302636277e-03,3.375498672958047314e-02
6.929681934901518181e-01,1.540546440937040629e-03,3.674110448468872331e-02
8.209974977408784902e-01,1.827984833446039126e-03,3.999138763019716158e-02
9.726808497544161547e-01,2.168200260654673528e-03,4.352920542318410024e-02
1.152388451953092030e+00,2.570811269179240632e-03,4.737999447018485105e-02
1.365297923291220794e+00,3.047160339276322460e-03,5.157144161421126083e-02
1.617543473456462655e+00,3.610611105707928203e-03,5.613368300077864470e-02
1.916392637743362881e+00,4.276892009499322356e-03,6.109952075420757578e-02
2.270455664569694054e+00,5.064491607082666214e-03,6.650465882208475565e-02
2.689933588373004003e+00,5.995110423216543083e-03,7.238795968358421873e-02
3.186912135202875085e+00,7.094173334951436871e-03,7.879172376735987804e-02
3.775709928826314954e+00,8.391404732283502810e-03,8.576199358799986572e-02
4.473291029634895999e+00,9.921465721208222455e-03,9.334888478775799081e-02
5.299753692157239904e+00,1.172464787194171798e-02,1.016069464637236325e-01
6.278909422941519658e+00,1.384761073043949686e-02,1.105955533711519556e-01
