B_kT,abs_lambda1,kappa_sup,kappa_bump
3.000000000000000000e+00,2.418609837677436203e-01,1.191423387903297382e+00,7.847333946379857483e-01
4.000000000000000000e+00,1.191194102676169653e-01,1.682241952385017614e+00,1.271538823525036666e+00
5.000000000000000000e+00,5.552346200096296147e-02,2.455306353291771160e+00,2.052761792142070441e+00
6.000000000000000000e+00,2.484682988732213327e-02,3.665506193619323838e+00,3.294810958573736848e+00
7.000000000000000000e+00,1.078537463819504577e-02,5.560838767747863010e+00,5.255441363500271912e+00
8.000000000000000000e+00,4.575045383670860513e-03,8.536554678118474015e+00,8.333056102604469828e+00
9.000000000000000000e+00,1.906609518926702471e-03,1.322272097765224252e+01,1.314046585745441398e+01
1.000000000000000000e+01,7.835916376244482897e-04,2.062510035929306795e+01,2.061480238067655435e+01
1.100000000000000000e+01,3.184774421138951428e-04,3.235172404400436363e+01,3.217993580501769202e+01
1.200000000000000000e+01,1.282662369898587081e-04,5.097753284491874126e+01,4.998367854726983239e+01
1.300000000000000000e+01,5.126914356197463175e-05,8.063173735850982382e+01,7.724203653499138511e+01
1.400000000000000000e+01,2.036204142182024071e-05,1.279447450342051127e+02,1.187276601051513296e+02
1.500000000000000000e+01,8.042775298921667841e-06,2.035777313996414364e+02,1.814231475514297927e+02
1.600000000000000000e+01,3.161803099769855826e-06,3.246864472012773035e+02,2.756460907852273863e+02
