exact_ln_ratio,signed_pred_true_phi,squared_Ldyn_over_lambda,force_rmse,signed_pred_model_phi,max_abs_dV
-5.790959278651836017e-02,-5.779875218086552580e-02,2.013562386182739417e+01,1.000000000000000056e-01,-5.801485147572622847e-02,8.193051094555135749e-02
1.300125918929968982e+00,1.344758742437129895e+00,2.258352927350935033e+02,9.999999999999999167e-02,1.248802681858588670e+00,1.586473802505134589e+00
1.642757696212949385e-04,1.745932059008678755e-04,6.118905551603164295e-01,9.999999999999997780e-02,1.536567118246111438e-04,1.029022049019464452e-02
-2.492570518146316485e-04,-2.253168651296402986e-04,3.584379340105442457e-01,9.999999999999999167e-02,-2.737257434850704375e-04,1.530679170226578387e-02
-3.551620202263840176e-02,-3.638929142445965215e-02,3.477251896029384781e+00,1.000000000000000056e-01,-3.464287245404856080e-02,9.416051643116735148e-02
-9.839638010855282502e-02,-1.064172486477597407e-01,2.365537917546901880e+01,1.000000000000000056e-01,-9.040654664631182780e-02,3.248750276660527514e-01
1.439223181401651057e-02,1.438568138001946120e-02,7.151063236105014376e+00,1.000000000000000056e-01,1.439709039378999321e-02,4.902715163930899955e-02
4.945254635566514317e-02,4.943257941182283011e-02,1.979888778981190356e+01,1.000000000000000056e-01,4.946664490050697166e-02,8.079907781517166321e-02
-2.909410637469976081e-04,-2.792257014847722039e-04,1.219556171100412145e+00,1.000000000000000056e-01,-3.029772883936842688e-04,1.050467096496792742e-02
-5.908087476820658157e-01,-1.363272109612387317e-01,1.577624335513557298e+03,1.000000000000000056e-01,-9.749279853907379945e-01,1.651038854921626831e+00
-2.470786104459099519e-02,-2.464955365108931554e-02,8.379811017587620370e+00,9.999999999999997780e-02,-2.476585677721461834e-02,5.585380686186010302e-02
1.220184590598629160e-01,1.276766469402257909e-01,9.639323594055753119e+01,9.999999999999999167e-02,1.163525701566911069e-01,2.924483834660804304e-01
-8.792916026164938892e-02,-9.578345806398978757e-02,1.980843068581993549e+01,1.000000000000000056e-01,-8.011608959936716845e-02,2.034526131098202406e-01
3.197659855541992117e-03,3.210898285397657120e-03,5.127051632653435442e-01,1.000000000000000056e-01,3.183459632497956382e-03,1.781734624638497272e-02
