B_kT,case,force_rmse,max_abs_dV,rate_ratio_exact,rate_ratio_first_order
8.0,bump at saddle,0.02,0.26257783060326423,0.8441306753929675,0.847050235734318
8.0,bump at well bottom (x=+1),0.02,0.00987101389045316,1.0037141850968054,1.0037089480006096
8.0,bump at both wells,0.02,0.006979860859126033,1.0052476351302835,1.0052492707766028
8.0,odd wiggle at saddle,0.02,0.12768151044035708,0.995896859556033,0.9999999999999883
8.0,ripple everywhere (k=20),0.019999999999999997,0.0014143838561409977,0.9999966936562742,0.9999976866399353
8.0,bump on the slope (x=0.5),0.02,0.02688668241016543,0.9988103789617013,0.9988235213514475
12.0,bump at saddle,0.09999999999999999,7.007966724742705,0.0024038428675799747,0.00684016782700782
12.0,bump at well bottom (x=+1),0.09999999999999999,0.05105591831986822,1.0212480137956474,1.0210556709315275
12.0,bump at both wells,0.1,0.0361019860636853,1.0298780172615507,1.0299065376540928
12.0,odd wiggle at saddle,0.1,3.0885818089539856,0.1843912798707354,1.0000000000016867
12.0,ripple everywhere (k=20),0.1,0.007070208131656077,1.0001259409592151,1.0001504119722535
12.0,bump on the slope (x=0.5),0.09999999999999999,0.18340931944667915,0.994418983959553,0.9946832450402595
