sigma,N,sd_sim,sd_formula,bias_sim,bias_formula,sd_cumulant,N_for_0.1
5.000000000000000000e-01,2.000000000000000000e+02,3.744246673818847626e-02,3.768457354725812669e-02,-1.251426538028260760e-04,-7.100635417193534383e-04,3.725173573088073897e-02,2.840254166877413766e+01
5.000000000000000000e-01,2.000000000000000000e+03,1.174174692101137216e-02,1.191690850614666314e-02,-4.717917044352176736e-04,-7.100635417193535467e-05,1.169125178470355880e-02,2.840254166877413766e+01
1.000000000000000000e+00,2.000000000000000000e+02,9.147053424722265125e-02,9.268985458126054178e-02,-5.342665928017076293e-03,-4.295704571147612727e-03,8.578529895452452481e-02,1.718281828459045073e+02
1.000000000000000000e+00,2.000000000000000000e+03,2.987329523684778554e-02,2.931110564665759255e-02,1.021210006880712839e-04,-4.295704571147612944e-04,2.784777321136241296e-02,1.718281828459045073e+02
1.500000000000000000e+00,2.000000000000000000e+02,1.887329771149428848e-01,2.060065027657928816e-01,-1.521293772980847336e-02,-2.121933959089631477e-02,1.544281070877331352e-01,8.487735836358525603e+02
1.500000000000000000e+00,2.000000000000000000e+03,6.325893391477585559e-02,6.514497615456822655e-02,-1.359443738005339242e-03,-2.121933959089631391e-03,4.827758537110173748e-02,8.487735836358525603e+02
2.000000000000000000e+00,2.000000000000000000e+02,3.559498261355004134e-01,5.176782303378433259e-01,-6.109630144644606631e-02,-1.339953750828605794e-01,2.384976826750983547e-01,5.359815003314423848e+03
2.000000000000000000e+00,2.000000000000000000e+03,1.419779342413848566e-01,1.637042302952862460e-01,-9.844876288801485131e-03,-1.339953750828605863e-02,7.853162553394288370e-02,5.359815003314423848e+03
2.500000000000000000e+00,2.000000000000000000e+02,5.513565754928773099e-01,1.607813460368369363e+00,-2.074262194403329040e-01,-1.292532061670854882e+00,3.572354994459202571e-01,5.170128246683420002e+04
2.500000000000000000e+00,2.000000000000000000e+03,2.663535146220957772e-01,5.084352587440912341e-01,-5.443755955917195521e-02,-1.292532061670854937e-01,1.141847955029220152e-01,5.170128246683420002e+04
