case,R_TST,R_OD,exact_g1,exact_g2,exact_g4,exact_g8,exact_g16,exact_g32,exact_g64,exact_g128,KL_g1,KL_g2,KL_g4,KL_g8,KL_g16,KL_g32,KL_g64,KL_g128
0.000000000000000000e+00,6.681317695815915947e-01,6.034520253648938404e-01,6.084867840651351223e-01,6.137425901757225244e-01,6.147901237621820059e-01,6.116503991832222820e-01,6.067939396821775411e-01,6.036094685385888781e-01,6.024268014012209571e-01,6.020910262904747290e-01,6.619534319434700054e-01,6.559261878668456447e-01,6.448270817182187864e-01,6.280802644163642201e-01,6.121302235574255235e-01,6.039412973163280629e-01,6.012637045995102847e-01,6.005401867783852765e-01
1.000000000000000000e+00,-1.515593346271778552e+00,-1.413601026232834013e+00,-1.422812640921619076e+00,-1.440039879998409544e+00,-1.442204624831151749e+00,-1.433949106723433120e+00,-1.421558263006826417e+00,-1.412805427308737150e+00,-1.409369470500821286e+00,-1.408373350047432027e+00,-1.507238743509266232e+00,-1.499057947377440358e+00,-1.483811585778634923e+00,-1.459963163798612573e+00,-1.435616136800890397e+00,-1.422181568142102837e+00,-1.417611507931081150e+00,-1.416359867699675368e+00
2.000000000000000000e+00,-2.167512586871779501e+00,-2.016661479586442596e+00,-2.036530987782178226e+00,-2.057824799769893076e+00,-2.059229274614880811e+00,-2.046606375354650620e+00,-2.027997903868113294e+00,-2.014730926501099528e+00,-2.009501755969025361e+00,-2.007985746353115886e+00,-2.155400518191958437e+00,-2.143529723246607510e+00,-2.121341411233174767e+00,-2.086313752207911598e+00,-2.049861202589617015e+00,-2.029300561011542658e+00,-2.022214052292570230e+00,-2.020264091770405557e+00
3.000000000000000000e+00,1.620572562933656258e+00,1.489694995215926632e+00,1.517566578545032296e+00,1.534395106688237309e+00,1.536429870036618794e+00,1.523954730778523059e+00,1.505771549718573521e+00,1.493917760557695651e+00,1.489479296975894096e+00,1.488214219739873556e+00,1.608396014935897345e+00,1.596536897247170295e+00,1.574812082099834143e+00,1.542519675169236271e+00,1.512565736547002215e+00,1.497562409472447564e+00,1.492717071033035969e+00,1.491413059770349880e+00
4.000000000000000000e+00,-2.001403965000501939e-01,-1.882039500227468964e-01,-1.926370898202038051e-01,-1.951269775277051644e-01,-1.951139970777553967e-01,-1.931424932388917381e-01,-1.904057996129802921e-01,-1.885605521096909154e-01,-1.878528336769839935e-01,-1.876494455329440758e-01,-1.991898920580977006e-01,-1.982608861351924379e-01,-1.965398419076067327e-01,-1.938965683429008380e-01,-1.912943168954341355e-01,-1.899134529838317764e-01,-1.894539883634125399e-01,-1.893291097167030257e-01
5.000000000000000000e+00,1.810689149405892984e+00,1.476980085671018017e+00,1.474462306590955896e+00,1.486695538386286097e+00,1.490502523504174670e+00,1.487520042786899088e+00,1.481684442863377082e+00,1.477757273054545850e+00,1.476311420005292696e+00,1.475903986476459817e+00,1.781565058862295770e+00,1.753342465618916268e+00,1.702436713073753882e+00,1.629886876698235731e+00,1.567001469386806844e+00,1.537260689794057278e+00,1.527908675032630503e+00,1.525412736122560453e+00
6.000000000000000000e+00,7.430080927258374546e-01,6.988930227473818535e-01,7.343506608220795595e-01,7.395604255798050586e-01,7.367048488615856039e-01,7.253315155068671416e-01,7.108581598303009841e-01,7.016917183459424612e-01,6.982912004865799993e-01,6.973257864379485138e-01,7.394064657888607117e-01,7.358904895440273597e-01,7.294016380321213244e-01,7.195478905129071290e-01,7.100520164044671345e-01,7.051205940768855429e-01,7.034985313061975498e-01,7.030593702905969522e-01
7.000000000000000000e+00,-6.918615320714673889e-01,-6.434808346756788477e-01,-6.536485682837760436e-01,-6.610132897910895311e-01,-6.613694540315856463e-01,-6.562525025568213266e-01,-6.488915721529253666e-01,-6.438358554574583614e-01,-6.418848488337850489e-01,-6.413232694634986020e-01,-6.878425542129252834e-01,-6.839114086765043510e-01,-6.766104028691914962e-01,-6.653115433214671359e-01,-6.540219763666226260e-01,-6.479372814221308063e-01,-6.458951713724033761e-01,-6.453385069462340695e-01
8.000000000000000000e+00,-1.192162176240358473e+00,-1.039229431960468464e+00,-1.037957284251709522e+00,-1.046898806589360076e+00,-1.048836635376816151e+00,-1.045785012179299978e+00,-1.040675572130178583e+00,-1.037078759828768959e+00,-1.035703957018161869e+00,-1.035311203120092838e+00,-1.178675241255804140e+00,-1.165452692130898749e+00,-1.140711645617614289e+00,-1.101523202750980479e+00,-1.060448374650291958e+00,-1.037084829998911495e+00,-1.028990512045035111e+00,-1.026759049250921763e+00
9.000000000000000000e+00,-1.775251483594856960e+00,-1.637370676607742936e+00,-1.653322439925753784e+00,-1.669126461095955971e+00,-1.670351504208126503e+00,-1.660574747779534510e+00,-1.646026475254642074e+00,-1.635735022069888966e+00,-1.631710807538092833e+00,-1.630547963425829527e+00,-1.763953480262983042e+00,-1.752882673033034466e+00,-1.732202681014759493e+00,-1.699620910782639660e+00,-1.665855767126837472e+00,-1.646903700382661206e+00,-1.640390947593826976e+00,-1.638600779852867007e+00
