case,gamma,ln_ratio,tst_limit,overdamped_limit
0.000000000000000000e+00,2.999999999999999889e-01,-1.501082684267771583e+00,-1.992825157473721243e+00,-8.275397037805829470e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.481828595315903607e+00,-1.992825157473721243e+00,-8.275397037805829470e-01
0.000000000000000000e+00,3.000000000000000000e+00,-1.474138420642264746e+00,-1.992825157473721243e+00,-8.275397037805829470e-01
0.000000000000000000e+00,1.000000000000000000e+01,-1.198930109401434407e+00,-1.992825157473721243e+00,-8.275397037805829470e-01
0.000000000000000000e+00,3.000000000000000000e+01,-9.284851584579708605e-01,-1.992825157473721243e+00,-8.275397037805829470e-01
0.000000000000000000e+00,1.000000000000000000e+02,-8.334192473104895527e-01,-1.992825157473721243e+00,-8.275397037805829470e-01
0.000000000000000000e+00,3.000000000000000000e+02,-8.215374497462355485e-01,-1.992825157473721243e+00,-8.275397037805829470e-01
1.000000000000000000e+00,2.999999999999999889e-01,-1.600388426938437192e+00,-1.854112077630476030e+00,-1.646221907233436310e+00
1.000000000000000000e+00,1.000000000000000000e+00,-1.662733738253600047e+00,-1.854112077630476030e+00,-1.646221907233436310e+00
1.000000000000000000e+00,3.000000000000000000e+00,-1.687628448325553476e+00,-1.854112077630476030e+00,-1.646221907233436310e+00
1.000000000000000000e+00,1.000000000000000000e+01,-1.669193234607007748e+00,-1.854112077630476030e+00,-1.646221907233436310e+00
1.000000000000000000e+00,3.000000000000000000e+01,-1.648395610588106797e+00,-1.854112077630476030e+00,-1.646221907233436310e+00
1.000000000000000000e+00,1.000000000000000000e+02,-1.643467039564607823e+00,-1.854112077630476030e+00,-1.646221907233436310e+00
1.000000000000000000e+00,3.000000000000000000e+02,-1.642975710407421408e+00,-1.854112077630476030e+00,-1.646221907233436310e+00
2.000000000000000000e+00,2.999999999999999889e-01,-7.106358213117428546e-01,-1.064609015108889611e+00,-2.980424116889308084e-01
2.000000000000000000e+00,1.000000000000000000e+00,-6.180415854114820196e-01,-1.064609015108889611e+00,-2.980424116889308084e-01
2.000000000000000000e+00,3.000000000000000000e+00,-5.948557486495905655e-01,-1.064609015108889611e+00,-2.980424116889308084e-01
2.000000000000000000e+00,1.000000000000000000e+01,-4.511205198721902621e-01,-1.064609015108889611e+00,-2.980424116889308084e-01
2.000000000000000000e+00,3.000000000000000000e+01,-3.325356737974161647e-01,-1.064609015108889611e+00,-2.980424116889308084e-01
2.000000000000000000e+00,1.000000000000000000e+02,-2.982436530994102553e-01,-1.064609015108889611e+00,-2.980424116889308084e-01
2.000000000000000000e+00,3.000000000000000000e+02,-2.944722306545043966e-01,-1.064609015108889611e+00,-2.980424116889308084e-01
