width_over_lth,amp,R_OD,dev_g0.18,dev_g0.71,dev_g2.83,dev_g11.31,RTST_minus_ROD
2.262741699796952388e-01,2.000000000000000000e+00,-7.003165048081408939e-01,-7.962020830639372493e-01,-7.332875261838233127e-01,-3.439439334966037931e-01,-4.433381406558023485e-02,-1.288750434181317406e+00
4.525483399593904776e-01,2.000000000000000000e+00,-1.078067397894327817e+00,-4.677160995310016833e-01,-4.251226534999088535e-01,-1.614095354703557472e-01,-1.330631710576102300e-02,-9.190736000484991397e-01
9.050966799187809553e-01,2.000000000000000000e+00,-1.474093603219731152e+00,-1.114380386479363327e-01,-1.146221360354937602e-01,-2.851851273879169035e-02,2.789334570222123943e-03,-5.246731386629122085e-01
1.357645019878171322e+00,2.000000000000000000e+00,-1.662066815930912433e+00,1.759970601137705870e-02,3.437884395705248508e-03,5.123211812823269540e-03,6.861527155439750558e-03,-3.324918628249402541e-01
1.810193359837561911e+00,2.000000000000000000e+00,-1.736040671741505337e+00,7.281142498937853702e-03,-9.770306110513882203e-03,4.364909544578576828e-04,7.084733513146090900e-03,-2.264384812891313548e-01
2.715290039756342644e+00,2.000000000000000000e+00,-1.603874983042056446e+00,-1.600196179442159305e-02,-3.378559377913714634e-02,-9.122599214494320208e-03,5.249200648472340802e-03,-1.217334872644695309e-01
2.262741699796952388e-01,-2.000000000000000000e+00,2.702351998401349431e-01,1.829225607223783356e-02,9.742778690846054523e-04,-3.003481353279879862e-02,-8.377668197603882483e-03,-3.099538466107923385e-02
4.525483399593904776e-01,-2.000000000000000000e+00,5.677584601210612369e-01,-4.213476609321697985e-03,5.919498130357858656e-04,8.679774219688685122e-04,9.180610256654953005e-04,9.608420183297328165e-02
9.050966799187809553e-01,-2.000000000000000000e+00,1.103355855212362568e+00,-9.313198812625822498e-03,8.972583535782341357e-05,3.752713184581590866e-04,3.029767756048684646e-04,4.277352967808727424e-01
1.357645019878171322e+00,-2.000000000000000000e+00,1.453083142018286811e+00,-1.184733616978372872e-02,3.476413361639396626e-03,1.399363658513230746e-03,-4.954980992006863261e-04,5.321854134836343508e-01
1.810193359837561911e+00,-2.000000000000000000e+00,1.618881928664037684e+00,-6.020276988076833646e-04,2.015579260533795214e-02,7.264686423505750668e-03,-5.771265629930244501e-04,3.367555250461904404e-01
2.715290039756342644e+00,-2.000000000000000000e+00,1.537519768045856772e+00,2.550025739814398840e-02,4.931082698335265135e-02,1.689711615473865614e-02,-1.909399292054914099e-04,1.564888031504669819e-01
