n_rbf,protocol(0=FM 1=FM+TS 2=FM+TS+kin_first_order 3=FM+TS+kin_exact),median_abs_ln_ratio,worst_abs_ln_ratio,median_force_rmse
1.690000000000000000e+02,0.000000000000000000e+00,3.415040875827324296e-02,5.347370118157400709e-01,1.808857416057264578e-01
1.690000000000000000e+02,1.000000000000000000e+00,4.005425366511434875e-03,8.102973078737587057e-03,8.273004414602544432e-02
1.690000000000000000e+02,2.000000000000000000e+00,4.809591190423971943e-03,1.309089003008752534e-02,1.143385403864914940e-01
1.690000000000000000e+02,3.000000000000000000e+00,4.757555992369941547e-03,1.163667846807668257e-02,1.199301793692768708e-01
8.100000000000000000e+01,0.000000000000000000e+00,5.325267990057987177e-02,1.509335383032948952e-01,9.248485567565191412e-02
8.100000000000000000e+01,1.000000000000000000e+00,1.566020569989287625e-02,3.347710218619810024e-02,7.998018594828379402e-02
8.100000000000000000e+01,2.000000000000000000e+00,7.726845310619911283e-03,1.277874946726403199e-02,8.801022102073539910e-02
8.100000000000000000e+01,3.000000000000000000e+00,7.093977545888732229e-03,1.060896691844301007e-02,8.933626049732068530e-02
4.900000000000000000e+01,0.000000000000000000e+00,6.584999565583615766e-02,4.006673580420087588e-01,2.091384556047774512e-01
4.900000000000000000e+01,1.000000000000000000e+00,8.511927983587565250e-02,1.116900251952925444e-01,2.176978299673411055e-01
4.900000000000000000e+01,2.000000000000000000e+00,1.794201243302969914e-02,2.904873279685593959e-02,2.428116764989551313e-01
4.900000000000000000e+01,3.000000000000000000e+00,1.430100355653166760e-02,2.883798153839296427e-02,2.461017950164049450e-01
3.600000000000000000e+01,0.000000000000000000e+00,1.330787039329996535e+00,1.116852546098467691e+01,5.074914854992861324e-01
3.600000000000000000e+01,1.000000000000000000e+00,6.832998308469303339e+00,1.763512130760148366e+01,5.302763259672490515e-01
3.600000000000000000e+01,2.000000000000000000e+00,2.135906258804008573e+01,2.690935830927000083e+01,6.944346373119794080e-01
3.600000000000000000e+01,3.000000000000000000e+00,2.145061208587005552e+01,2.673421686910866768e+01,6.950971139489088291e-01
2.500000000000000000e+01,0.000000000000000000e+00,2.621953510506525120e+01,2.668826044338476677e+01,5.381429762652367721e-01
2.500000000000000000e+01,1.000000000000000000e+00,2.309096417812527235e+01,2.651862793969631937e+01,5.710181448968233431e-01
2.500000000000000000e+01,2.000000000000000000e+00,2.619641261380652608e+01,2.664033785019231004e+01,9.190789002674228936e-01
2.500000000000000000e+01,3.000000000000000000e+00,2.622675572799965948e+01,2.660743846353372533e+01,9.225193348591274045e-01
