replica,hops,reversals,framework_drift_start_A,framework_drift_end_A,frames
0,5,1,1.074,3.188,1000
1,5,1,0.564,3.313,987
2,2,0,0.709,2.222,1000
3,3,0,0.746,0.775,1000
4,2,0,0.915,2.800,942
5,3,1,0.221,1.013,981
6,2,0,0.714,3.492,1000
7,5,0,0.719,2.490,1000
8,2,0,0.566,1.316,998
9,4,0,0.524,1.574,876
10,1,0,0.737,1.221,996
11,2,0,0.807,2.117,933
12,2,0,0.338,1.554,983
13,4,0,0.361,0.866,986
14,4,1,0.399,1.969,940
15,0,0,0.738,3.050,1000
16,4,0,0.539,1.993,978
17,3,0,0.831,0.767,913
18,4,1,0.363,2.361,986
19,2,0,0.821,4.345,1000
20,0,0,1.067,2.028,1000
21,1,0,0.621,1.950,1000
22,1,0,0.864,2.159,997
23,2,0,0.472,0.962,995
24,2,0,0.623,3.393,989
25,1,0,1.003,3.682,1000
26,4,0,0.541,0.965,984
27,3,0,0.611,0.521,748
28,3,0,1.025,1.331,1000
29,1,0,0.591,2.191,1000
30,1,0,0.874,3.069,1000
31,3,1,0.714,2.041,975
