student,T_K,force_rmse_meVA,hops_per_ns,hops,var_over_mean,ln_ratio_to_teacher,sd
1,1000,6.1,265.6,425,12.11,0.684152,0.0625346
1,900,6.1,92.4,414,5.97,0.29202,0.0899849
1,800,6.1,50.4,339,6.3,0.25643,0.207243
2,1000,6.5,149,429,1.02,0.106107,0.0623589
2,900,6.5,84,403,0.81,0.19671,0.0903505
2,800,6.5,42.9,288,0.99,0.0953102,0.2085
3,1000,7.5,226.6,435,6.4,0.525347,0.0621006
3,900,7.5,113.3,435,4.94,0.495933,0.0893346
3,800,7.5,50.1,337,2.19,0.250459,0.207286
4,1000,9.3,146.5,422,1.33,0.0891856,0.0626682
4,900,9.3,76.3,415,0.92,0.100566,0.0899525
4,800,9.3,46.7,314,1.11,0.180183,0.207809
5,1000,13.7,328.1,420,10.06,0.895479,0.0627581
5,900,13.7,183.9,412,8.52,0.980286,0.09005
5,800,13.7,84.6,406,17.85,0.774373,0.206066
6,1000,19.9,651.6,417,6.51,1.58159,0.0628945
6,900,19.9,312.5,500,8.51,1.5105,0.087646
6,800,19.9,168.8,432,10.5,1.46515,0.205706
