channel_upper,dphi_from_saddle,sign,force_rmse,exact_ln_ratio,lower,upper,first_order,var_nu,nu_mass,peak_dV_kT
0.000000000000000000e+00,4.799999999999999822e-01,1.000000000000000000e+00,5.999999999999999778e-01,-2.994968481144186234e-01,-4.040919930296547613e-01,-1.153839935553750973e-01,-2.027792453879036783e-01,2.673118924226812188e-01,2.157876905843773840e-01,2.031761132515955026e+00
0.000000000000000000e+00,4.799999999999999822e-01,-1.000000000000000000e+00,5.999999999999999778e-01,1.187818449043156616e-01,1.020657550702035593e-01,3.907737545444832095e-01,2.027792453879036783e-01,2.673118924226812188e-01,2.157876905843773840e-01,2.031761132515955026e+00
0.000000000000000000e+00,6.199999999999999956e-01,1.000000000000000000e+00,5.999999999999999778e-01,-1.211123038926040507e-01,-1.460281770361189502e-01,-5.111832497878616294e-02,-7.958061093211832304e-02,8.822711444809475112e-02,1.311628762068366705e-01,1.491988097850897255e+00
0.000000000000000000e+00,6.199999999999999956e-01,-1.000000000000000000e+00,5.999999999999999778e-01,4.584188554921517222e-02,3.952158738445891994e-02,1.344314394417917280e-01,7.958061093211832304e-02,8.822711444809475112e-02,1.311628762068366705e-01,1.491988097850897255e+00
0.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+00,5.999999999999999778e-01,-2.237969391210462011e-02,-2.504862340015791972e-02,-7.223712064159643065e-03,-9.960861584392011886e-03,1.708187593623214373e-02,5.929728292555789398e-02,9.765530799764021719e-01
0.000000000000000000e+00,8.000000000000000444e-01,-1.000000000000000000e+00,5.999999999999999778e-01,-1.456731795037014476e-03,-3.238574085863241137e-03,1.458633725013503551e-02,9.960861584392011886e-03,1.708187593623214373e-02,5.929728292555789398e-02,9.765530799764021719e-01
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-01,1.386792747516191540e-02,1.385994454318517470e-02,1.649404043030585840e-02,1.965659934507968040e-02,2.581913571118591572e-03,2.205302505184251333e-02,6.296463458861027984e-01
0.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,5.999999999999999778e-01,-2.568945428123656227e-02,-2.611831220517936078e-02,-2.348421631805867882e-02,-1.965659934507968040e-02,2.581913571118591572e-03,2.205302505184251333e-02,6.296463458861027984e-01
1.000000000000000000e+00,4.799999999999999822e-01,1.000000000000000000e+00,5.999999999999999778e-01,-7.195796082486072276e-02,-2.399042518818643444e-01,-1.930567502296308760e-02,-4.880195177750883129e-02,1.286071624077981534e-01,3.406164681914937431e-02,3.507944438043308910e+00
1.000000000000000000e+00,4.799999999999999822e-01,-1.000000000000000000e+00,5.999999999999999778e-01,8.337399387705635503e-03,2.343370890730545747e-03,2.229419477496318025e-01,4.880195177750883129e-02,1.286071624077981534e-01,3.406164681914937431e-02,3.507944438043308910e+00
1.000000000000000000e+00,6.199999999999999956e-01,1.000000000000000000e+00,5.999999999999999778e-01,-1.997705034653543890e-02,-3.237347431581062696e-02,-4.499491006232861010e-03,-8.511015702686471757e-03,2.192836573046295576e-02,1.628780821835341258e-02,2.194649405941163423e+00
1.000000000000000000e+00,6.199999999999999956e-01,-1.000000000000000000e+00,5.999999999999999778e-01,-5.645270431859499526e-03,-6.768099295468523423e-03,2.110588401410923992e-02,8.511015702686471757e-03,2.192836573046295576e-02,1.628780821835341258e-02,2.194649405941163423e+00
1.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+00,5.999999999999999778e-01,4.579904275323404793e-03,4.163155167044829338e-03,6.223174712615115942e-03,8.954218969490172070e-03,1.910401874259153509e-03,5.009312156198095396e-03,1.212057758377315553e+00
1.000000000000000000e+00,8.000000000000000444e-01,-1.000000000000000000e+00,5.999999999999999778e-01,-1.586122176077617296e-02,-1.583983976515943720e-02,-1.377982021958915233e-02,-8.954218969490172070e-03,1.910401874259153509e-03,5.009312156198095396e-03,1.212057758377315553e+00
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-01,1.772445383752914785e-02,1.752713909873544057e-02,1.765725799208050020e-02,2.165222754908524561e-02,1.269832216360937556e-04,1.126847432836458130e-03,6.915958272528676121e-01
1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,5.999999999999999778e-01,-2.734862453627225076e-02,-2.701909028865747547e-02,-2.688897139531241584e-02,-2.165222754908524561e-02,1.269832216360937556e-04,1.126847432836458130e-03,6.915958272528676121e-01
