block_kT,seed,frozen_lower,per_path_lower,per_path_se,exact,series_upper,frozen_upper,frozen_lower_from_paths,frozen_upper_from_paths
1.000000000000000000e+00,1.000000000000000000e+00,-6.439867040115768715e-01,-6.321254223897834201e-01,7.263626199787912149e-04,-6.310687725570085505e-01,-6.282506244459050704e-01,-5.485843140680266572e-01,-6.434474852783518273e-01,-5.482523173878868228e-01
1.000000000000000000e+00,2.000000000000000000e+00,-5.043596808000897491e-01,-4.847772837811503144e-01,8.756558834012096370e-04,-4.839187284319402815e-01,-4.828662431455301718e-01,-4.152800012683006137e-01,-5.040172240081454147e-01,-4.150588150750025296e-01
1.000000000000000000e+00,3.000000000000000000e+00,-6.802153669461425967e-01,-6.760370556257541130e-01,5.147367385190583121e-04,-6.727987178725838291e-01,-6.714633929846532956e-01,-5.863171254341046357e-01,-6.805756662923535538e-01,-5.867856387244030358e-01
3.000000000000000000e+00,1.000000000000000000e+00,-1.960241985145298349e+00,-1.732121261931763190e+00,4.501590525374843214e-03,-1.720136011856420399e+00,-1.671538760987142380e+00,-1.239185853357122724e+00,-1.962941067970640052e+00,-1.241838407253740506e+00
3.000000000000000000e+00,2.000000000000000000e+00,-1.795113632967166861e+00,-1.602168321346484570e+00,3.966150823695380016e-03,-1.597398364444525765e+00,-1.553592718903888503e+00,-1.135963407762988098e+00,-1.794244481231458632e+00,-1.135879347131113715e+00
3.000000000000000000e+00,3.000000000000000000e+00,-2.023266932159690334e+00,-1.720513440410277761e+00,5.516635339543071379e-03,-1.701861966082852895e+00,-1.647455467053899447e+00,-1.249591324576834639e+00,-2.029492182853124049e+00,-1.256334710470780713e+00
6.000000000000000000e+00,1.000000000000000000e+00,-4.411382320062325668e+00,-2.577360477423240148e+00,1.391172829242576410e-02,-2.554347807757241018e+00,-2.399940653719956352e+00,-1.739793550523407006e+00,-4.415675353754598298e+00,-1.746451250394233323e+00
6.000000000000000000e+00,2.000000000000000000e+00,-4.234751203688261967e+00,-2.497189023582370826e+00,1.346025850362403409e-02,-2.491518760285581724e+00,-2.333560491859197672e+00,-1.667810039363776031e+00,-4.233079530227909615e+00,-1.668647352159744912e+00
6.000000000000000000e+00,3.000000000000000000e+00,-4.481578360771164782e+00,-2.464871406561729206e+00,1.454400000342969020e-02,-2.430497481034895380e+00,-2.279664572922388110e+00,-1.716193472980468426e+00,-4.491132702983892777e+00,-1.729990951754214912e+00
9.000000000000000000e+00,1.000000000000000000e+00,-7.073627630398464206e+00,-2.725476897916962127e+00,1.654984241833240902e-02,-2.701939479549893885e+00,-2.574647532674088080e+00,-1.967725945319248382e+00,-7.078608962808187854e+00,-1.977072893086327943e+00
9.000000000000000000e+00,2.000000000000000000e+00,-6.894563779892473931e+00,-2.660924882569923433e+00,1.631954880574443614e-02,-2.656362724209491599e+00,-2.523178112508834392e+00,-1.911529042964602576e+00,-6.892518798786687384e+00,-1.913072288937334609e+00
9.000000000000000000e+00,3.000000000000000000e+00,-7.143429213973610636e+00,-2.585966930018497312e+00,1.675914169710808477e-02,-2.550646248773766889e+00,-2.429290660801837198e+00,-1.922928518778754592e+00,-7.154826532180821097e+00,-1.940846882656801942e+00
1.200000000000000000e+01,1.000000000000000000e+00,-9.823116949450479751e+00,-2.743852421073528447e+00,1.690625627097426878e-02,-2.720636273414134276e+00,-2.629508113373697942e+00,-2.097827749192302971e+00,-9.828527933775452752e+00,-2.109018893020758512e+00
1.200000000000000000e+01,2.000000000000000000e+00,-9.643139165880207031e+00,-2.681603339328620272e+00,1.671577834970485246e-02,-2.677257049509065290e+00,-2.582017816907830721e+00,-2.050582130571227957e+00,-9.640866727355724919e+00,-2.052530755038210142e+00
1.200000000000000000e+01,3.000000000000000000e+00,-9.892274666705034747e+00,-2.600543519228180056e+00,1.704466003948609115e-02,-2.565665933633163753e+00,-2.478031882919195183e+00,-2.038979095966017230e+00,-9.905281507521150886e+00,-2.059545883396115773e+00
1.800000000000000000e+01,1.000000000000000000e+00,-1.545406768094005301e+01,-2.747233727732337982e+00,1.697271973412764132e-02,-2.724185959512047006e+00,-2.668521180509130897e+00,-2.246270123811582309e+00,-1.545978434338786656e+01,-2.259865570270109369e+00
1.800000000000000000e+01,2.000000000000000000e+00,-1.527324796698906439e+01,-2.685511004138393609e+00,1.679158786506676840e-02,-2.681156170675287775e+00,-2.623364785098510232e+00,-2.208978101156781282e+00,-1.527052208367580910e+01,-2.211326552027284897e+00
1.800000000000000000e+01,3.000000000000000000e+00,-1.552246466703524774e+01,-2.603150782278241149e+00,1.709616989107657498e-02,-2.568523389702335180e+00,-2.514015152157397903e+00,-2.169487205730031842e+00,-1.553828709103654937e+01,-2.193363761386892818e+00
