betaB,nu,sup_dlnnu_per_eps,bound_per_eps,ratio
1,2.801586e-01,4.714902e-01,1.335928e+00,0.35293
2,1.949592e-01,7.231608e-01,1.601449e+00,0.45157
3,1.126123e-01,1.089617e+00,2.107134e+00,0.51711
4,5.775037e-02,1.621002e+00,2.942440e+00,0.55090
5,2.740963e-02,2.418875e+00,4.271038e+00,0.56634
6,1.235983e-02,3.643939e+00,6.360316e+00,0.57292
7,5.381755e-03,5.548092e+00,9.638802e+00,0.57560
8,2.285692e-03,8.529026e+00,1.479027e+01,0.57666
9,9.529967e-04,1.321829e+01,2.290548e+01,0.57708
10,3.917407e-04,2.062252e+01,3.572610e+01,0.57724
11,1.592272e-04,3.235030e+01,5.603720e+01,0.57730
12,6.413002e-05,5.097689e+01,8.829870e+01,0.57732
13,2.563353e-05,8.063175e+01,1.396628e+02,0.57733
14,1.018060e-05,1.279457e+02,2.216146e+02,0.57733
15,4.021228e-06,2.035793e+02,3.526189e+02,0.57734
16,1.580827e-06,3.246914e+02,5.623968e+02,0.57734
