B,eps_target,eps_hat,ln_nu_ratio,h,bound,h_over_bound,lin_ratio
12,0.01,0.0100024,0.00209182,2.19091e-06,0.389998,5.61775e-06,0.00236853
12,0.01,0.0100069,-0.0011941,7.1237e-07,0.390352,1.82494e-06,0.00135144
12,0.01,0.0100001,3.25428e-06,5.29521e-12,0.389822,1.35837e-11,3.68559e-06
12,0.01,0.00999957,0.000620383,1.92517e-07,0.389781,4.93912e-07,0.000702643
12,0.01,0.00997686,-0.0196442,0.00019044,0.388012,0.000490809,0.0222996
12,0.01,0.010005,-0.00118588,7.02604e-07,0.390205,1.8006e-06,0.0013424
12,0.01,0.00999935,0.000794852,3.16062e-07,0.389763,8.10907e-07,0.000900265
12,0.01,0.0100019,3.08758e-05,4.76668e-10,0.389964,1.22234e-09,3.49616e-05
12,0.01,0.00999994,2.0391e-05,2.079e-10,0.38981,5.33337e-10,2.30939e-05
12,0.01,0.0100119,0.00275883,3.81257e-06,0.390743,9.75724e-06,0.00312079
12,0.01,0.00998835,-0.00290469,4.21045e-06,0.388906,1.08264e-05,0.00329353
12,0.01,0.00999995,2.45495e-05,3.01344e-10,0.38981,7.73054e-10,2.78036e-05
12,0.01,0.0100013,-0.000102956,5.29958e-09,0.389915,1.35916e-08,0.000116587
12,0.01,0.0100054,-0.000601784,1.81e-07,0.390239,4.63817e-07,0.000681178
12,0.01,0.00999711,0.0014503,1.05271e-06,0.389589,2.7021e-06,0.00164301
12,0.01,0.0100111,0.000584377,1.70814e-07,0.39068,4.37223e-07,0.0006611
12,0.01,0.00998808,0.0115445,6.71529e-05,0.388885,0.00017268,0.0130903
12,0.01,0.00999876,0.00408886,8.38223e-06,0.389718,2.15085e-05,0.0046314
12,0.01,0.0100061,-0.00177724,1.57743e-06,0.390289,4.04169e-06,0.00201159
12,0.01,0.0100001,-4.94651e-05,1.22336e-09,0.389824,3.13823e-09,5.60208e-05
12,0.01,0.0100098,-0.0054383,1.47341e-05,0.39058,3.77236e-05,0.0061531
12,0.01,0.00998486,0.0283065,0.00040827,0.388634,0.00105052,0.0321071
12,0.01,0.0100009,-0.000545067,1.48495e-07,0.389886,3.80868e-07,0.000617257
12,0.01,0.0100042,-0.000154155,1.18807e-08,0.390143,3.0452e-08,0.000174514
12,0.01,0.0100008,-0.000102767,5.28015e-09,0.389874,1.35432e-08,0.000116379
12,0.01,0.0099847,-0.00219963,2.41565e-06,0.388622,6.21593e-06,0.002495
12,0.01,0.0100013,-0.000765237,2.92644e-07,0.389918,7.50529e-07,0.000866552
12,0.01,0.0100039,-0.00443074,9.78678e-06,0.390119,2.50867e-05,0.00501606
12,0.01,0.0100021,0.00047154,1.1121e-07,0.389981,2.85168e-07,0.000533927
12,0.01,0.00999898,0.00108481,5.88829e-07,0.389734,1.51085e-06,0.00122872
12,0.01,0.0100001,-4.01884e-05,8.07533e-10,0.389824,2.07153e-09,4.55147e-05
12,0.01,0.00999121,0.00113582,6.4553e-07,0.38913,1.65891e-06,0.0012875
12,0.01,0.00998513,-0.00197635,1.95041e-06,0.388656,5.01835e-06,0.00224164
12,0.01,0.0100011,0.00045375,1.02976e-07,0.389903,2.64106e-07,0.000513835
12,0.01,0.010003,0.00195177,1.90719e-06,0.390052,4.88958e-06,0.0022098
12,0.01,0.00998889,0.00872116,3.82511e-05,0.388949,9.83449e-05,0.0098881
12,0.01,0.0100001,-0.000175454,1.53903e-08,0.389819,3.94806e-08,0.000198709
12,0.01,0.00998944,-0.00627341,1.95957e-05,0.388992,5.03757e-05,0.00711244
12,0.01,0.0100038,0.00105823,5.60318e-07,0.390114,1.43629e-06,0.00119803
12,0.01,0.0100202,0.00523811,1.37669e-05,0.391394,3.51741e-05,0.00592043
12,0.01,0.00998161,-0.00400944,8.01635e-06,0.388382,2.06404e-05,0.00454924
12,0.01,0.00999787,-0.00108651,5.89829e-07,0.389648,1.51375e-06,0.00123079
12,0.01,0.0100076,-0.0101533,5.11974e-05,0.390408,0.000131138,0.0114904
12,0.01,0.0100122,0.0125011,7.87929e-05,0.390765,0.000201638,0.0141408
12,0.01,0.0100004,-6.17274e-05,1.90505e-09,0.389843,4.88672e-09,6.99065e-05
12,0.01,0.00989893,0.0305644,0.000476719,0.381974,0.00124804,0.0349691
12,0.01,0.00999987,0.00338068,5.72739e-06,0.389804,1.4693e-05,0.00382883
12,0.01,0.0100094,0.000386709,7.47913e-08,0.39055,1.91503e-07,0.000437554
12,0.01,0.00999315,0.00119903,7.19413e-07,0.389281,1.84806e-06,0.00135889
12,0.01,0.0100007,0.000182034,1.65702e-08,0.389866,4.25022e-08,0.000206148
12,0.01,0.0100004,0.0002563,3.28505e-08,0.389846,8.42654e-08,0.00029026
12,0.01,0.0100007,-1.07274e-06,5.75429e-13,0.389868,1.47596e-12,1.21485e-06
12,0.01,0.00999325,0.00159685,1.27633e-06,0.389288,3.27861e-06,0.00180973
12,0.01,0.0100067,-0.0023474,2.75084e-06,0.390333,7.04741e-06,0.00265677
12,0.01,0.0100182,0.00152412,1.16266e-06,0.391231,2.97179e-06,0.00172301
12,0.01,0.00999947,-0.00305328,4.65178e-06,0.389773,1.19346e-05,0.00345816
12,0.01,0.0100175,-0.00393501,7.72187e-06,0.391178,1.97401e-05,0.00444881
12,0.01,0.00998696,0.0482972,0.00120455,0.388798,0.00309814,0.0547702
12,0.01,0.0100004,-0.000115843,6.70927e-09,0.389845,1.72101e-08,0.000131192
12,0.01,0.00999873,-0.00460676,1.05786e-05,0.389715,2.71444e-05,0.00521803
12,0.01,0.0100025,-0.00105665,5.57866e-07,0.390009,1.43039e-06,0.00119641
12,0.01,0.010012,0.00620301,1.93184e-05,0.390749,4.94395e-05,0.00701679
12,0.01,0.0100084,-0.0036435,6.62144e-06,0.390468,1.69577e-05,0.00412298
12,0.01,0.00998987,0.007777,3.03981e-05,0.389025,7.81392e-05,0.00881675
12,0.01,0.00999893,0.00109094,5.95511e-07,0.389731,1.528e-06,0.00123568
12,0.01,0.0100037,-0.00458831,1.04942e-05,0.390102,2.6901e-05,0.00519456
12,0.01,0.0100026,-0.000469445,1.10155e-07,0.390014,2.82438e-07,0.000531532
12,0.01,0.0099994,0.000368266,6.78265e-08,0.389768,1.74018e-07,0.000417103
12,0.01,0.0100013,0.00215357,2.32226e-06,0.389914,5.95581e-06,0.0024387
12,0.01,0.0100002,-0.000302156,4.56399e-08,0.38983,1.17077e-07,0.000342199
12,0.01,0.00999734,0.00249348,3.11389e-06,0.389607,7.99239e-06,0.00282473
12,0.01,0.0099997,-0.00053364,1.42335e-07,0.389791,3.65157e-07,0.00060439
12,0.01,0.0100104,-0.00794053,3.13596e-05,0.390626,8.02805e-05,0.00898368
12,0.01,0.00999893,4.19933e-05,8.81744e-10,0.389731,2.26244e-09,4.75645e-05
12,0.01,0.0100219,0.0018187,1.65584e-06,0.391523,4.22922e-06,0.00205526
12,0.01,0.00999648,0.00167381,1.40238e-06,0.38954,3.6001e-06,0.00189633
12,0.01,0.00997858,0.00957857,4.61685e-05,0.388146,0.000118946,0.0108715
12,0.01,0.0100062,0.00110283,6.08562e-07,0.390301,1.55921e-06,0.00124823
12,0.01,0.00998371,0.00103017,5.3099e-07,0.388545,1.36661e-06,0.00116862
12,0.01,0.0100008,0.00183014,1.67675e-06,0.389878,4.3007e-06,0.00207255
12,0.01,0.0100035,-0.00273129,3.7232e-06,0.390089,9.54449e-06,0.00309223
12,0.01,0.0100001,8.80866e-05,3.87985e-09,0.389824,9.95283e-09,9.9761e-05
12,0.01,0.010001,0.000343247,5.89227e-08,0.38989,1.51127e-07,0.000388706
12,0.01,0.0100002,-0.000184987,1.71081e-08,0.389831,4.38858e-08,0.000209502
12,0.01,0.00999238,-0.000692628,2.39756e-07,0.38922,6.15991e-07,0.000785032
12,0.01,0.0100045,-0.00458886,1.04967e-05,0.390169,2.69029e-05,0.00519474
12,0.01,0.00999707,0.000467628,1.09372e-07,0.389586,2.80739e-07,0.000529766
12,0.01,0.00999897,0.00118615,7.04037e-07,0.389734,1.80646e-06,0.00134351
12,0.01,0.0100003,5.6368e-05,1.58873e-09,0.389834,4.07541e-09,6.38377e-05
12,0.01,0.00999,0.00012038,7.24626e-09,0.389035,1.86262e-08,0.000136473
12,0.01,0.0100074,-0.00170278,1.44808e-06,0.390392,3.70931e-06,0.00192705
12,0.01,0.00999774,0.000459054,1.05397e-07,0.389638,2.70501e-07,0.000520017
12,0.01,0.0100004,-0.00167965,1.40903e-06,0.389847,3.61431e-06,0.0019022
12,0.01,0.0100096,-0.00873515,3.793e-05,0.390563,9.71164e-05,0.00988349
12,0.01,0.0099916,0.00225799,2.5531e-06,0.389159,6.56055e-06,0.00255943
12,0.01,0.0099901,0.000623439,1.94419e-07,0.389043,4.99737e-07,0.000706774
12,0.01,0.00999771,0.000979168,4.79698e-07,0.389635,1.23114e-06,0.00110921
12,0.01,0.0100038,0.000258752,3.3482e-08,0.390107,8.58277e-08,0.000292938
12,0.01,0.00999131,0.000512611,1.3143e-07,0.389137,3.37746e-07,0.00058106
12,0.01,0.0100004,-0.000366326,6.7081e-08,0.389845,1.72071e-07,0.000414865
12,0.03,0.0300104,-0.00356749,6.34839e-06,3.51075,1.80827e-06,0.00134632
12,0.03,0.0302627,-0.00676807,2.28003e-05,3.57005,6.38655e-06,0.00253287
12,0.03,0.029935,0.0150336,0.000114144,3.49315,3.26765e-05,0.00568775
12,0.03,0.0299579,-0.0386587,0.000728266,3.4985,0.000208165,0.0146148
12,0.03,0.0299588,0.027989,0.000399077,3.4987,0.000114064,0.0105808
12,0.03,0.0300889,-0.0168947,0.000141119,3.52916,3.99866e-05,0.00635918
12,0.03,0.0299343,-0.00781743,3.03973e-05,3.49298,8.7024e-06,0.00295768
12,0.03,0.0299979,-0.00027446,3.76572e-08,3.50784,1.07352e-08,0.00010362
12,0.03,0.0299481,0.00332157,5.52863e-06,3.49621,1.58132e-06,0.00125612
12,0.03,0.0299372,0.00805163,3.25889e-05,3.49365,9.32802e-06,0.00304599
12,0.03,0.0299113,0.0234817,0.000280049,3.48762,8.0298e-05,0.00889098
12,0.03,0.0299746,0.00436121,9.53776e-06,3.5024,2.72321e-06,0.00164782
12,0.03,0.0295032,0.152478,0.0128769,3.3931,0.00379501,0.0585321
12,0.03,0.0300012,-0.000144666,1.04631e-08,3.5086,2.98212e-09,5.46114e-05
12,0.03,0.0299932,-0.00246286,3.02787e-06,3.50675,8.63442e-07,0.000929979
12,0.03,0.0299776,-0.0291917,0.000417877,3.50308,0.000119288,0.0110286
12,0.03,0.0301214,-0.0102723,5.24004e-05,3.53677,1.48159e-05,0.00386234
12,0.03,0.0299616,-0.00792158,3.12105e-05,3.49936,8.9189e-06,0.00299435
12,0.03,0.0300328,-0.00168518,1.41832e-06,3.516,4.03389e-07,0.000635486
12,0.03,0.0299096,0.000774904,3.00393e-07,3.48723,8.6141e-08,0.000293422
12,0.03,0.029972,-0.000994194,4.93883e-07,3.50179,1.41037e-07,0.000375674
12,0.03,0.0300203,0.00159047,1.26613e-06,3.51307,3.60407e-07,0.000600021
12,0.03,0.0300046,-0.00165918,1.37492e-06,3.50939,3.91782e-07,0.000626272
12,0.03,0.0299242,0.00659948,2.18726e-05,3.49062,6.26612e-06,0.00249772
12,0.03,0.0301063,-0.0266356,0.00034849,3.53324,9.86319e-05,0.0100198
12,0.03,0.0301107,-0.00830611,3.43053e-05,3.53427,9.70648e-06,0.00312416
12,0.03,0.0299899,0.000491063,1.20611e-07,3.50598,3.44014e-08,0.000185446
12,0.03,0.0299012,0.000276705,3.82898e-08,3.48526,1.09862e-08,0.000104805
12,0.03,0.0299727,0.00537095,1.44753e-05,3.50194,4.13351e-06,0.00202947
12,0.03,0.0301681,0.0809233,0.00345641,3.54775,0.000974255,0.0303796
12,0.03,0.0299203,-0.0473757,0.00108741,3.48972,0.000311603,0.0179327
12,0.03,0.030067,0.00086062,3.70546e-07,3.52403,1.05148e-07,0.000324173
12,0.03,0.0300243,-0.00132348,8.75029e-07,3.51401,2.49012e-07,0.000499231
12,0.03,0.030025,0.000490302,1.20237e-07,3.51419,3.42148e-08,0.000184942
12,0.03,0.0299961,-0.00020738,2.15002e-08,3.50741,6.12992e-09,7.82992e-05
12,0.03,0.0299986,0.00157783,1.24608e-06,3.508,3.5521e-07,0.000595682
12,0.03,0.0300816,-0.0140581,9.7894e-05,3.52744,2.77522e-05,0.00529276
12,0.03,0.029977,-0.0068269,2.31975e-05,3.50295,6.62228e-06,0.00257924
12,0.03,0.0299279,0.00983721,4.87038e-05,3.49149,1.39493e-05,0.00372264
12,0.03,0.0300009,-0.00291787,4.24872e-06,3.50855,1.21096e-06,0.00110151
12,0.03,0.0299902,0.00379308,7.21196e-06,3.50603,2.05702e-06,0.00143242
12,0.03,0.0300402,-0.0272249,0.00036394,3.51774,0.000103458,0.0102641
12,0.03,0.0299704,0.00449384,1.01276e-05,3.50141,2.89244e-06,0.00169817
12,0.03,0.0301156,-0.0221958,0.000242712,3.53542,6.86515e-05,0.00834709
12,0.03,0.0299999,0.00315822,4.99768e-06,3.5083,1.42453e-06,0.00119228
12,0.03,0.0300499,0.00515103,1.33122e-05,3.52,3.78188e-06,0.00194137
12,0.03,0.0300211,-0.0021755,2.36298e-06,3.51327,6.72586e-07,0.000820708
12,0.03,0.0299828,-0.00708867,2.50062e-05,3.50431,7.13585e-06,0.00267762
12,0.03,0.0301322,0.00604431,1.83406e-05,3.53931,5.18197e-06,0.00227181
12,0.03,0.0300091,-0.00462513,1.0663e-05,3.51047,3.03749e-06,0.00174553
12,0.03,0.0300044,-0.000369678,6.83141e-08,3.50935,1.94663e-08,0.000139539
12,0.03,0.030012,0.000356845,6.36843e-08,3.51114,1.81378e-08,0.000134661
12,0.03,0.0300028,-0.00150154,1.12619e-06,3.50898,3.20944e-07,0.000566803
12,0.03,0.0300005,-0.00119063,7.08238e-07,3.50845,2.01866e-07,0.000449474
12,0.03,0.0298602,0.036028,0.00066481,3.47571,0.000191273,0.0136648
12,0.03,0.0299967,0.00142997,1.02338e-06,3.50757,2.91763e-07,0.000539894
12,0.03,0.0300563,0.00374178,7.01794e-06,3.52152,1.99287e-06,0.00140993
12,0.03,0.0299909,0.00444616,9.91351e-06,3.50621,2.82742e-06,0.001679
12,0.03,0.0300023,-0.000107774,5.80724e-09,3.50886,1.65502e-09,4.06834e-05
12,0.03,0.0300119,-2.16209e-05,2.33729e-10,3.51111,6.65684e-11,8.159e-06
12,0.03,0.0299015,0.00920659,4.26416e-05,3.48534,1.22346e-05,0.00348707
12,0.03,0.0299578,-0.00580997,1.68126e-05,3.49846,4.80572e-06,0.00219644
12,0.03,0.0317726,0.000490047,1.20112e-07,3.93515,3.05229e-08,0.00017468
12,0.03,0.0300645,0.000615681,1.8961e-07,3.52343,5.38139e-08,0.000231931
12,0.03,0.0299818,0.00324825,5.287e-06,3.50408,1.50881e-06,0.00122701
12,0.03,0.0300848,0.0107997,5.87379e-05,3.52819,1.66482e-05,0.00406555
12,0.03,0.0300536,-0.00176514,1.55602e-06,3.52087,4.41943e-07,0.000665179
12,0.03,0.0298857,-0.0247267,0.000300711,3.48164,8.63705e-05,0.00937041
12,0.03,0.0300086,0.00396351,7.87551e-06,3.51034,2.24352e-06,0.00149586
12,0.03,0.0295318,0.0266155,0.00036054,3.39968,0.000106051,0.010207
12,0.03,0.0300358,-0.011879,6.99993e-05,3.51672,1.99047e-05,0.00447916
12,0.03,0.0300037,-0.00758098,2.85908e-05,3.5092,8.14738e-06,0.00286158
12,0.03,0.0299837,0.00230188,2.6534e-06,3.50451,7.57139e-07,0.00086947
12,0.03,0.0300018,7.98593e-05,3.18892e-09,3.50876,9.08847e-10,3.01463e-05
12,0.03,0.0299182,0.00630022,1.993e-05,3.48921,5.71188e-06,0.00238494
12,0.03,0.0299995,7.83845e-05,3.07222e-09,3.50821,8.75722e-10,2.95918e-05
12,0.03,0.0301124,0.0129846,8.50328e-05,3.53467,2.40568e-05,0.00488358
12,0.03,0.0300214,-0.0100926,5.05889e-05,3.51334,1.43991e-05,0.00380739
12,0.03,0.0300479,-0.00359824,6.45817e-06,3.51954,1.83495e-06,0.00135623
12,0.03,0.0303225,-0.00224026,2.50564e-06,3.58417,6.99084e-07,0.000836737
12,0.03,0.0299836,-0.0029342,4.29636e-06,3.5045,1.22595e-06,0.00110831
12,0.03,0.0301959,0.00908534,4.15225e-05,3.55429,1.16824e-05,0.00340761
12,0.03,0.030006,-0.000448583,1.00583e-07,3.50974,2.86583e-08,0.000169313
