round,random_md,unc_md,lev_md,levE_md,unc_free,lev_free
0.000000000000000000e+00,1.900987548443018538e+00,1.900987548443018538e+00,1.900987548443017428e+00,1.900987548443016095e+00,1.900987548443020536e+00,1.900987548443019204e+00
1.000000000000000000e+00,2.027065727533508444e+00,2.043444722705448857e+00,6.326270593492246963e-01,2.946446128117845009e-01,2.033838042593023587e+00,4.990162057976581522e-01
2.000000000000000000e+00,2.085327255866130880e+00,2.359201104318804809e+00,2.220953337791240212e-01,7.166235657340712384e-02,2.070548956422340048e+00,2.378902780169748488e-01
3.000000000000000000e+00,2.144225460621774104e+00,2.425435023664953782e+00,3.877871511460864729e-01,4.032088420373637350e-01,2.062739026133536324e+00,2.624991639038555258e-01
4.000000000000000000e+00,2.200188197442815685e+00,2.469107712113138398e+00,4.706970085735943665e-01,4.721692219588744521e-01,1.390687556396962954e+00,2.733120280291206350e-01
5.000000000000000000e+00,2.297232600768003508e+00,2.485479419467262030e+00,4.963437822321279946e-01,4.965963805036233136e-01,2.351321068646463341e-01,4.129816813916821761e-01
6.000000000000000000e+00,2.323390598337400803e+00,2.497906295240410302e+00,5.501301440950331356e-01,5.080559266703913446e-01,2.536281699951435376e-01,4.324085540377661796e-01
7.000000000000000000e+00,2.366439248024632125e+00,2.503608082286369996e+00,5.802673376795532967e-01,5.145944972086144986e-01,3.589437073286090296e-01,4.406282859829987464e-01
8.000000000000000000e+00,2.378399637553876289e+00,2.518225561904732679e+00,5.861656436171837070e-01,5.187678342315832358e-01,3.786188296805853004e-01,4.807445650722886876e-01
9.000000000000000000e+00,2.399394686291123513e+00,2.401742512754207581e+00,5.916823555159178571e-01,5.216244704549143352e-01,3.701054674065438338e-02,5.013109682019523117e-01
1.000000000000000000e+01,2.437303019114694713e+00,2.163698739340658150e+00,4.063219195012221507e-01,5.236727823428271034e-01,3.196507412880329746e-02,5.636532855192645242e-01
1.100000000000000000e+01,2.442418915243191435e+00,1.399112647003245558e+00,2.855696390336667223e-01,5.251897801584205494e-01,9.198932613347185483e-02,5.557918541119970524e-01
1.200000000000000000e+01,2.447360878839051956e+00,6.207875277400799474e-01,2.808461414962829528e-01,5.263397355994136051e-01,9.999856192956167733e-02,5.635801028718560035e-01
1.300000000000000000e+01,2.456417289653027858e+00,2.168974014004007578e-01,2.844386291141898226e-01,5.272264158129559286e-01,4.723464223234711407e-02,5.711118183317905883e-01
1.400000000000000000e+01,2.466612990882200318e+00,2.146268096951550186e-01,2.929044489096482851e-01,5.279186215680601313e-01,4.290612773250222778e-02,5.759365334800284897e-01
