frame,E0_eV,F_eV,magnetic_moment
f0001,-564.47993958,-564.49035857,1.0000
f0002,-562.49623691,-562.51712201,1.0000
f0161,-564.33483881,-564.34810555,1.0000
f0003,-564.41665303,-564.43358516,1.0000
f0004,-564.75473507,-564.77488615,1.0000
f0162,-564.57533079,-564.59107396,1.0000
f0005,-564.29154443,-564.31159054,1.0000
f0006,-564.81291191,-564.83250141,1.0000
f0163,-563.64931537,-563.66821899,1.0000
f0007,-564.27730324,-564.29630788,1.0000
f0164,-564.68406171,-564.70224538,1.0000
f0165,-563.04444595,-563.05656222,1.0000
f0011,-563.80695952,-563.82554590,1.0000
f0012,-563.83377410,-563.85515034,1.0000
f0166,-565.64783942,-565.66008579,1.0000
f0013,-564.24892977,-564.26666162,1.0000
f0167,-565.17748869,-565.19688191,1.0000
f0016,-564.27869714,-564.29956643,1.0000
f0168,-564.73563123,-564.75735282,1.0000
f0017,-563.49779681,-563.51283826,1.0000
f0018,-566.07343716,-566.08790011,1.0000
f0169,-565.29729954,-565.31416643,1.0000
f0019,-564.81300779,-564.83425896,1.0000
f0020,-564.23741731,-564.25204953,1.0000
f0170,-565.30595189,-565.32373293,1.0000
f0021,-564.73526555,-564.75244462,1.0000
f0171,-564.82937108,-564.84909160,1.0000
f0023,-563.93066120,-563.95077967,1.0000
f0024,-564.12335219,-564.14137603,1.0000
f0172,-563.17679139,-563.18879428,1.0000
f0025,-564.01037231,-564.02818357,1.0000
f0026,-563.71278048,-563.73168024,1.0000
f0173,-561.47485667,-561.49636458,1.0000
f0027,-563.23442529,-563.25513113,1.0000
f0028,-564.11834304,-564.13417100,1.0000
f0174,-564.77250810,-564.79028046,1.0000
f0029,-564.16861857,-564.18759277,1.0000
f0030,-564.05329024,-564.07207240,1.0000
f0175,-564.28871090,-564.31084976,1.0000
f0032,-564.28137945,-564.29826262,1.0000
f0176,-563.16359052,-563.17922139,1.0000
f0033,-564.98254776,-565.00126755,1.0000
f0034,-564.78713068,-564.80753274,1.0000
f0177,-564.48616599,-564.50224207,1.0000
f0035,-564.29167879,-564.30870054,1.0000
f0178,-564.29167665,-564.30852829,1.0000
f0037,-564.11274195,-564.12856448,1.0000
f0038,-565.05261192,-565.07132529,1.0000
f0179,-563.58075958,-563.60189843,1.0000
f0039,-563.70449303,-563.72497530,1.0000
f0040,-563.93943146,-563.96077026,1.0000
f0180,-565.87096683,-565.89139113,1.0000
f0041,-562.91680223,-562.93540981,1.0000
f0042,-564.76572640,-564.78322476,1.0000
f0181,-564.12863236,-564.14574552,1.0000
f0043,-564.75057912,-564.76310922,1.0000
f0044,-562.65008934,-562.66827790,1.0000
f0182,-565.56964948,-565.58706842,1.0000
f0045,-564.48435307,-564.49897928,1.0000
f0046,-566.20212910,-566.21835752,1.0000
f0183,-565.63514061,-565.65056885,1.0000
f0047,-562.98335308,-562.99866499,1.0000
f0048,-564.21564977,-564.23518695,1.0000
f0184,-562.50298909,-562.52323722,1.0000
f0049,-566.54789461,-566.56553652,1.0000
f0050,-565.83723064,-565.85624004,1.0000
f0185,-565.50064374,-565.51687710,1.0000
f0186,-563.70756363,-563.72687035,1.0000
f0053,-562.85995243,-562.87687225,1.0000
f0054,-563.54513154,-563.56403941,1.0000
f0187,-563.11312148,-563.13391956,1.0000
f0055,-564.39636791,-564.41398900,1.0000
f0056,-563.51198419,-563.53085802,1.0000
f0188,-564.82574424,-564.84259498,1.0000
f0057,-565.01447216,-565.03179565,1.0000
f0189,-563.90723552,-563.92512170,1.0000
f0059,-563.41016598,-563.43185371,1.0000
f0060,-562.40716670,-562.42627479,1.0000
f0190,-564.65801253,-564.67770259,1.0000
f0061,-565.47466065,-565.49214323,1.0000
f0191,-564.46266313,-564.48177198,1.0000
f0063,-562.29310011,-562.30910828,1.0000
f0064,-564.58187265,-564.59770070,1.0000
f0192,-564.07369994,-564.09059455,1.0000
f0066,-563.50934836,-563.52537281,1.0000
f0193,-564.06070762,-564.08236261,1.0000
f0067,-564.74848619,-564.76162869,1.0000
f0068,-564.92291455,-564.94194040,1.0000
f0194,-564.36477781,-564.38063869,1.0000
f0195,-564.87590499,-564.89376510,1.0000
f0071,-564.59210362,-564.61095007,1.0000
f0072,-565.50747225,-565.52435943,1.0000
f0196,-564.87119177,-564.88887100,1.0000
f0073,-565.12513915,-565.14416852,1.0000
f0197,-565.99747816,-566.01513709,1.0000
f0075,-563.48509258,-563.50296125,1.0000
f0076,-564.21091750,-564.23131022,1.0000
f0198,-562.44354611,-562.46129890,1.0000
f0077,-563.74102758,-563.75683899,1.0000
f0078,-565.01128420,-565.03110271,1.0000
f0199,-565.73507529,-565.75240944,1.0000
f0079,-563.57170806,-563.59096627,1.0000
f0200,-564.87294709,-564.89173958,1.0000
f0082,-564.72117641,-564.73875378,1.0000
f0201,-564.17687795,-564.19615639,1.0000
f0084,-564.54827817,-564.56381986,1.0000
f0202,-563.85504822,-563.87541636,1.0000
f0085,-564.77627231,-564.79263488,1.0000
f0086,-563.24102986,-563.25845413,1.0000
f0203,-564.78349375,-564.80352456,1.0000
f0087,-563.39671686,-563.41041424,1.0000
f0204,-564.82751017,-564.84648295,1.0000
f0089,-562.85030505,-562.86525028,1.0000
f0090,-563.56524637,-563.58161990,1.0000
f0205,-561.63000086,-561.64995138,1.0000
f0091,-564.09287347,-564.11277539,1.0000
f0092,-563.32361553,-563.33885406,1.0000
f0206,-564.69946100,-564.71666794,1.0000
f0093,-562.47053179,-562.48356743,1.0000
f0094,-563.59932264,-563.61876996,1.0000
f0207,-563.96197756,-563.97982103,1.0000
f0208,-565.06189168,-565.07930781,1.0000
f0097,-563.48666271,-563.50628249,1.0000
f0098,-563.64707549,-563.66627759,1.0000
f0209,-565.62142181,-565.63562635,1.0000
f0099,-565.89086925,-565.90463020,1.0000
f0100,-565.89207557,-565.91478370,1.0000
f0210,-563.40146598,-563.42068708,1.0000
f0101,-564.00268925,-564.01678824,1.0000
f0102,-562.43691286,-562.45633371,1.0000
f0211,-565.67429116,-565.67928636,1.0000
f0103,-565.87060979,-565.88763772,1.0000
f0104,-565.23347336,-565.24952755,1.0000
f0212,-564.56912563,-564.58584466,1.0000
f0105,-565.16470031,-565.18523963,1.0000
f0106,-563.90097770,-563.91838858,1.0000
f0213,-565.04626043,-565.05715395,1.0000
f0107,-564.24642421,-564.26260452,1.0000
f0108,-563.13595924,-563.15148345,1.0000
f0214,-563.27564874,-563.29431865,1.0000
f0109,-564.71258301,-564.72986374,1.0000
f0110,-563.00306013,-563.02257079,1.0000
f0215,-566.23511983,-566.25249756,1.0000
f0111,-563.25062473,-563.27062743,1.0000
f0112,-560.74272606,-560.76325620,1.0000
f0216,-565.02777469,-565.04938551,1.0000
f0114,-563.06671152,-563.08767932,1.0000
f0217,-565.34623877,-565.35821192,1.0000
f0115,-565.49881739,-565.51993762,1.0000
f0116,-563.87446803,-563.88729876,1.0000
f0218,-565.22723215,-565.24268164,1.0000
f0117,-563.78688841,-563.80659331,1.0000
f0118,-563.76807918,-563.78399398,1.0000
f0219,-563.64855880,-563.66633977,1.0000
f0220,-564.34620734,-564.36418138,1.0000
f0221,-564.22612666,-564.24662197,1.0000
f0123,-564.13423326,-564.15461195,1.0000
