frame,E0_eV,F_eV,magnetic_moment
p0001,-564.67773786,-564.69492797,0.5212
p0002,-564.10964790,-564.13269848,-0.1670
p0003,-564.36769439,-564.38249454,-0.4831
p0004,-565.06427480,-565.08348758,0.5667
p0005,-564.92981402,-564.94792872,-0.9990
p0006,-562.53027081,-562.54627695,-0.8785
p0007,-563.48746362,-563.50700873,0.5351
p0011,-564.37643242,-564.39358286,0.7300
p0012,-565.91218472,-565.92875734,-0.4605
p0013,-563.67850304,-563.69876805,-0.2520
p0017,-563.62705412,-563.64687527,0.9905
p0018,-565.01517338,-565.03131503,0.3528
p0019,-564.87420547,-564.89386633,0.3308
p0020,-562.52511420,-562.54173267,-0.9991
p0021,-564.90926795,-564.92853693,-0.1493
p0023,-565.14554455,-565.16344381,0.6501
p0024,-564.96603952,-564.98586878,-0.9898
p0025,-563.73999728,-563.75548057,0.9949
p0026,-564.55896263,-564.57747987,0.5087
p0027,-563.76843568,-563.79209537,-0.5191
p0028,-566.05614592,-566.07476574,0.9990
p0029,-564.33805940,-564.35480169,0.7928
p0032,-562.69382185,-562.71648271,0.1404
p0033,-565.21388477,-565.23614208,-0.2471
p0034,-561.62859440,-561.64819041,0.5723
p0035,-562.84398815,-562.86324972,0.3740
p0037,-564.81255768,-564.82886644,0.6663
p0038,-565.46656950,-565.48358098,-0.9949
p0039,-565.74413989,-565.76186523,0.9964
p0041,-564.26719433,-564.28877470,-0.7667
p0042,-564.77895270,-564.79577355,-0.9886
p0043,-565.00809629,-565.02620157,0.9985
p0044,-564.95384213,-564.97276071,0.3184
p0045,-562.99790905,-563.01651401,0.5808
p0046,-564.51435830,-564.53653027,0.3283
p0047,-565.32907072,-565.34736546,-0.9932
p0049,-565.39729009,-565.41855139,0.8358
p0050,-564.25333309,-564.27006798,0.3055
p0053,-562.45291556,-562.46593498,0.5838
p0054,-565.74222682,-565.76329580,-0.4221
