x,p
-6.500000000000000000e+00,0.000000000000000000e+00
-5.500000000000000000e+00,1.250000000000000069e-02
-4.500000000000000000e+00,0.000000000000000000e+00
-3.500000000000000000e+00,7.499999999999999722e-02
-2.500000000000000000e+00,6.250000000000000000e-02
-1.500000000000000000e+00,1.499999999999999944e-01
-5.000000000000000000e-01,2.750000000000000222e-01
5.000000000000000000e-01,1.375000000000000111e-01
1.500000000000000000e+00,1.125000000000000028e-01
2.500000000000000000e+00,5.000000000000000278e-02
3.500000000000000000e+00,8.749999999999999445e-02
4.500000000000000000e+00,3.749999999999999861e-02
5.500000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e+00,0.000000000000000000e+00
8.500000000000000000e+00,0.000000000000000000e+00
