x,p
-6.500000000000000000e+00,0.000000000000000000e+00
-5.500000000000000000e+00,0.000000000000000000e+00
-4.500000000000000000e+00,1.526717557251908337e-02
-3.500000000000000000e+00,4.580152671755725186e-02
-2.500000000000000000e+00,5.343511450381679267e-02
-1.500000000000000000e+00,6.870229007633588125e-02
-5.000000000000000000e-01,1.984732824427480891e-01
5.000000000000000000e-01,2.061068702290076438e-01
1.500000000000000000e+00,9.923664122137404453e-02
2.500000000000000000e+00,1.450381679389312894e-01
3.500000000000000000e+00,6.106870229007633349e-02
4.500000000000000000e+00,5.343511450381679267e-02
5.500000000000000000e+00,2.290076335877862593e-02
6.500000000000000000e+00,1.526717557251908337e-02
7.500000000000000000e+00,7.633587786259541687e-03
8.500000000000000000e+00,7.633587786259541687e-03
