x,V,nu
-1.348498999332888637e+00,5.358877342899448060e+00,4.438127721322374720e-08
-1.346097398265510448e+00,5.274468851178315099e+00,4.911818854591759555e-08
-1.343695797198132258e+00,5.190879082724454641e+00,5.431958281782936728e-08
-1.341294196130753846e+00,5.108104460753752463e+00,6.002660778145235030e-08
-1.338892595063375657e+00,5.026141414869227830e+00,6.628362048570503485e-08
-1.336490993995997467e+00,4.944986381060995306e+00,7.313839718827536042e-08
-1.334089392928619056e+00,4.864635801706278073e+00,8.064235472104340264e-08
-1.331687791861240866e+00,4.785086125569441684e+00,8.885078274590120631e-08
-1.329286190793862676e+00,4.706333807801943436e+00,9.782308629313180150e-08
-1.326884589726484265e+00,4.628375309942350135e+00,1.076230401389287655e-07
-1.324482988659106075e+00,4.551207099916373622e+00,1.183190546516673916e-07
-1.322081387591727886e+00,4.474825652036809487e+00,1.299844535262860645e-07
-1.319679786524349696e+00,4.399227447003578817e+00,1.426977633698942710e-07
-1.317278185456971507e+00,4.324408971903720200e+00,1.565430155474647395e-07
-1.314876584389593095e+00,4.250366720211376403e+00,1.716100614637745160e-07
-1.312474983322214905e+00,4.177097191787821018e+00,1.879948979288888420e-07
-1.310073382254836716e+00,4.104596892881432701e+00,2.058000072844343011e-07
-1.307671781187458304e+00,4.032862336127696068e+00,2.251347106985238691e-07
-1.305270180120080115e+00,3.961890040549231884e+00,2.461155323416698254e-07
-1.302868579052701925e+00,3.891676531555755325e+00,2.688665765833062929e-07
-1.300466977985323513e+00,3.822218340944098625e+00,2.935199227239009114e-07
-1.298065376917945324e+00,3.753512006898225728e+00,3.202160260053477179e-07
-1.295663775850567134e+00,3.685554073989198098e+00,3.491041345161037759e-07
-1.293262174783188723e+00,3.618341093175185375e+00,3.803427219067067363e-07
-1.290860573715810755e+00,3.551869621801505339e+00,4.140999277182747630e-07
-1.288458972648432344e+00,3.486136223600540873e+00,4.505540144052806188e-07
-1.286057371581054154e+00,3.421137468691834549e+00,4.898938333905698919e-07
-1.283655770513675964e+00,3.356869933582020682e+00,5.323193077047594888e-07
-1.281254169446297553e+00,3.293330201164842208e+00,5.780419243377412035e-07
-1.278852568378919363e+00,3.230514860721183101e+00,6.272852359644032593e-07
-1.276450967311541174e+00,3.168420507919015527e+00,6.802853794694982709e-07
-1.274049366244162762e+00,3.107043744813430042e+00,7.372915999837834884e-07
-1.271647765176784572e+00,3.046381179846652465e+00,7.985667922764773705e-07
-1.269246164109406383e+00,2.986429427847999474e+00,8.643880476792262798e-07
-1.266844563042027971e+00,2.927185110033906579e+00,9.350472064182930079e-07
-1.264442961974650004e+00,2.868644854007942335e+00,1.010851435908140915e-06
-1.262041360907271592e+00,2.810805293760757717e+00,1.092123801861773371e-06
-1.259639759839893181e+00,2.753663069670142960e+00,1.179203851574626693e-06
-1.257238158772515213e+00,2.697214828501009354e+00,1.272448204973493099e-06
