s,betaF
2.500000000000000000e-01,0.000000000000000000e+00
2.525000000000000022e-01,5.381605448969439820e-02
2.550000000000000044e-01,1.077568634221877097e-01
2.575000000000000067e-01,1.618064378540475801e-01
2.600000000000000089e-01,2.159487566019575588e-01
2.625000000000000111e-01,2.701677709916605608e-01
2.650000000000000133e-01,3.244474096150486986e-01
2.675000000000000155e-01,3.787715830939930584e-01
2.700000000000000178e-01,4.331241888495012127e-01
2.725000000000000200e-01,4.874891158747853837e-01
2.750000000000000222e-01,5.418502495108321604e-01
2.775000000000000244e-01,5.961914762230504650e-01
2.800000000000000266e-01,6.504966883775882280e-01
2.824999999999999734e-01,7.047497890158997969e-01
2.850000000000000311e-01,7.589346966261567573e-01
2.874999999999999778e-01,8.130353499100562154e-01
2.899999999999999800e-01,8.670357125436738421e-01
2.924999999999999822e-01,9.209197779308788689e-01
2.949999999999999845e-01,9.746715739479601126e-01
2.974999999999999867e-01,1.028275167678023738e+00
2.999999999999999889e-01,1.081714670133771872e+00
3.024999999999999911e-01,1.134974240967263626e+00
3.049999999999999933e-01,1.188038093165247222e+00
3.074999999999999956e-01,1.240890497728701192e+00
3.099999999999999978e-01,1.293515788335156458e+00
3.125000000000000000e-01,1.345898365982463485e+00
3.150000000000000022e-01,1.398022703612582962e+00
3.175000000000000044e-01,1.449873350714072640e+00
3.200000000000000067e-01,1.501434937901860334e+00
3.225000000000000089e-01,1.552692181472993038e+00
3.250000000000000111e-01,1.603629887936973919e+00
3.275000000000000133e-01,1.654232958519359808e+00
3.300000000000000155e-01,1.704486393637295816e+00
3.325000000000000178e-01,1.754375297345625473e+00
3.350000000000000200e-01,1.803884881752305436e+00
3.375000000000000222e-01,1.853000471401775595e+00
3.399999999999999689e-01,1.901707507625001181e+00
3.425000000000000266e-01,1.949991552854913213e+00
3.449999999999999734e-01,1.997838294905927459e+00
3.475000000000000311e-01,2.045233551216323331e+00
3.499999999999999778e-01,2.092163273052177974e+00
3.525000000000000355e-01,2.138613549671655623e+00
3.549999999999999822e-01,2.184570612448362592e+00
3.574999999999999845e-01,2.230020838952613271e+00
3.599999999999999867e-01,2.274950756989329026e+00
3.624999999999999889e-01,2.319347048591425153e+00
3.649999999999999911e-01,2.363196553967473523e+00
3.674999999999999933e-01,2.406486275402483610e+00
3.699999999999999956e-01,2.449203381110630406e+00
3.724999999999999978e-01,2.491335209038818110e+00
3.750000000000000000e-01,2.532869270619918733e+00
3.775000000000000022e-01,2.573793254474585179e+00
3.800000000000000044e-01,2.614095030060540115e+00
3.825000000000000067e-01,2.653762651268289030e+00
3.850000000000000089e-01,2.692784359962121510e+00
3.875000000000000111e-01,2.731148589465431709e+00
3.900000000000000133e-01,2.768843967989259358e+00
3.925000000000000155e-01,2.805859322003084966e+00
3.950000000000000178e-01,2.842183679546847141e+00
3.974999999999999645e-01,2.877806273483203281e+00
4.000000000000000222e-01,2.912716544689099241e+00
4.024999999999999689e-01,2.946904145185649693e+00
4.050000000000000266e-01,2.980358941205474732e+00
4.074999999999999734e-01,3.013071016196488205e+00
4.100000000000000311e-01,3.045030673761347284e+00
4.124999999999999778e-01,3.076228440531608488e+00
4.150000000000000355e-01,3.106655068975805900e+00
4.174999999999999822e-01,3.136301540140558064e+00
4.200000000000000400e-01,3.165159066323943282e+00
4.224999999999999867e-01,3.193219093680309317e+00
4.250000000000000444e-01,3.220473304755789190e+00
4.274999999999999911e-01,3.246913620953713941e+00
4.299999999999999933e-01,3.272532204929255339e+00
4.324999999999999956e-01,3.297321462912535583e+00
4.349999999999999978e-01,3.321274046959550308e+00
4.375000000000000000e-01,3.344382857130217435e+00
4.400000000000000022e-01,3.366641043592918603e+00
4.425000000000000044e-01,3.388042008654897241e+00
4.450000000000000067e-01,3.408579408717931525e+00
4.475000000000000089e-01,3.428247156158671149e+00
4.500000000000000111e-01,3.447039421133118342e+00
4.525000000000000133e-01,3.464950633304683780e+00
4.550000000000000155e-01,3.481975483495327151e+00
4.575000000000000178e-01,3.498108925259288515e+00
4.599999999999999645e-01,3.513346176378930874e+00
4.625000000000000222e-01,3.527682720282273809e+00
4.649999999999999689e-01,3.541114307381779458e+00
4.675000000000000266e-01,3.553636956333998231e+00
4.699999999999999734e-01,3.565246955219703029e+00
4.725000000000000311e-01,3.575940862644168217e+00
4.749999999999999778e-01,3.585715508757249648e+00
4.775000000000000355e-01,3.594567996192986836e+00
4.799999999999999822e-01,3.602495700928421751e+00
4.825000000000000400e-01,3.609496273061415739e+00
4.849999999999999867e-01,3.615567637507180354e+00
4.875000000000000444e-01,3.620707994613384439e+00
4.899999999999999911e-01,3.624915820693589641e+00
4.924999999999999933e-01,3.628189868478900681e+00
4.949999999999999956e-01,3.630529167487675846e+00
4.974999999999999978e-01,3.631933024313191982e+00
5.000000000000000000e-01,3.632401022829184978e+00
5.024999999999999467e-01,3.631933024313191982e+00
5.050000000000000044e-01,3.630529167487675846e+00
5.075000000000000622e-01,3.628189868478900681e+00
5.100000000000000089e-01,3.624915820693589641e+00
