s,betaF,err
2.125000000000000222e-01,-4.969365116053232612e-01,8.362420100070908080e-02
2.375000000000000167e-01,0.000000000000000000e+00,1.072112534837794812e-01
2.625000000000000111e-01,2.464004134784767430e-01,1.212678125181664845e-01
2.875000000000000333e-01,1.374865665296267636e+00,2.132007163556104146e-01
3.125000000000000555e-01,1.098612288668109560e+00,1.856953381770518607e-01
3.375000000000000777e-01,1.757857917552373639e+00,2.581988897471610978e-01
3.625000000000000444e-01,2.856470206220483199e+00,4.472135954999579277e-01
3.875000000000000111e-01,2.519997969599270249e+00,3.779644730092271976e-01
4.125000000000000333e-01,1.981001468866583348e+00,2.886751345948129210e-01
4.375000000000000555e-01,3.367295829986473699e+00,5.773502691896258421e-01
4.625000000000000777e-01,3.367295829986473699e+00,5.773502691896258421e-01
4.875000000000000444e-01,3.079613757534692908e+00,5.000000000000000000e-01
7.874999999999999778e-01,-4.969365116053232612e-01,8.362420100070908080e-02
7.624999999999999556e-01,0.000000000000000000e+00,1.072112534837794812e-01
7.375000000000000444e-01,2.464004134784767430e-01,1.212678125181664845e-01
7.124999999999999112e-01,1.374865665296267636e+00,2.132007163556104146e-01
6.875000000000000000e-01,1.098612288668109560e+00,1.856953381770518607e-01
6.624999999999998668e-01,1.757857917552373639e+00,2.581988897471610978e-01
6.374999999999999556e-01,2.856470206220483199e+00,4.472135954999579277e-01
6.125000000000000444e-01,2.519997969599270249e+00,3.779644730092271976e-01
5.874999999999999112e-01,1.981001468866583348e+00,2.886751345948129210e-01
5.625000000000000000e-01,3.367295829986473699e+00,5.773502691896258421e-01
5.374999999999998668e-01,3.367295829986473699e+00,5.773502691896258421e-01
5.124999999999999556e-01,3.079613757534692908e+00,5.000000000000000000e-01
