s,betaF
2.562499999999999778e-01,0.000000000000000000e+00
2.687500000000000444e-01,1.563460703906942584e-01
2.812500000000000000e-01,3.794896217049035236e-01
2.937499999999999556e-01,2.531958963806113516e-01
3.062500000000000222e-01,-1.307208156735306659e-02
3.187499999999999778e-01,1.410785982599058741e-01
3.312500000000000444e-01,2.035989552412393877e-01
3.437500000000000000e-01,1.112256351102240970e-01
3.562499999999999556e-01,-1.000834585569823076e-01
3.687500000000000222e-01,0.000000000000000000e+00
3.812499999999999778e-01,-1.119179162039856124e-01
3.937500000000000444e-01,0.000000000000000000e+00
4.062500000000000000e-01,6.805346324501559963e-02
4.187500000000000111e-01,-1.910552367627094128e-01
4.312500000000000222e-01,-1.910552367627094128e-01
4.437499999999999778e-01,-3.136575588550414295e-01
4.562500000000000444e-01,-4.228568508200334364e-01
4.687500000000000000e-01,-3.966544784260097600e-01
4.812500000000000111e-01,-3.327057538257358615e-01
4.937500000000000222e-01,-2.231435513142097093e-01
5.062499999999999778e-01,-4.814510150860860094e-01
5.187500000000000444e-01,-4.054651081081646069e-01
5.312500000000000000e-01,-1.307208156735306659e-02
5.437500000000000666e-01,-4.141987880769191221e-01
5.562500000000000222e-01,-2.843871765549286224e-01
5.687499999999999778e-01,8.223809823697170174e-02
5.812500000000000444e-01,-2.231435513142097093e-01
5.937500000000000000e-01,-2.744368457017607454e-01
6.062500000000000666e-01,-3.871451218069044131e-02
6.187500000000000222e-01,2.666824708216086748e-02
6.312499999999999778e-01,1.112256351102240970e-01
6.437500000000000444e-01,3.053816495511814111e-01
6.562500000000000000e-01,1.718502569266595614e-01
6.687500000000000666e-01,8.223809823697170174e-02
6.812500000000000222e-01,4.027389913794010567e-02
6.937499999999999778e-01,4.027389913794010567e-02
7.062500000000000444e-01,2.363887780642306424e-01
7.187500000000000000e-01,8.223809823697170174e-02
7.312500000000000666e-01,1.410785982599058741e-01
7.437500000000000222e-01,1.260407208953653324e-01
