s,nu_eq,nu_path
2.500000000000000000e-01,2.645259481536744658e-02,6.929064725313075490e-01
2.525000000000000022e-01,2.791517117196401152e-02,6.929064725313075490e-01
2.550000000000000044e-01,2.946228938255884833e-02,6.929064725313075490e-01
2.575000000000000067e-01,3.109853444149095203e-02,7.038249233796162185e-01
2.600000000000000089e-01,3.282869605905106708e-02,7.261806774887151761e-01
2.625000000000000111e-01,3.465777291898260865e-02,7.492465225951414620e-01
2.650000000000000133e-01,3.659097648073211806e-02,7.730450134837626441e-01
2.675000000000000155e-01,3.863373425550947066e-02,7.975994213523039944e-01
2.700000000000000178e-01,4.079169248045278612e-02,8.284491469591197532e-01
2.725000000000000200e-01,4.307071811044770743e-02,8.662591953709560810e-01
2.750000000000000222e-01,4.547690004247303963e-02,9.057948774757629273e-01
2.775000000000000244e-01,4.801654948278646917e-02,9.471349504232239314e-01
2.800000000000000266e-01,5.069619936288470574e-02,9.903617658040977378e-01
2.824999999999999734e-01,5.352260270603542702e-02,1.000000000000000000e+00
2.850000000000000311e-01,5.650272984235443774e-02,9.750575880470875312e-01
2.874999999999999778e-01,5.964376436696327416e-02,9.507373000082046666e-01
2.899999999999999800e-01,6.295309773280098609e-02,9.270236186124006794e-01
2.924999999999999822e-01,6.643832236724643570e-02,9.039014136268909150e-01
2.949999999999999845e-01,7.010722319995042751e-02,8.691051580821441691e-01
2.974999999999999867e-01,7.396776748825258097e-02,8.240329630459483079e-01
2.999999999999999889e-01,7.802809282638047128e-02,7.812982328682788191e-01
3.024999999999999911e-01,8.229649322539421552e-02,7.407797455416325061e-01
3.049999999999999933e-01,8.678140315265069071e-02,7.023625656878224044e-01
3.074999999999999956e-01,9.149137942253113276e-02,6.945318463544135623e-01
3.099999999999999978e-01,9.643508083439182588e-02,7.162778513221856880e-01
3.125000000000000000e-01,1.016212454592862330e-01,7.387047303701610446e-01
3.150000000000000022e-01,1.070586654840376128e-01,7.618338018744631457e-01
3.175000000000000044e-01,1.127561595298390701e-01,7.856870516961061979e-01
3.200000000000000067e-01,1.187225423727771983e-01,8.028963793924879244e-01
3.225000000000000089e-01,1.249665920056274582e-01,8.129988826267043889e-01
3.250000000000000111e-01,1.314970139939845573e-01,8.232285013570382892e-01
3.275000000000000133e-01,1.383224030953541239e-01,8.335868350236459445e-01
3.300000000000000155e-01,1.454512021272601763e-01,8.440755031917583917e-01
3.325000000000000178e-01,1.528916580897355104e-01,8.415594451605007409e-01
3.350000000000000200e-01,1.606517755687776883e-01,8.261546544716563689e-01
3.375000000000000222e-01,1.687392674704122630e-01,8.110318493009258667e-01
3.399999999999999689e-01,1.771615031598958168e-01,7.961858678883066975e-01
3.425000000000000266e-01,1.859254541072144495e-01,7.816116429600885596e-01
3.449999999999999734e-01,1.950376371682795429e-01,7.582322639699116129e-01
3.475000000000000311e-01,2.045040556609882265e-01,7.268556752287165246e-01
3.499999999999999778e-01,2.143301384263802123e-01,6.967774885310857869e-01
3.525000000000000355e-01,2.245206770973477428e-01,6.679439743948023533e-01
3.549999999999999822e-01,2.350797618304324432e-01,6.403036267300716844e-01
3.574999999999999845e-01,2.460107157899915908e-01,6.332212689762843905e-01
3.599999999999999867e-01,2.573160287080239472e-01,6.460239702987206067e-01
3.624999999999999889e-01,2.689972898769948384e-01,6.590855213616535480e-01
3.649999999999999911e-01,2.810551209666151684e-01,6.724111556846714688e-01
3.674999999999999933e-01,2.934891090883876563e-01,6.860062126005935790e-01
3.699999999999999956e-01,3.062977405633658945e-01,6.851948416551846277e-01
3.724999999999999978e-01,3.194783358785661664e-01,6.700281021068481557e-01
3.750000000000000000e-01,3.330269863453068635e-01,6.551970772699232670e-01
