B,slope,se
2.000000000000000111e-01,1.335767258003146551e+00,1.188764016135840373e-01
5.025641025641025550e-01,1.314486925575490739e+00,1.169775621441726671e-01
8.051282051282051544e-01,1.294900998511329560e+00,1.152293462328452534e-01
1.107692307692307754e+00,1.276857986307875059e+00,1.136183385248225181e-01
1.410256410256410353e+00,1.260219955231101086e+00,1.121323166646104041e-01
1.712820512820512953e+00,1.244861502499325034e+00,1.107601622012742426e-01
2.015384615384615774e+00,1.230668757902366961e+00,1.094917736701455091e-01
2.317948717948718595e+00,1.217538425200325403e+00,1.083179829548826106e-01
2.620512820512820973e+00,1.205376871826347562e+00,1.072304757043533729e-01
2.923076923076923350e+00,1.194099272332603379e+00,1.062217163101537715e-01
3.225641025641026172e+00,1.183628808568535806e+00,1.052848777352220350e-01
3.528205128205128993e+00,1.173895927670724593e+00,1.044137763145526338e-01
3.830769230769231370e+00,1.164837657487548306e+00,1.036028115185141374e-01
4.133333333333333748e+00,1.156396977980885143e+00,1.028469105713204074e-01
4.435897435897437013e+00,1.148522246372838840e+00,1.021414777461002177e-01
4.738461538461539391e+00,1.141166673278153354e+00,1.014823481087156060e-01
5.041025641025641768e+00,1.134287846731742544e+00,1.008657454506519530e-01
5.343589743589744145e+00,1.127847300842828915e+00,1.002882441332452190e-01
5.646153846153846523e+00,1.121810125746718567e+00,9.974673455810204037e-02
5.948717948717949788e+00,1.116144615553023911e+00,9.923839197923285671e-02
6.251282051282052166e+00,1.110821951081193637e+00,9.876064837902963356e-02
6.553846153846154543e+00,1.105815914311542025e+00,9.831116714108284471e-02
6.856410256410257809e+00,1.101102631647113306e+00,9.788782026655143409e-02
7.158974358974360186e+00,1.096660343267192861e+00,9.748866789633572894e-02
7.461538461538462563e+00,1.092469196047645363e+00,9.711193991779011603e-02
7.764102564102564941e+00,1.088511057719789177e+00,9.675601945153582129e-02
8.066666666666666430e+00,1.084769350133190757e+00,9.641942803061823164e-02
8.369230769230769695e+00,1.081228899674872235e+00,9.610081230045908196e-02
8.671794871794872961e+00,1.077875803075535099e+00,9.579893208353854051e-02
8.974358974358974450e+00,1.074697307001015734e+00,9.551264966736718043e-02
9.276923076923077716e+00,1.071681699983285885e+00,9.524092018796186110e-02
9.579487179487179205e+00,1.068818215389636617e+00,9.498278299369476707e-02
9.882051282051282470e+00,1.066096944261209822e+00,9.473735388602962104e-02
1.018461538461538574e+01,1.063508756972992408e+00,9.450381814430096339e-02
1.048717948717948723e+01,1.061045232777403369e+00,9.428142425139086902e-02
1.078974358974359049e+01,1.058698596393070845e+00,9.406947824593298035e-02
1.109230769230769198e+01,1.056461660890257281e+00,9.386733863461321770e-02
1.139487179487179525e+01,1.054327776205012723e+00,9.367441180526557554e-02
1.169743589743589851e+01,1.052290782686728265e+00,9.349014788788552466e-02
1.200000000000000000e+01,1.050344969148455654e+00,9.331403701641372006e-02
