s,eta,winding,error
0.0,0.0,0,0.0
0.0,0.015625,0,0.0
0.0,0.03125,0,0.0
0.0,0.046875,0,0.0
0.0,0.0625,0,0.0
0.0,0.078125,0,0.0
0.0,0.09375,0,0.0
0.0,0.109375,0,0.0
0.0,0.125,0,0.0
0.0,0.140625,0,0.0
0.0,0.15625,0,0.0
0.0,0.171875,0,0.0
0.0,0.1875,0,0.0
0.0,0.203125,0,0.0
0.0,0.21875,0,0.0
0.0,0.234375,0,0.0
0.0,0.25,0,0.0
0.0,0.265625,0,-0.0
0.0,0.28125,0,-0.0
0.0,0.296875,0,-0.0
0.0,0.3125,0,-0.0
0.0,0.328125,0,-0.0
0.0,0.34375,0,-0.0
0.0,0.359375,0,-0.0
0.0,0.375,0,-0.0
0.0,0.390625,0,-0.0
0.0,0.40625,0,-0.0
0.0,0.421875,0,-0.0
0.0,0.4375,0,-0.0
0.0,0.453125,0,-0.0
0.0,0.46875,0,-0.0
0.0,0.484375,0,-0.0
0.0,0.5,0,-0.0
0.0,0.515625,0,-0.0
0.0,0.53125,0,-0.0
0.0,0.546875,0,-0.0
0.0,0.5625,0,-0.0
0.0,0.578125,0,-0.0
0.0,0.59375,0,-0.0
0.0,0.609375,0,-0.0
0.0,0.625,0,-0.0
0.0,0.640625,0,-0.0
0.0,0.65625,0,-0.0
0.0,0.671875,0,-0.0
0.0,0.6875,0,-0.0
0.0,0.703125,0,-0.0
0.0,0.71875,0,-0.0
0.0,0.734375,0,-0.0
0.0,0.75,0,-0.0
0.0,0.765625,0,0.0
0.0,0.78125,0,0.0
0.0,0.796875,0,0.0
0.0,0.8125,0,0.0
0.0,0.828125,0,0.0
0.0,0.84375,0,0.0
0.0,0.859375,0,0.0
0.0,0.875,0,0.0
0.0,0.890625,0,0.0
0.0,0.90625,0,0.0
0.0,0.921875,0,0.0
0.0,0.9375,0,0.0
0.0,0.953125,0,0.0
0.0,0.96875,0,0.0
0.0,0.984375,0,0.0
0.0,1.0,0,0.0
0.01,0.0,0,0.0
0.01,0.015625,0,0.0
0.01,0.03125,0,0.0
0.01,0.046875,0,0.0
0.01,0.0625,0,0.0
0.01,0.078125,0,0.0
0.01,0.09375,0,0.0
0.01,0.109375,0,0.0
0.01,0.125,0,0.0
0.01,0.140625,0,0.0
0.01,0.15625,0,0.0
0.01,0.171875,0,0.0
0.01,0.1875,0,0.0
0.01,0.203125,0,0.0
0.01,0.21875,0,0.0
0.01,0.234375,0,0.0
0.01,0.25,0,0.0
0.01,0.265625,0,-0.0
0.01,0.28125,0,-0.0
0.01,0.296875,0,-0.0
0.01,0.3125,0,-0.0
0.01,0.328125,0,-0.0
0.01,0.34375,0,-0.0
0.01,0.359375,0,-0.0
0.01,0.375,0,-0.0
0.01,0.390625,0,-0.0
0.01,0.40625,0,-0.0
0.01,0.421875,0,-0.0
0.01,0.4375,0,-0.0
0.01,0.453125,0,-0.0
0.01,0.46875,0,-0.0
0.01,0.484375,0,-0.0
0.01,0.5,0,-0.0
0.01,0.515625,0,-0.0
0.01,0.53125,0,-0.0
0.01,0.546875,0,-0.0
0.01,0.5625,0,-0.0
0.01,0.578125,0,-0.0
0.01,0.59375,0,-0.0
0.01,0.609375,0,-0.0
0.01,0.625,0,-0.0
0.01,0.640625,0,-0.0
0.01,0.65625,0,-0.0
0.01,0.671875,0,-0.0
0.01,0.6875,0,-0.0
0.01,0.703125,0,-0.0
0.01,0.71875,0,-0.0
0.01,0.734375,0,-0.0
0.01,0.75,0,-0.0
0.01,0.765625,0,0.0
0.01,0.78125,0,0.0
0.01,0.796875,0,0.0
0.01,0.8125,0,0.0
0.01,0.828125,0,0.0
0.01,0.84375,0,0.0
0.01,0.859375,0,0.0
0.01,0.875,0,0.0
0.01,0.890625,0,0.0
0.01,0.90625,0,0.0
0.01,0.921875,0,0.0
0.01,0.9375,0,0.0
0.01,0.953125,0,0.0
0.01,0.96875,0,0.0
0.01,0.984375,0,0.0
0.01,1.0,0,0.0
0.02,0.0,0,0.0
0.02,0.015625,0,0.0
0.02,0.03125,0,0.0
0.02,0.046875,0,0.0
0.02,0.0625,0,0.0
0.02,0.078125,0,0.0
0.02,0.09375,0,0.0
0.02,0.109375,0,0.0
0.02,0.125,0,0.0
0.02,0.140625,0,0.0
0.02,0.15625,0,0.0
0.02,0.171875,0,0.0
0.02,0.1875,0,0.0
0.02,0.203125,0,0.0
0.02,0.21875,0,0.0
0.02,0.234375,0,0.0
0.02,0.25,0,0.0
0.02,0.265625,0,-0.0
0.02,0.28125,0,-0.0
0.02,0.296875,0,-0.0
0.02,0.3125,0,-0.0
0.02,0.328125,0,-0.0
0.02,0.34375,0,-0.0
0.02,0.359375,0,-0.0
0.02,0.375,0,-0.0
0.02,0.390625,0,-0.0
0.02,0.40625,0,-0.0
0.02,0.421875,0,-0.0
0.02,0.4375,0,-0.0
0.02,0.453125,0,-0.0
0.02,0.46875,0,-0.0
0.02,0.484375,0,-0.0
0.02,0.5,0,-0.0
0.02,0.515625,0,-0.0
0.02,0.53125,0,-0.0
0.02,0.546875,0,-0.0
0.02,0.5625,0,-0.0
0.02,0.578125,0,-0.0
0.02,0.59375,0,-0.0
0.02,0.609375,0,-0.0
0.02,0.625,0,-0.0
0.02,0.640625,0,-0.0
0.02,0.65625,0,-0.0
0.02,0.671875,0,-0.0
0.02,0.6875,0,-0.0
0.02,0.703125,0,-0.0
0.02,0.71875,0,-0.0
0.02,0.734375,0,-0.0
0.02,0.75,0,-0.0
0.02,0.765625,0,0.0
0.02,0.78125,0,0.0
0.02,0.796875,0,0.0
0.02,0.8125,0,0.0
0.02,0.828125,0,0.0
0.02,0.84375,0,0.0
0.02,0.859375,0,0.0
0.02,0.875,0,0.0
0.02,0.890625,0,0.0
0.02,0.90625,0,0.0
0.02,0.921875,0,0.0
0.02,0.9375,0,0.0
0.02,0.953125,0,0.0
0.02,0.96875,0,0.0
0.02,0.984375,0,0.0
0.02,1.0,0,0.0
0.03,0.0,0,3.571700958113665e-10
0.03,0.015625,0,3.5545022417551715e-10
0.03,0.03125,0,3.503071725719998e-10
0.03,0.046875,0,3.4179047139923426e-10
0.03,0.0625,0,3.2998214114521677e-10
0.03,0.078125,0,3.1499590248538345e-10
0.03,0.09375,0,2.9697608109033986e-10
0.03,0.109375,0,2.7609621769075665e-10
0.03,0.125,0,2.5255739678526616e-10
0.03,0.140625,0,2.265863100868167e-10
0.03,0.15625,0,1.9843307335755455e-10
0.03,0.171875,0,1.6836881765730715e-10
0.03,0.1875,0,1.3668307820326174e-10
0.03,0.203125,0,1.0368100598754792e-10
0.03,0.21875,0,6.96804290063709e-11
0.03,0.234375,0,3.5008791402665374e-11
0.03,0.25,0,2.1870360729327173e-26
0.03,0.265625,0,-3.500879140266533e-11
0.03,0.28125,0,-6.968042900637085e-11
0.03,0.296875,0,-1.0368100598754785e-10
0.03,0.3125,0,-1.366830782032617e-10
0.03,0.328125,0,-1.6836881765730712e-10
0.03,0.34375,0,-1.9843307335755445e-10
0.03,0.359375,0,-2.2658631008681668e-10
0.03,0.375,0,-2.525573967852661e-10
0.03,0.390625,0,-2.7609621769075665e-10
0.03,0.40625,0,-2.9697608109033986e-10
0.03,0.421875,0,-3.149959024853834e-10
0.03,0.4375,0,-3.2998214114521677e-10
0.03,0.453125,0,-3.4179047139923426e-10
0.03,0.46875,0,-3.503071725719998e-10
0.03,0.484375,0,-3.554502241755171e-10
0.03,0.5,0,-3.571700958113665e-10
0.03,0.515625,0,-3.5545022417551715e-10
0.03,0.53125,0,-3.503071725719998e-10
0.03,0.546875,0,-3.417904713992343e-10
0.03,0.5625,0,-3.299821411452168e-10
0.03,0.578125,0,-3.1499590248538345e-10
0.03,0.59375,0,-2.969760810903399e-10
0.03,0.609375,0,-2.7609621769075665e-10
0.03,0.625,0,-2.525573967852662e-10
0.03,0.640625,0,-2.2658631008681684e-10
0.03,0.65625,0,-1.9843307335755452e-10
0.03,0.671875,0,-1.683688176573072e-10
0.03,0.6875,0,-1.366830782032619e-10
0.03,0.703125,0,-1.0368100598754796e-10
0.03,0.71875,0,-6.968042900637102e-11
0.03,0.734375,0,-3.5008791402665264e-11
0.03,0.75,0,-6.561108218798151e-26
0.03,0.765625,0,3.5008791402665135e-11
0.03,0.78125,0,6.968042900637089e-11
0.03,0.796875,0,1.0368100598754781e-10
0.03,0.8125,0,1.366830782032618e-10
0.03,0.828125,0,1.6836881765730707e-10
0.03,0.84375,0,1.984330733575544e-10
0.03,0.859375,0,2.2658631008681676e-10
0.03,0.875,0,2.525573967852661e-10
0.03,0.890625,0,2.760962176907565e-10
0.03,0.90625,0,2.9697608109033986e-10
0.03,0.921875,0,3.1499590248538335e-10
0.03,0.9375,0,3.2998214114521667e-10
0.03,0.953125,0,3.4179047139923426e-10
0.03,0.96875,0,3.5030717257199974e-10
0.03,0.984375,0,3.5545022417551715e-10
0.03,1.0,0,3.571700958113665e-10
0.04,0.0,0,0.0011608292139183938
0.04,0.015625,0,0.0011552395039664779
0.04,0.03125,0,0.0011385242060732133
0.04,0.046875,0,0.0011108442976948238
0.04,0.0625,0,0.0010724663514803702
0.04,0.078125,0,0.001023759968031417
0.04,0.09375,0,0.0009651942164461952
0.04,0.109375,0,0.0008973331169277672
0.04,0.125,0,0.0008208302089611457
0.04,0.140625,0,0.0007364222573707928
0.04,0.15625,0,0.0006449221568726038
0.04,0.171875,0,0.000547211103453419
0.04,0.1875,0,0.00044423010797196003
0.04,0.203125,0,0.00033697093370985213
0.04,0.21875,0,0.00022646654514906856
0.04,0.234375,0,0.00011378115995929292
0.04,0.25,0,7.108028905909495e-20
0.04,0.265625,0,-0.00011378115995929277
0.04,0.28125,0,-0.0002264665451490684
0.04,0.296875,0,-0.00033697093370985197
0.04,0.3125,0,-0.0004442301079719599
0.04,0.328125,0,-0.0005472111034534188
0.04,0.34375,0,-0.0006449221568726034
0.04,0.359375,0,-0.0007364222573707927
0.04,0.375,0,-0.0008208302089611455
0.04,0.390625,0,-0.0008973331169277672
0.04,0.40625,0,-0.0009651942164461953
0.04,0.421875,0,-0.001023759968031417
0.04,0.4375,0,-0.0010724663514803702
0.04,0.453125,0,-0.0011108442976948238
0.04,0.46875,0,-0.0011385242060732133
0.04,0.484375,0,-0.0011552395039664779
0.04,0.5,0,-0.0011608292139183938
0.04,0.515625,0,-0.0011552395039664779
0.04,0.53125,0,-0.0011385242060732133
0.04,0.546875,0,-0.001110844297694824
0.04,0.5625,0,-0.0010724663514803702
0.04,0.578125,0,-0.001023759968031417
0.04,0.59375,0,-0.0009651942164461954
0.04,0.609375,0,-0.0008973331169277673
0.04,0.625,0,-0.0008208302089611458
0.04,0.640625,0,-0.0007364222573707932
0.04,0.65625,0,-0.0006449221568726037
0.04,0.671875,0,-0.0005472111034534191
0.04,0.6875,0,-0.00044423010797196063
0.04,0.703125,0,-0.0003369709337098523
0.04,0.71875,0,-0.00022646654514906896
0.04,0.734375,0,-0.00011378115995929256
0.04,0.75,0,-2.1324086717728486e-19
0.04,0.765625,0,0.00011378115995929214
0.04,0.78125,0,0.00022646654514906853
0.04,0.796875,0,0.0003369709337098518
0.04,0.8125,0,0.00044423010797196025
0.04,0.828125,0,0.0005472111034534187
0.04,0.84375,0,0.0006449221568726033
0.04,0.859375,0,0.0007364222573707929
0.04,0.875,0,0.0008208302089611454
0.04,0.890625,0,0.0008973331169277668
0.04,0.90625,0,0.0009651942164461952
0.04,0.921875,0,0.0010237599680314167
0.04,0.9375,0,0.0010724663514803698
0.04,0.953125,0,0.0011108442976948238
0.04,0.96875,0,0.0011385242060732133
0.04,0.984375,0,0.0011552395039664779
0.04,1.0,0,0.0011608292139183938
0.05,0.0,0,0.023174427241061203
0.05,0.015625,0,0.023062836039680207
0.05,0.03125,0,0.022729137119808476
0.05,0.046875,0,0.022176544184462754
0.05,0.0625,0,0.021410379005688453
0.05,0.078125,0,0.020438020172985658
0.05,0.09375,0,0.0192688320334587
0.05,0.109375,0,0.017914074508034485
0.05,0.125,0,0.01638679465226863
0.05,0.140625,0,0.014701701006068267
0.05,0.15625,0,0.012875021942412192
0.05,0.171875,0,0.010924349379247763
0.05,0.1875,0,0.00886846935970434
0.05,0.203125,0,0.006727181132228472
0.05,0.21875,0,0.004521106472997967
0.05,0.234375,0,0.0022714910869442917
0.05,0.25,0,1.4190244071419415e-18
0.05,0.265625,0,-0.002271491086944289
0.05,0.28125,0,-0.004521106472997963
0.05,0.296875,0,-0.006727181132228467
0.05,0.3125,0,-0.008868469359704338
0.05,0.328125,0,-0.01092434937924776
0.05,0.34375,0,-0.012875021942412183
0.05,0.359375,0,-0.014701701006068265
0.05,0.375,0,-0.016386794652268628
0.05,0.390625,0,-0.017914074508034485
0.05,0.40625,0,-0.019268832033458704
0.05,0.421875,0,-0.020438020172985655
0.05,0.4375,0,-0.021410379005688453
0.05,0.453125,0,-0.022176544184462754
0.05,0.46875,0,-0.022729137119808476
0.05,0.484375,0,-0.023062836039680207
0.05,0.5,0,-0.023174427241061203
0.05,0.515625,0,-0.023062836039680207
0.05,0.53125,0,-0.022729137119808476
0.05,0.546875,0,-0.022176544184462757
0.05,0.5625,0,-0.021410379005688457
0.05,0.578125,0,-0.020438020172985658
0.05,0.59375,0,-0.019268832033458708
0.05,0.609375,0,-0.017914074508034485
0.05,0.625,0,-0.016386794652268635
0.05,0.640625,0,-0.014701701006068274
0.05,0.65625,0,-0.012875021942412189
0.05,0.671875,0,-0.010924349379247765
0.05,0.6875,0,-0.008868469359704352
0.05,0.703125,0,-0.0067271811322284734
0.05,0.71875,0,-0.0045211064729979746
0.05,0.734375,0,-0.0022714910869442843
0.05,0.75,0,-4.257073221425824e-18
0.05,0.765625,0,0.002271491086944276
0.05,0.78125,0,0.004521106472997966
0.05,0.796875,0,0.006727181132228465
0.05,0.8125,0,0.008868469359704345
0.05,0.828125,0,0.010924349379247758
0.05,0.84375,0,0.012875021942412182
0.05,0.859375,0,0.01470170100606827
0.05,0.875,0,0.016386794652268628
0.05,0.890625,0,0.017914074508034474
0.05,0.90625,0,0.0192688320334587
0.05,0.921875,0,0.02043802017298565
0.05,0.9375,0,0.021410379005688446
0.05,0.953125,0,0.022176544184462754
0.05,0.96875,0,0.022729137119808472
0.05,0.984375,0,0.023062836039680207
0.05,1.0,0,0.023174427241061203
0.06,0.0,0,0.08329472545891176
0.06,0.015625,0,0.08289363858906278
0.06,0.03125,0,0.08169424066532886
0.06,0.046875,0,0.07970808254537318
0.06,0.0625,0,0.07695429201763537
0.06,0.078125,0,0.07345938959027258
0.06,0.09375,0,0.0692570330841683
0.06,0.109375,0,0.06438769348971808
0.06,0.125,0,0.05889826520906827
0.06,0.140625,0,0.05284161443738824
0.06,0.15625,0,0.046276070032511406
0.06,0.171875,0,0.039264861776148366
0.06,0.1875,0,0.03187551143652418
0.06,0.203125,0,0.024179182496839247
0.06,0.21875,0,0.016249994812024098
0.06,0.234375,0,0.008164310794018392
0.06,0.25,0,5.100330945955692e-18
0.06,0.265625,0,-0.008164310794018382
0.06,0.28125,0,-0.016249994812024087
0.06,0.296875,0,-0.024179182496839233
0.06,0.3125,0,-0.03187551143652417
0.06,0.328125,0,-0.03926486177614835
0.06,0.34375,0,-0.04627607003251138
0.06,0.359375,0,-0.05284161443738823
0.06,0.375,0,-0.05889826520906826
0.06,0.390625,0,-0.06438769348971808
0.06,0.40625,0,-0.0692570330841683
0.06,0.421875,0,-0.07345938959027257
0.06,0.4375,0,-0.07695429201763537
0.06,0.453125,0,-0.07970808254537318
0.06,0.46875,0,-0.08169424066532886
0.06,0.484375,0,-0.08289363858906276
