x,V,Vhat_saddle,dV_saddle,Vhat_wiggle,dV_wiggle,Vhat_slope,dV_slope,Vhat_well,dV_well,Vhat_wells,dV_wells,Vhat_ripple,dV_ripple
-1.61988,31.6489,31.6489,3.32129e-25,31.6489,-2.60615e-24,31.6489,7.81515e-45,31.6489,2.9233e-68,31.6489,7.06527e-06,31.6529,0.00392845
-1.61027,30.4511,30.4511,6.61878e-25,30.4511,-5.16282e-24,30.4511,1.92806e-44,30.4511,8.92829e-68,30.4511,9.18709e-06,30.456,0.00497863
-1.60067,29.2832,29.2832,1.31362e-24,29.2832,-1.01854e-23,29.2832,4.73721e-44,29.2832,2.7157e-67,29.2832,1.18972e-05,29.289,0.0058456
-1.59106,28.145,28.145,2.59644e-24,28.145,-2.00112e-23,28.145,1.15916e-43,28.145,8.22646e-67,28.145,1.53438e-05,28.1515,0.00649745
-1.58145,27.0359,27.0359,5.111e-24,27.0359,-3.91536e-23,27.0359,2.82476e-43,27.0359,2.48178e-66,27.0359,1.97078e-05,27.0428,0.0069102
-1.57185,25.9557,25.9557,1.00197e-23,25.9557,-7.62908e-23,25.9557,6.85552e-43,25.9557,7.45646e-66,25.9557,2.52094e-05,25.9628,0.00706865
-1.56224,24.9039,24.9039,1.95622e-23,24.9039,-1.48039e-22,24.9039,1.65698e-42,24.9039,2.23111e-65,24.9039,3.21148e-05,24.9109,0.00696698
-1.55264,23.8801,23.8801,3.80367e-23,23.8801,-2.86076e-22,23.8801,3.98853e-42,23.8801,6.64856e-65,23.8801,4.07443e-05,23.8867,0.00660893
-1.54303,22.8839,22.8839,7.36555e-23,22.8839,-5.5054e-22,22.8839,9.56152e-42,22.8839,1.97312e-64,22.8839,5.1481e-05,22.8899,0.00600767
-1.53342,21.9149,21.9149,1.42045e-22,21.9149,-1.05511e-21,21.9149,2.28276e-41,21.9149,5.83174e-64,21.9149,6.47808e-05,21.92,0.00518532
-1.52382,20.9727,20.9727,2.72815e-22,20.9727,-2.01377e-21,20.9727,5.42765e-41,20.9727,1.71657e-63,20.9728,8.11828e-05,20.9769,0.00417216
-1.51421,20.0569,20.0569,5.21827e-22,20.0569,-3.82756e-21,20.0569,1.28523e-40,20.0569,5.03203e-63,20.057,0.000101321,20.0599,0.00300547
-1.5046,19.1672,19.1672,9.94042e-22,19.1672,-7.24496e-21,19.1672,3.0309e-40,19.1672,1.46907e-62,19.1673,0.000125938,19.1689,0.00172817
-1.495,18.3031,18.3031,1.88583e-21,18.3031,-1.36569e-20,18.3031,7.11835e-40,18.3031,4.27133e-62,18.3033,0.000155894,18.3035,0.000387276
-1.48539,17.4644,17.4644,3.56301e-21,17.4644,-2.5637e-20,17.4644,1.66497e-39,17.4644,1.2368e-61,17.4645,0.000192187,17.4634,-0.000967869
-1.47578,16.6505,16.6505,6.70427e-21,16.6505,-4.79274e-20,16.6505,3.87839e-39,16.6505,3.56663e-61,16.6507,0.000235958,16.6482,-0.0022874
