x,V,mu,lev,sens,phi
-1.69913,28.4877,4.2456e-13,1.24217e-19,-3.00321e-13,1.00049
-1.68953,27.5133,1.12489e-12,3.4424e-19,-7.9571e-13,1.00049
-1.67992,26.5613,2.9146e-12,9.33292e-19,-2.06169e-12,1.00049
-1.67031,25.6313,7.38707e-12,2.47616e-18,-5.22537e-12,1.00049
-1.66071,24.7231,1.83195e-11,6.43089e-18,-1.29586e-11,1.00048
-1.6511,23.8363,4.4466e-11,1.6354e-17,-3.14537e-11,1.00048
-1.64149,22.9707,1.05666e-10,4.07347e-17,-7.47444e-11,1.00048
-1.63189,22.1261,2.45899e-10,9.94071e-17,-1.73941e-10,1.00048
-1.62228,21.3021,5.60553e-10,2.37743e-16,-3.96515e-10,1.00048
-1.61268,20.4985,1.25208e-09,5.57394e-16,-8.85675e-10,1.00048
-1.60307,19.7149,2.74109e-09,1.28146e-15,-1.93894e-09,1.00048
-1.59346,18.9512,5.88315e-09,2.88972e-15,-4.16152e-09,1.00048
-1.58386,18.207,1.23825e-08,6.39356e-15,-8.75893e-09,1.00048
-1.57425,17.4821,2.55647e-08,1.38831e-14,-1.80834e-08,1.00048
-1.56464,16.7761,5.17867e-08,2.95944e-14,-3.66318e-08,1.00048
-1.55504,16.0889,1.02958e-07,6.19487e-14,-7.28281e-08,1.00048
-1.54543,15.4202,2.00946e-07,1.27373e-13,-1.42141e-07,1.00048
-1.53582,14.7697,3.85117e-07,2.57314e-13,-2.72415e-07,1.00048
-1.52622,14.1372,7.24958e-07,5.10873e-13,-5.12803e-07,1.00048
-1.51661,13.5223,1.34077e-06,9.97111e-13,-9.48398e-07,1.00048
-1.507,12.9248,2.43684e-06,1.9137e-12,-1.72371e-06,1.00048
-1.4974,12.3445,4.35356e-06,3.61265e-12,-3.0795e-06,1.00048
-1.48779,11.7811,7.64748e-06,6.70986e-12,-5.40946e-06,1.00047
-1.47819,11.2344,1.32117e-05,1.22647e-11,-9.34529e-06,1.00047
-1.46858,10.7041,2.24529e-05,2.20684e-11,-1.58821e-05,1.00047
-1.45897,10.1899,3.75468e-05,3.90998e-11,-2.65586e-05,1.00047
-1.44937,9.69166,6.17966e-05,6.82313e-11,-4.37117e-05,1.00047
-1.43976,9.20906,0.000100128,1.17304e-10,-7.08254e-05,1.00047
-1.43015,8.74187,0.000159756,1.98738e-10,-0.000113002,1.00047
-1.42055,8.28984,0.000251055,3.31894e-10,-0.000177582,1.00047
-1.41094,7.85274,0.000388687,5.46492e-10,-0.000274934,1.00047
-1.40133,7.43032,0.000592998,8.87462e-10,-0.000419452,1.00047
-1.39173,7.02235,0.000891732,1.42171e-09,-0.000630756,1.00047
-1.38212,6.62858,0.00132204,2.24739e-09,-0.000935129,1.00047
-1.37252,6.24878,0.00193281,3.50647e-09,-0.00136714,1.00046
-1.36291,5.88272,0.00278719,5.40127e-09,-0.00197148,1.00046
-1.3533,5.53016,0.00396534,8.21617e-09,-0.00280482,1.00046
-1.3437,5.19088,0.00556712,1.23454e-08,-0.0039378,1.00046
-1.33409,4.86464,0.00771465,1.83278e-08,-0.0054568,1.00046
-1.32448,4.55121,0.0105545,2.68907e-08,-0.00746547,1.00046
-1.31488,4.25037,0.014259,3.90023e-08,-0.0100858,1.00046
-1.30527,3.96189,0.0190272,5.59353e-08,-0.0134583,1.00046
-1.29566,3.68555,0.0250833,7.93418e-08,-0.017742,1.00045
-1.28606,3.42114,0.0326753,1.1134e-07,-0.0231119,1.00045
-1.27645,3.16842,0.0420701,1.5461e-07,-0.0297569,1.00045
-1.26684,2.92719,0.0535477,2.12511e-07,-0.037875,1.00045
-1.25724,2.69721,0.0673931,2.89193e-07,-0.0476679,1.00045
-1.24763,2.47829,0.0838863,3.89735e-07,-0.0593335,1.00045
-1.23803,2.27021,0.103291,5.20279e-07,-0.073058,1.00045
-1.22842,2.07275,0.125839,6.88177e-07,-0.0890062,1.00044
-1.21881,1.88571,0.151721,9.02135e-07,-0.107312,1.00044
-1.20921,1.70888,0.181069,1.17236e-06,-0.12807,1.00044
-1.1996,1.54205,0.213943,1.5107e-06,-0.151321,1.00044
-1.18999,1.38501,0.250322,1.93079e-06,-0.17705,1.00044
-1.18039,1.23756,0.290091,2.44816e-06,-0.205177,1.00043
-1.17078,1.09951,0.333036,3.08039e-06,-0.23555,1.00043
-1.16117,0.970644,0.37884,3.84718e-06,-0.267945,1.00043
-1.15157,0.850772,0.427086,4.77045e-06,-0.302066,1.00043
-1.14196,0.739696,0.47726,5.87447e-06,-0.337551,1.00042
-1.13235,0.637219,0.528762,7.18588e-06,-0.373973,1.00042
-1.12275,0.54315,0.580917,8.73379e-06,-0.410858,1.00042
-1.11314,0.457294,0.632995,1.05499e-05,-0.447687,1.00041
-1.10354,0.379463,0.68423,1.26685e-05,-0.483918,1.00041
-1.09393,0.309468,0.733839,1.51268e-05,-0.518998,1.00041
-1.08432,0.247122,0.781047,1.79646e-05,-0.55238,1.0004
-1.07472,0.192238,0.825112,2.12251e-05,-0.583537,1.0004
-1.06511,0.144635,0.86534,2.49547e-05,-0.61198,1.0004
-1.0555,0.104129,0.901111,2.92034e-05,-0.637269,1.00039
-1.0459,0.0705393,0.931893,3.40252e-05,-0.659029,1.00039
-1.03629,0.0436882,0.957255,3.94784e-05,-0.676953,1.00038
-1.02668,0.023398,0.976876,4.56265e-05,-0.690816,1.00038
-1.01708,0.00949319,0.990554,5.25388e-05,-0.700475,1.00037
-1.00747,0.00179979,0.998204,6.02908e-05,-0.705869,1.00037
-0.997865,0.000145519,0.999857,6.89657e-05,-0.707021,1.00036
-0.988259,0.00435971,0.995652,7.86553e-05,-0.704028,1.00035
-0.978652,0.0142733,0.98583,8.94613e-05,-0.697062,1.00035
-0.969046,0.029719,0.97072,0.000101497,-0.686354,1.00034
-0.95944,0.050531,0.950727,0.000114889,-0.672191,1.00033
-0.949833,0.0765451,0.926313,0.000129778,-0.6549,1.00032
-0.940227,0.107599,0.89799,0.000146324,-0.634843,1.00031
-0.93062,0.143531,0.866295,0.000164707,-0.6124,1.0003
-0.921014,0.184184,0.831785,0.000185129,-0.587964,1.00029
-0.911408,0.229398,0.795014,0.000207819,-0.561927,1.00028
-0.901801,0.279018,0.756528,0.000233036,-0.534676,1.00027
-0.892195,0.33289,0.71685,0.000261074,-0.506579,1.00025
-0.882588,0.390861,0.676475,0.000292269,-0.477987,1.00024
-0.872982,0.452781,0.635859,0.000326997,-0.44922,1.00022
-0.863376,0.518498,0.595415,0.000365691,-0.420573,1.0002
-0.853769,0.587867,0.555512,0.000408841,-0.392304,1.00018
-0.844163,0.66074,0.51647,0.000457002,-0.364639,1.00016
-0.834556,0.736974,0.478561,0.000510807,-0.337771,1.00014
-0.82495,0.816425,0.44201,0.000570977,-0.311857,1.00011
-0.815344,0.898952,0.406997,0.00063833,-0.287025,1.00008
-0.805737,0.984416,0.373658,0.000713796,-0.263369,1.00005
-0.796131,1.07268,0.342092,0.000798434,-0.240957,1.00001
-0.786524,1.1636,0.31236,0.000893445,-0.219833,0.999973
-0.776918,1.25705,0.284491,0.00100019,-0.200016,0.999929
-0.767312,1.3529,0.25849,0.00112023,-0.181506,0.999881
-0.757705,1.45101,0.234334,0.00125533,-0.164287,0.999827
-0.748099,1.55125,0.211983,0.00140747,-0.148327,0.999767
-0.738492,1.6535,0.191379,0.00157893,-0.133584,0.999701
-0.728886,1.75763,0.172454,0.00177227,-0.120007,0.999627
-0.71928,1.86351,0.155128,0.00199041,-0.107536,0.999544
-0.709673,1.97102,0.139315,0.00223664,-0.0961069,0.999451
-0.700067,2.08004,0.124926,0.00251467,-0.0856529,0.999348
-0.69046,2.19045,0.111867,0.00282872,-0.0761042,0.999231
-0.680854,2.30213,0.100046,0.00318352,-0.0673903,0.999101
-0.671247,2.41496,0.0893713,0.00358443,-0.0594407,0.998955
-0.661641,2.52883,0.0797524,0.00403746,-0.0521859,0.998791
-0.652035,2.64363,0.0711031,0.00454937,-0.0455579,0.998607
-0.642428,2.75924,0.0633402,0.00512775,-0.0394904,0.998399
-0.632822,2.87555,0.0563851,0.0057811,-0.0339192,0.998166
-0.623215,2.99246,0.050164,0.00651895,-0.0287825,0.997903
-0.613609,3.10986,0.0446074,0.0073519,-0.0240207,0.997607
-0.604003,3.22764,0.0396512,0.0082918,-0.0195764,0.997274
-0.594396,3.3457,0.0352358,0.0093518,-0.0153945,0.996899
-0.58479,3.46393,0.0313065,0.0105465,-0.0114216,0.996476
-0.575183,3.58224,0.0278133,0.0118921,-0.00760612,0.995999
-0.565577,3.70053,0.0247104,0.0134063,-0.00389794,0.995463
-0.555971,3.81871,0.0219563,0.0151089,-0.000248003,0.994858
-0.546364,3.93666,0.0195133,0.0170214,0.00339188,0.994178
-0.536758,4.05431,0.0173475,0.0191675,0.00706934,0.993411
-0.527151,4.17156,0.0154282,0.0215728,0.0108318,0.992549
-0.517545,4.28832,0.0137281,0.0242653,0.0147266,0.99158
-0.507939,4.40449,0.0122223,0.0272755,0.0188017,0.99049
-0.498332,4.52,0.010889,0.030636,0.0231053,0.989266
-0.488726,4.63476,0.00970847,0.0343821,0.0276865,0.987892
-0.479119,4.74868,0.00866315,0.0385514,0.0325953,0.986351
-0.469513,4.86168,0.00773749,0.043184,0.0378829,0.984625
-0.459907,4.97368,0.00691766,0.0483224,0.0436015,0.982692
-0.4503,5.0846,0.00619137,0.0540113,0.0498047,0.980532
-0.440694,5.19437,0.00554774,0.0602978,0.056547,0.978118
-0.431087,5.3029,0.00497715,0.0672306,0.063884,0.975427
-0.421481,5.41013,0.00447109,0.0748601,0.0718723,0.972428
-0.411875,5.51597,0.00402202,0.0832383,0.080569,0.969091
-0.402268,5.62037,0.00362331,0.0924177,0.0900313,0.965384
-0.392662,5.72325,0.00326908,0.102451,0.100316,0.961273
-0.383055,5.82454,0.00295417,0.113392,0.111481,0.956718
-0.373449,5.92418,0.00267402,0.125291,0.123579,0.951683
-0.363843,6.0221,0.00242459,0.138199,0.136665,0.946123
-0.354236,6.11824,0.00220234,0.152164,0.150789,0.939998
-0.34463,6.21254,0.00200415,0.16723,0.165996,0.933259
-0.335023,6.30493,0.00182727,0.183436,0.182329,0.925861
-0.325417,6.39537,0.00166927,0.200817,0.199823,0.917755
-0.315811,6.4838,0.001528,0.2194,0.218508,0.90889
-0.306204,6.57015,0.00140159,0.239206,0.238405,0.899215
-0.296598,6.65439,0.00128836,0.260245,0.259526,0.888678
-0.286991,6.73645,0.00118686,0.282517,0.281872,0.877228
-0.277385,6.81628,0.00109579,0.306013,0.305434,0.864812
-0.267779,6.89385,0.00101401,0.33071,0.33019,0.851378
-0.258172,6.9691,0.000940505,0.35657,0.356104,0.836878
-0.248566,7.04198,0.000874395,0.383544,0.383127,0.821264
-0.238959,7.11246,0.00081489,0.411565,0.411192,0.804488
-0.229353,7.18049,0.000761295,0.440553,0.44022,0.786509
-0.219746,7.24604,0.000712995,0.47041,0.470113,0.767289
-0.21014,7.30906,0.000669449,0.501022,0.500758,0.746792
-0.200534,7.36952,0.000630174,0.532259,0.532025,0.72499
-0.190927,7.42738,0.000594746,0.563977,0.56377,0.701859
-0.181321,7.48261,0.000562787,0.596014,0.595831,0.677382
-0.171714,7.53518,0.000533966,0.628195,0.628035,0.651549
-0.162108,7.58506,0.000507985,0.660333,0.660193,0.624359
-0.152502,7.63222,0.000484586,0.692228,0.692107,0.595817
-0.142895,7.67663,0.000463535,0.723673,0.723568,0.565938
-0.133289,7.71827,0.00044463,0.75445,0.75436,0.534745
-0.123682,7.75711,0.00042769,0.78434,0.784264,0.502271
-0.114076,7.79314,0.000412556,0.813119,0.813055,0.468558
-0.10447,7.82633,0.000399088,0.840565,0.840512,0.433659
-0.0948632,7.85666,0.000387164,0.866458,0.866415,0.397633
-0.0852568,7.88412,0.000376678,0.890586,0.890551,0.360551
-0.0756504,7.90869,0.000367535,0.912744,0.912717,0.322491
-0.066044,7.93036,0.000359657,0.932742,0.932722,0.283542
-0.0564376,7.94912,0.000352974,0.950404,0.950389,0.243797
-0.0468312,7.96495,0.000347431,0.965571,0.965561,0.203359
-0.0372248,7.97784,0.000342979,0.978107,0.9781,0.162336
-0.0276184,7.9878,0.000339581,0.987895,0.987891,0.120842
-0.018012,7.99481,0.000337209,0.994845,0.994844,0.0789938
-0.0084056,7.99887,0.000335843,0.998893,0.998893,0.0369136
0.0012008,7.99998,0.000335471,1,1,-0.00527532
0.0108072,7.99813,0.000336091,0.998156,0.998155,-0.0474487
0.0204136,7.99333,0.000337707,0.993378,0.993376,-0.0894823
0.03002,7.98559,0.000340333,0.985711,0.985707,-0.131253
0.0396264,7.9749,0.000343992,0.975226,0.975219,-0.17264
0.0492328,7.96127,0.000348712,0.962021,0.96201,-0.213528
0.0588392,7.9447,0.000354536,0.946216,0.9462,-0.253802
0.0684456,7.92522,0.000361512,0.927955,0.927933,-0.293358
0.078052,7.90282,0.000369699,0.9074,0.907371,-0.332093
0.0876584,7.87753,0.00037917,0.884731,0.884694,-0.369916
0.0972648,7.84935,0.000390007,0.860142,0.860097,-0.406741
0.106871,7.8183,0.000402306,0.833841,0.833785,-0.442492
0.116478,7.7844,0.000416178,0.806041,0.805974,-0.4771
0.126084,7.74767,0.00043175,0.776963,0.776884,-0.510507
0.13569,7.70812,0.000449165,0.74683,0.746737,-0.542664
0.145297,7.66579,0.000468589,0.715865,0.715757,-0.573532
0.154903,7.62069,0.000490207,0.684288,0.684162,-0.603079
0.16451,7.57284,0.000514229,0.652313,0.652168,-0.631284
0.174116,7.52229,0.000540894,0.620146,0.61998,-0.658135
0.183722,7.46905,0.00057047,0.587984,0.587795,-0.683628
0.193329,7.41316,0.000603263,0.556011,0.555797,-0.707767
0.202935,7.35464,0.000639616,0.524399,0.524158,-0.730564
0.212542,7.29354,0.000679917,0.493305,0.493033,-0.752038
0.222148,7.22989,0.000724605,0.46287,0.462565,-0.772212
0.231755,7.16372,0.000774174,0.433221,0.432878,-0.791119
0.241361,7.09507,0.000829186,0.404466,0.404082,-0.808793
0.250967,7.02398,0.000890274,0.376699,0.376271,-0.825274
0.260574,6.9505,0.000958155,0.349998,0.34952,-0.840606
0.27018,6.87467,0.00103364,0.324425,0.323891,-0.854835
0.279787,6.79653,0.00111764,0.300026,0.299431,-0.868009
0.289393,6.71614,0.00121121,0.276834,0.276171,-0.880179
0.298999,6.63353,0.00131551,0.254869,0.254131,-0.891396
0.308606,6.54876,0.00143189,0.234139,0.233316,-0.901712
0.318212,6.46188,0.00156185,0.21464,0.213724,-0.91118
0.327819,6.37295,0.00170712,0.19636,0.195339,-0.919851
0.337425,6.28202,0.00186963,0.179275,0.178138,-0.927775
0.347031,6.18914,0.0020516,0.163358,0.16209,-0.935004
0.356638,6.09437,0.00225553,0.148571,0.147158,-0.941585
0.366244,5.99778,0.00248427,0.134875,0.133299,-0.947565
0.375851,5.89942,0.00274103,0.122223,0.120464,-0.952989
0.385457,5.79937,0.00302948,0.110569,0.108604,-0.957901
0.395063,5.69767,0.00335376,0.0998599,0.097665,-0.962341
0.40467,5.59441,0.0037186,0.0900448,0.0875908,-0.966348
0.414276,5.48964,0.00412932,0.0810707,0.0783253,-0.969959
0.423883,5.38345,0.00459198,0.0728846,0.0698111,-0.973208
0.433489,5.27589,0.00511343,0.065434,0.0619909,-0.976127
0.443095,5.16704,0.00570144,0.0586675,0.0548078,-0.978747
0.452702,5.05698,0.00636479,0.0525349,0.0482055,-0.981094
0.462308,4.94578,0.00711339,0.0469879,0.0421285,-0.983196
0.471915,4.83352,0.00795848,0.0419801,0.0365226,-0.985075
0.481521,4.72028,0.00891269,0.0374672,0.0313346,-0.986753
0.491127,4.60614,0.00999028,0.0334074,0.0265124,-0.98825
0.500734,4.49119,0.0112073,0.0297612,0.0220053,-0.989585
0.51034,4.37551,0.0125818,0.0264914,0.0177634,-0.990774
0.519947,4.25918,0.014134,0.0235636,0.0137379,-0.991833
0.529553,4.14229,0.0158865,0.0209456,0.00988061,-0.992774
0.539159,4.02493,0.0178647,0.0186077,0.00614386,-0.993612
0.548766,3.9072,0.0200968,0.0165224,0.00248024,-0.994355
0.558372,3.78918,0.0226142,0.0146645,-0.00115767,-0.995016
0.567979,3.67097,0.0254519,0.0130109,-0.00481763,-0.995603
0.577585,3.55266,0.0286483,0.0115406,-0.00854799,-0.996124
0.587191,3.43436,0.0322461,0.0102343,-0.012398,-0.996586
0.596798,3.31616,0.036292,0.00907477,-0.0164183,-0.996997
0.606404,3.19816,0.0408373,0.00804611,-0.0206607,-0.997361
0.616011,3.08047,0.0459378,0.00713412,-0.0251791,-0.997684
0.625617,2.96318,0.0516543,0.00632601,-0.0300292,-0.997972
0.635223,2.84641,0.0580523,0.00561023,-0.0352689,-0.998227
0.64483,2.73026,0.0652022,0.00497647,-0.0409583,-0.998453
0.654436,2.61485,0.0731791,0.00441547,-0.0471598,-0.998655
0.664043,2.50027,0.0820629,0.00391896,-0.0539382,-0.998834
0.673649,2.38665,0.0919375,0.00347957,-0.0613602,-0.998993
0.683256,2.27409,0.10289,0.00309072,-0.0694943,-0.999135
0.692862,2.16272,0.115012,0.00274658,-0.0784104,-0.999262
0.702468,2.05265,0.128395,0.00244196,-0.0881788,-0.999375
0.712075,1.94399,0.143131,0.00217225,-0.09887,-0.999475
0.721681,1.83688,0.159314,0.00193338,-0.110553,-0.999565
0.731288,1.73143,0.177032,0.00172173,-0.123295,-0.999646
0.740894,1.62776,0.19637,0.00153412,-0.137159,-0.999718
0.7505,1.526,0.217404,0.00136772,-0.152201,-0.999783
0.760107,1.42628,0.240202,0.00122004,-0.168472,-0.999841
0.769713,1.32872,0.264816,0.00108889,-0.186012,-0.999893
