exact,signed,signedhat,absexact,squared
-0.0579096,-0.0577988,-0.0580149,0.0579096,20.1356
1.30013,1.34476,1.2488,1.30013,225.835
0.000164276,0.000174593,0.000153657,0.000164276,0.611891
-0.000249257,-0.000225317,-0.000273726,0.000249257,0.358438
-0.0355162,-0.0363893,-0.0346429,0.0355162,3.47725
-0.0983964,-0.106417,-0.0904065,0.0983964,23.6554
0.0143922,0.0143857,0.0143971,0.0143922,7.15106
0.0494525,0.0494326,0.0494666,0.0494525,19.7989
-0.000290941,-0.000279226,-0.000302977,0.000290941,1.21956
-0.590809,-0.136327,-0.974928,0.590809,1577.62
-0.0247079,-0.0246496,-0.0247659,0.0247079,8.37981
0.122018,0.127677,0.116353,0.122018,96.3932
-0.0879292,-0.0957835,-0.0801161,0.0879292,19.8084
0.00319766,0.0032109,0.00318346,0.00319766,0.512705
-0.0571188,-0.0601594,-0.0540822,0.0571188,3.48356
-0.00734468,-0.00733701,-0.00735291,0.00734468,0.153984
-0.0125576,-0.012346,-0.0127726,0.0125576,32.0321
0.0789378,0.0801363,0.0777126,0.0789378,41.511
0.019214,0.0192122,0.0192148,0.019214,4.69846
0.000357209,0.000396095,0.000318137,0.000357209,12.1683
-0.091981,-0.0923454,-0.0916149,0.091981,7.89949
-0.0360206,-0.0360387,-0.0360014,0.0360206,6.6165
0.0212563,0.0210968,0.0214164,0.0212563,24.0896
-0.141144,-0.142278,-0.140009,0.141144,9.58991
0.000285232,0.000416691,0.000153258,0.000285232,31.633
-0.00672123,-0.00671085,-0.00673158,0.00672123,7.08166
-0.0141314,-0.0140843,-0.0141789,0.0141314,5.19737
0.0290521,0.0288915,0.029212,0.0290521,6.2156
-0.189175,-0.179227,-0.199122,0.189175,156.433
-0.0402066,-0.0392849,-0.0411191,0.0402066,28.297
0.0119013,0.0118948,0.0119066,0.0119013,2.87017
-0.0137872,-0.0137433,-0.0138312,0.0137872,4.16031
0.00922356,0.00938165,0.00906453,0.00922356,28.4968
0.042519,0.0417568,0.0432782,0.042519,1.801
-0.080063,-0.0783186,-0.0818103,0.080063,48.7697
0.0437651,0.0425157,0.04501,0.0437651,5.53756
-0.00782476,-0.00722447,-0.00842358,0.00782476,22.6796
0.0115695,0.0115296,0.0116093,0.0115695,1.90116
0.00752741,0.00753585,0.0075177,0.00752741,0.166325
0.0114716,0.0114435,0.0114987,0.0114716,1.71305
0.0246527,0.0243798,0.0249254,0.0246527,6.63036
-0.00969727,-0.00963562,-0.00975912,0.00969727,12.6534
0.0633299,0.0637216,0.0629289,0.0633299,21.6362
0.0143765,0.0143306,0.0144205,0.0143765,0.528294
0.000683522,0.000696057,0.000669951,0.000683522,1.49216
-0.0194204,-0.0194085,-0.0194332,0.0194204,14.3205
-0.150275,-0.151511,-0.149038,0.150275,14.4966
0.0110907,0.0111807,0.0110006,0.0110907,5.05017
0.00412416,0.00402346,0.00422461,0.00412416,1.96088
-0.0291805,-0.0295652,-0.0287939,0.0291805,0.175266
0.0861612,0.0867355,0.0855621,0.0861612,29.7971
-0.0254767,-0.00380409,-0.0477508,0.0254767,396.393
-0.00485078,-0.00477509,-0.00492766,0.00485078,16.8029
0.0206503,0.0208725,0.0204294,0.0206503,13.7093
-0.0613342,-0.0613653,-0.0613037,0.0613342,6.0923
0.106884,0.107005,0.106762,0.106884,12.4764
-0.0222708,-0.0219528,-0.0225872,0.0222708,25.8181
-0.00330553,-0.00331503,-0.00329624,0.00330553,3.22306
-0.0140838,-0.0141599,-0.0140072,0.0140838,0.0890084
0.00180951,0.00189474,0.00172323,0.00180951,11.8115
-0.0231079,-0.0231193,-0.0230972,0.0231079,5.30066
0.00075414,0.000778084,0.000729987,0.00075414,5.87177
0.0143039,0.0143493,0.0142579,0.0143039,13.2754
0.00356348,0.00357976,0.00354702,0.00356348,10.1615
0.360193,0.53139,0.237354,0.360193,535.108
-0.0264128,-0.027178,-0.0256483,0.0264128,5.40476
-0.058615,-0.0609051,-0.056326,0.058615,5.71469
0.0244715,0.0249074,0.0240395,0.0244715,18.1779
0.000369659,0.000381358,0.000357288,0.000369659,4.04225
-0.000470177,-0.000372834,-0.000568356,0.000470177,25.0761
0.0199672,0.0200664,0.0198695,0.0199672,12.2651
-0.00170953,-0.00163467,-0.00178513,0.00170953,8.83909
-0.0292312,-0.0292607,-0.0292019,0.0292312,4.02814
-0.0124381,-0.0124555,-0.0124213,0.0124381,0.606321
0.015055,0.0220741,0.0084417,0.015055,228.24
-0.0083492,-0.00829696,-0.00840144,0.0083492,3.5883
-0.02547,-0.0257066,-0.0252343,0.02547,7.92861
0.00961168,0.023558,-0.00345948,0.00961168,259.661
-0.0135927,-0.0136373,-0.0135479,0.0135927,2.45872
0.000999129,-0.000310184,0.00230999,0.000999129,12.9324
0.00707185,0.00708451,0.00705883,0.00707185,4.29201
-0.000617271,-0.000565837,-0.000669868,0.000617271,1.30926
-0.00638236,-0.00632985,-0.00643521,0.00638236,3.18897
0.0133046,0.0133179,0.0132909,0.0133046,0.888395
0.127258,0.131049,0.123369,0.127258,77.3322
-0.0419159,-0.0428172,-0.0410142,0.0419159,0.898382
-0.00141904,-0.00136893,-0.00147023,0.00141904,6.23812
0.0593796,0.0592303,0.0595229,0.0593796,19.3732
0.126752,0.122961,0.130523,0.126752,17.4445
0.043112,0.041339,0.0448839,0.043112,3.39318
-0.0331724,-0.0314777,-0.0348718,0.0331724,94.6455
-0.0282821,-0.0282675,-0.0282972,0.0282821,2.27449
0.0505879,0.0503824,0.0507926,0.0505879,10.7546
-0.0910479,-0.0894607,-0.0926979,0.0910479,44.6771
0.00034573,0.000355069,0.000335465,0.00034573,0.70189
0.44085,0.473228,0.407153,0.44085,398.167
0.0249398,0.0245045,0.0253736,0.0249398,0.83933
-0.0101786,-0.0101801,-0.0101771,0.0101786,1.63142
0.00323433,0.00332029,0.00314829,0.00323433,11.1794
0.0248766,0.026425,0.0233953,0.0248766,56.7794
0.00137296,0.0013834,0.00136071,0.00137296,7.37091
0.0127574,0.00865077,0.0168317,0.0127574,22.1814
-0.0136804,-0.0136622,-0.0136983,0.0136804,3.20167
-0.00807057,-0.00804487,-0.00809693,0.00807057,0.847298
0.00713232,0.01059,0.00367889,0.00713232,125.011
-0.0080138,-0.00798432,-0.00804344,0.0080138,0.763144
0.0177406,0.0178091,0.0176707,0.0177406,6.96526
0.0820385,0.0820631,0.0820093,0.0820385,14.3408
0.0159653,0.015884,0.0160457,0.0159653,1.2809
