round,unc_md,unc_free,lev_md,lev_free,int1_md,int1_free,intRQ_md,intRQ_free
0,1.8683,1.8683,1.8683,1.8683,1.8683,1.8683,1.8683,1.8683
1,1.999,1.9266,0.66759,0.50828,1.352,1.3267,1.147,0.33453
2,2.2814,2.0052,0.17028,0.18656,0.86902,0.17727,0.16474,0.063487
3,2.3386,1.9262,0.34861,0.31417,0.30574,0.21572,0.19082,0.37701
4,2.3974,1.1902,0.43252,0.35674,0.1192,0.39439,0.14698,0.15344
5,2.4157,0.27524,0.45777,0.37798,0.19676,0.17566,0.066724,0.061463
6,2.4334,0.34116,0.51203,0.41288,0.013669,0.0054702,0.015027,0.0069431
7,2.4409,0.36756,0.54342,0.46245,0.051305,0.076761,0.056165,0.062495
8,2.3924,0.37865,0.5501,0.46604,0.022436,0.019854,0.0087293,0.012237
9,2.315,0.073859,0.55765,0.47513,0.035186,0.028108,0.041459,0.032838
10,1.8433,0.075155,0.41188,0.52959,0.008414,0.0057805,0.010144,0.0094
11,1.2335,0.10079,0.30406,0.53365,0.011483,0.012464,0.010736,0.009629
12,0.60879,0.098644,0.26554,0.5383,0.0055061,0.0041864,0.0043683,0.0043373
13,0.22648,0.060234,0.25818,0.53634,0.011775,0.013184,0.012071,0.011908
14,0.20183,0.047081,0.26468,0.54299,0.0044515,0.0040473,0.0044904,0.0045063
