round,unc,lev,cert,cert_sym,cert_worst
0,1.7867,1.8487,1.7867,1.7867,2.0839
1,1.9259,0.56988,0.46841,0.35172,1.91
2,1.9431,0.25377,0.22182,0.13043,1.8016
3,1.8794,0.28642,0.32116,0.21813,1.9412
4,1.8177,0.40323,0.27035,0.27752,1.7247
5,1.5039,0.43726,0.26378,0.18663,1.575
6,1.3834,0.4655,0.1441,0.12613,1.6976
7,0.81088,0.47144,0.10747,0.076843,1.7659
8,0.67694,0.48006,0.051527,0.05083,1.6051
9,0.6078,0.48681,0.11761,0.040932,1.659
10,0.62473,0.54386,0.067967,0.064833,1.6988
11,0.18419,0.57538,0.065494,0.055644,1.7163
12,0.15145,0.57709,0.051175,0.047301,1.7338
