phi,psi,nu
6.0,-78.0,0.0554
18.0,-78.0,0.0336
-30.0,-66.0,0.0995
-18.0,-66.0,0.2988
-6.0,-66.0,0.5670
6.0,-66.0,0.5321
18.0,-66.0,0.1906
30.0,-66.0,0.0336
-42.0,-54.0,0.0388
-30.0,-54.0,0.1754
-18.0,-54.0,0.4882
-6.0,-54.0,0.8324
6.0,-54.0,0.7395
18.0,-54.0,0.3241
30.0,-54.0,0.0606
-42.0,-42.0,0.0422
-30.0,-42.0,0.1899
-18.0,-42.0,0.5484
-6.0,-42.0,1.0000
6.0,-42.0,0.9599
18.0,-42.0,0.4502
30.0,-42.0,0.0874
-42.0,-30.0,0.0316
-30.0,-30.0,0.1544
-18.0,-30.0,0.5007
-6.0,-30.0,0.9762
6.0,-30.0,0.9500
18.0,-30.0,0.4324
30.0,-30.0,0.0809
-30.0,-18.0,0.1125
-18.0,-18.0,0.4263
-6.0,-18.0,0.8960
6.0,-18.0,0.8828
18.0,-18.0,0.3896
30.0,-18.0,0.0712
-30.0,-6.0,0.0656
-18.0,-6.0,0.2850
-6.0,-6.0,0.6186
6.0,-6.0,0.5923
18.0,-6.0,0.2433
30.0,-6.0,0.0427
-30.0,6.0,0.0446
-18.0,6.0,0.2645
-6.0,6.0,0.6041
6.0,6.0,0.5474
18.0,6.0,0.1752
6.0,18.0,0.0641
18.0,18.0,0.0479
-18.0,30.0,0.1711
-6.0,30.0,0.3721
6.0,30.0,0.3320
18.0,30.0,0.1106
-30.0,42.0,0.0342
-18.0,42.0,0.1599
-6.0,42.0,0.3384
6.0,42.0,0.3403
18.0,42.0,0.1678
30.0,42.0,0.0386
-18.0,54.0,0.1485
-6.0,54.0,0.3572
6.0,54.0,0.4268
18.0,54.0,0.2540
30.0,54.0,0.0659
-18.0,66.0,0.0691
-6.0,66.0,0.2065
6.0,66.0,0.4126
18.0,66.0,0.2431
30.0,66.0,0.0571
-18.0,78.0,0.0371
-6.0,78.0,0.1043
6.0,78.0,0.1399
