x,y
0.000,-0.990
0.000,-0.960
0.000,-0.930
0.000,-0.900
0.000,-0.870
0.000,-0.840
0.000,-0.810
0.000,0.510
0.000,0.540
0.000,0.570
0.000,0.600
0.000,0.630
0.000,0.660
0.000,0.690
0.000,0.720
0.000,0.750
0.000,0.780
0.000,0.810
0.000,0.840
0.000,0.870
0.000,0.900
0.000,0.930
0.000,0.960
0.000,0.990
0.000,1.020
0.000,1.050
0.000,1.080
0.000,1.110
0.000,1.140
0.000,1.170
0.000,1.200
0.000,1.230
0.000,1.260
0.000,1.290
0.000,1.320
0.000,1.350
0.000,1.380
0.000,1.410
0.000,1.440
0.000,1.470
0.030,-1.530
0.030,-1.500
0.030,-1.470
0.030,-1.440
0.030,-1.410
0.030,-1.380
0.030,-1.350
0.030,-1.320
0.030,-1.290
0.030,-1.260
0.030,-1.230
0.030,-1.200
0.030,-1.170
0.030,-1.140
0.030,-1.110
0.030,-1.080
0.030,-1.050
0.030,-1.020
0.030,-0.990
0.030,-0.960
0.030,-0.930
0.030,-0.900
0.030,-0.870
0.030,-0.840
0.030,-0.810
0.030,-0.780
0.030,-0.750
0.030,-0.720
0.030,-0.690
0.030,-0.660
0.030,-0.630
0.030,-0.600
0.030,-0.570
0.030,-0.540
0.030,-0.510
0.030,-0.480
0.030,-0.450
0.030,0.510
0.030,0.540
0.030,0.570
0.030,0.600
0.030,0.630
0.030,0.660
0.030,0.690
0.030,0.720
0.030,0.750
0.030,0.780
0.030,0.810
0.030,0.840
0.030,0.870
0.030,0.900
0.030,0.930
0.030,0.960
0.030,0.990
0.030,1.020
0.030,1.050
0.030,1.080
0.030,1.110
0.030,1.140
0.030,1.170
0.030,1.200
0.030,1.230
0.030,1.260
0.030,1.290
0.030,1.320
0.030,1.350
0.030,1.380
0.030,1.410
0.030,1.440
0.030,1.470
0.060,-1.530
0.060,-1.500
0.060,-1.470
0.060,-1.440
0.060,-1.410
0.060,-1.380
0.060,-1.350
0.060,-1.320
0.060,-1.290
0.060,-1.260
0.060,-1.230
0.060,-1.200
0.060,-1.170
0.060,-1.140
0.060,-1.110
0.060,-1.080
0.060,-1.050
0.060,-1.020
0.060,-0.990
0.060,-0.960
0.060,-0.930
0.060,-0.900
0.060,-0.870
0.060,-0.840
0.060,-0.810
0.060,-0.780
0.060,-0.750
0.060,-0.720
0.060,-0.690
0.060,-0.660
0.060,-0.630
0.060,-0.600
0.060,-0.570
0.060,-0.540
0.060,-0.510
0.060,-0.480
0.060,-0.450
0.060,0.510
0.060,0.540
0.060,0.570
0.060,0.600
0.060,0.630
0.060,0.660
0.060,0.690
0.060,0.720
0.060,0.750
0.060,0.780
0.060,0.810
0.060,0.840
0.060,0.870
0.060,0.900
0.060,0.930
0.060,0.960
0.060,0.990
0.060,1.020
0.060,1.050
0.060,1.080
0.060,1.110
0.060,1.140
0.060,1.170
0.060,1.200
0.060,1.230
0.060,1.260
0.060,1.290
0.060,1.320
0.060,1.350
0.060,1.380
0.060,1.410
0.060,1.440
0.060,1.470
0.090,-1.530
0.090,-1.500
0.090,-1.470
0.090,-1.440
0.090,-1.410
0.090,-1.380
0.090,-1.350
0.090,-1.320
0.090,-1.290
0.090,-1.260
0.090,-1.230
0.090,-1.200
0.090,-1.170
0.090,-1.140
0.090,-1.110
0.090,-1.080
0.090,-1.050
0.090,-1.020
0.090,-0.990
0.090,-0.960
0.090,-0.930
0.090,-0.900
0.090,-0.870
0.090,-0.840
0.090,-0.810
0.090,-0.780
0.090,-0.750
0.090,-0.720
0.090,-0.690
0.090,-0.660
0.090,-0.630
0.090,-0.600
0.090,-0.570
0.090,-0.540
0.090,-0.510
0.090,0.630
0.090,0.660
0.090,0.690
0.090,0.720
0.090,0.750
0.090,0.780
0.090,0.810
0.090,0.840
0.090,0.870
0.090,0.900
0.090,0.930
0.090,0.960
0.090,0.990
0.090,1.020
0.090,1.050
0.090,1.080
0.090,1.110
0.090,1.140
0.090,1.170
0.090,1.200
0.090,1.230
0.090,1.260
0.090,1.290
0.090,1.320
0.090,1.350
0.090,1.380
0.090,1.410
0.090,1.440
0.090,1.470
0.120,-1.530
0.120,-1.500
0.120,-1.470
0.120,-1.440
0.120,-1.410
0.120,-1.380
0.120,-1.350
0.120,-1.320
0.120,-1.290
0.120,-1.260
0.120,-1.230
0.120,-1.200
0.120,-1.170
0.120,-1.140
0.120,-1.110
0.120,-1.080
0.120,-1.050
0.120,-1.020
0.120,-0.990
0.120,-0.960
0.120,-0.930
0.120,-0.900
0.120,-0.870
0.120,-0.840
0.120,-0.810
0.120,-0.780
0.120,-0.750
0.120,-0.720
0.120,-0.690
0.120,-0.660
0.120,0.840
0.120,0.870
0.120,0.900
0.120,0.930
0.120,0.960
0.120,0.990
0.120,1.020
0.120,1.050
0.120,1.080
0.120,1.110
0.120,1.140
0.120,1.170
0.120,1.200
0.120,1.230
0.120,1.260
0.120,1.290
0.120,1.320
0.120,1.350
0.120,1.380
0.120,1.410
0.120,1.440
0.120,1.470
0.150,-1.530
0.150,-1.500
0.150,-1.470
0.150,-1.440
0.150,-1.410
0.150,-1.380
0.150,-1.350
0.150,-1.320
0.150,-1.290
0.150,-1.260
0.150,-1.230
0.150,-1.200
0.150,-1.170
0.150,-1.140
0.150,-1.110
0.150,-1.080
0.150,-1.050
0.150,-1.020
0.150,-0.990
0.150,-0.960
0.150,-0.930
0.150,-0.900
0.150,-0.870
0.150,-0.840
0.150,1.050
0.150,1.080
0.150,1.110
0.150,1.140
0.150,1.170
0.150,1.200
0.150,1.230
0.150,1.260
0.150,1.290
0.150,1.320
0.150,1.350
0.150,1.380
0.150,1.410
0.150,1.440
0.150,1.470
0.180,-1.530
0.180,-1.500
0.180,-1.470
0.180,-1.440
0.180,-1.410
0.180,-1.380
0.180,-1.350
0.180,-1.320
0.180,-1.290
0.180,-1.260
0.180,-1.230
0.180,-1.200
0.180,-1.170
0.180,-1.140
0.180,-1.110
0.180,-1.080
0.180,-1.050
0.180,-1.020
0.180,-0.990
0.180,1.260
0.180,1.290
0.180,1.320
0.180,1.350
0.180,1.380
0.180,1.410
0.180,1.440
0.180,1.470
0.210,-1.530
0.210,-1.500
0.210,-1.470
0.210,-1.440
0.210,-1.410
0.210,-1.380
0.210,-1.350
0.210,-1.320
0.210,-1.290
0.210,-1.260
0.210,-1.230
0.210,-1.200
0.210,-1.170
0.210,-1.140
0.210,1.470
0.240,-1.530
0.240,-1.500
0.240,-1.470
0.240,-1.440
0.240,-1.410
0.240,-1.380
0.240,-1.350
0.240,-1.320
0.270,-1.500
0.270,-1.470
