x,y
-0.690,-0.870
-0.690,-0.840
-0.660,-0.900
-0.660,-0.870
-0.630,-0.930
-0.630,-0.900
-0.630,-0.870
-0.600,-0.930
-0.600,-0.900
-0.570,-0.960
-0.570,-0.930
-0.540,-0.990
-0.540,-0.960
-0.540,-0.930
-0.510,-0.990
-0.510,-0.960
-0.480,-1.020
-0.480,-0.990
-0.480,-0.960
-0.450,-1.020
-0.450,-0.990
-0.420,-1.020
-0.420,-0.990
-0.390,-1.050
-0.390,-1.020
-0.360,-1.050
-0.360,-1.020
-0.330,-1.050
-0.330,-1.020
-0.300,-1.080
-0.300,-1.050
-0.270,-1.080
-0.270,-1.050
-0.240,-1.080
-0.240,-1.050
-0.210,-1.080
-0.210,-1.050
-0.180,-1.110
-0.180,-1.080
-0.180,-1.050
-0.150,-1.110
-0.150,-1.080
-0.120,-1.110
-0.120,-1.080
-0.090,-1.110
-0.090,-1.080
-0.060,-1.110
-0.060,-1.080
-0.030,-1.110
-0.030,-1.080
0.000,-1.110
0.000,-1.080
0.030,-1.110
0.030,-1.080
0.060,-1.110
0.060,-1.080
0.090,-1.110
0.090,-1.080
0.120,-1.110
0.120,-1.080
0.150,-1.110
0.150,-1.080
0.150,-1.050
0.180,-1.080
0.180,-1.050
0.210,-1.080
0.210,-1.050
0.240,-1.080
0.240,-1.050
0.270,-1.080
0.270,-1.050
0.300,-1.050
0.300,-1.020
0.330,-1.050
0.330,-1.020
0.360,-1.050
0.360,-1.020
0.390,-1.020
0.390,-0.990
0.420,-1.020
0.420,-0.990
0.450,-1.020
0.450,-0.990
0.450,-0.960
0.480,-0.990
0.480,-0.960
0.510,-0.990
0.510,-0.960
0.510,-0.930
0.540,-0.960
0.540,-0.930
0.570,-0.930
0.570,-0.900
0.600,-0.930
0.600,-0.900
0.600,-0.870
0.630,-0.900
0.630,-0.870
0.660,-0.870
0.660,-0.840
0.690,-0.870
0.690,-0.840
0.690,-0.810
