T_K,t_ns,rms_median_A,rms_q95_A,max_single_A,n_frames
1.000000000000000000e+03,6.250000006249999997e-03,2.763858373822841719e-01,3.062561100679671022e-01,1.030460505452399422e+00,5.002000000000000000e+03
1.000000000000000000e+03,1.875000001875000086e-02,2.755321359788035496e-01,3.076719792162637135e-01,9.375692148119783020e-01,5.408000000000000000e+03
1.000000000000000000e+03,3.125000003125000259e-02,2.764090286711871070e-01,3.070817500214023110e-01,9.212727745662443457e-01,5.910000000000000000e+03
1.000000000000000000e+03,4.375000004375000084e-02,2.759045200769276729e-01,3.079414511427004952e-01,9.090382995178210024e-01,5.098000000000000000e+03
1.000000000000000000e+03,5.625000005624999910e-02,2.767404338353655069e-01,3.089690702429520597e-01,1.020983979956781473e+00,5.165000000000000000e+03
1.000000000000000000e+03,6.875000006875001124e-02,2.780252512935358911e-01,3.097847203033685659e-01,1.024592392168076183e+00,5.507000000000000000e+03
1.000000000000000000e+03,8.125000008124999562e-02,2.762223583789893411e-01,3.086742283953037846e-01,9.760861804744965786e-01,5.398000000000000000e+03
1.000000000000000000e+03,9.375000009375000776e-02,2.765519545137787305e-01,3.083423544698712937e-01,9.061531820877167798e-01,5.025000000000000000e+03
1.000000000000000000e+03,1.062500001062499921e-01,2.771894018629049716e-01,3.082017830886262244e-01,8.453969877736285943e-01,4.830000000000000000e+03
1.000000000000000000e+03,1.187500001187500043e-01,2.779518427522540414e-01,3.090927715166184031e-01,8.948095228230892317e-01,5.317000000000000000e+03
1.000000000000000000e+03,1.312500001312499887e-01,2.769794308016054196e-01,3.109088116847384398e-01,1.023317570912029018e+00,4.555000000000000000e+03
1.000000000000000000e+03,1.437500001437500008e-01,2.782356585296389961e-01,3.095022027764778860e-01,9.531209189881216792e-01,4.933000000000000000e+03
9.000000000000000000e+02,3.330000003329999531e-03,2.649662699040594704e-01,2.932307623590833523e-01,8.401133571018265522e-01,1.782000000000000000e+03
9.000000000000000000e+02,9.990000009989999027e-03,2.654072422156983357e-01,2.933766002543842788e-01,8.330747979044367257e-01,1.850000000000000000e+03
9.000000000000000000e+02,1.665000001664999896e-02,2.618759085729974179e-01,2.911607880822457139e-01,9.480218915456976037e-01,1.779000000000000000e+03
9.000000000000000000e+02,2.331000002330999715e-02,2.649857641904232453e-01,2.942391983243237696e-01,7.770863131592077311e-01,1.601000000000000000e+03
9.000000000000000000e+02,2.997000002996999535e-02,2.635526589842449585e-01,2.931691301896189317e-01,8.329511897604414683e-01,1.452000000000000000e+03
9.000000000000000000e+02,3.663000003663000048e-02,2.649962561753886892e-01,2.943200340539582904e-01,7.986402024470130590e-01,1.047000000000000000e+03
9.000000000000000000e+02,4.329000004328999174e-02,2.650345296065831358e-01,2.921496333616022123e-01,8.726145107949634383e-01,1.447000000000000000e+03
9.000000000000000000e+02,4.995000004994999687e-02,2.628520315183011657e-01,2.900256829965544014e-01,8.260883592680224874e-01,1.434000000000000000e+03
9.000000000000000000e+02,5.661000005660998813e-02,2.638962526274776232e-01,2.940461835560687076e-01,7.603762658996041646e-01,1.432000000000000000e+03
9.000000000000000000e+02,6.327000006326999326e-02,2.657792235028261785e-01,2.967573604434217693e-01,8.459482024941069600e-01,1.405000000000000000e+03
9.000000000000000000e+02,6.993000006992999840e-02,2.627404035741416344e-01,2.931250105293836672e-01,8.184397544411337044e-01,1.308000000000000000e+03
9.000000000000000000e+02,7.659000007658998965e-02,2.628192799709911931e-01,2.904902549994173300e-01,8.029141737696298131e-01,1.630000000000000000e+03
8.000000000000000000e+02,1.456791668123458457e-02,2.505030989160002552e-01,2.759880057132577669e-01,7.703383714482144873e-01,2.723000000000000000e+03
8.000000000000000000e+02,4.370375004370375543e-02,2.502874006628613701e-01,2.778810349921306266e-01,7.907110465049723702e-01,2.298000000000000000e+03
8.000000000000000000e+02,7.283958340617292804e-02,2.496670990711003790e-01,2.778800513636343061e-01,8.352680414902623474e-01,2.645000000000000000e+03
8.000000000000000000e+02,1.019754167686420937e-01,2.486239488129393937e-01,2.751099344467932140e-01,7.671532373264376981e-01,2.637000000000000000e+03
8.000000000000000000e+02,1.311112501311112732e-01,2.488512189117821904e-01,2.763433090816627691e-01,7.575865385040729816e-01,2.446000000000000000e+03
8.000000000000000000e+02,1.602470834935804389e-01,2.516501855461499293e-01,2.788355265467608590e-01,8.146289112618735340e-01,2.785000000000000000e+03
8.000000000000000000e+02,1.893829168560496046e-01,2.477145523130785121e-01,2.744604460617905417e-01,8.101911164778707874e-01,3.175000000000000000e+03
8.000000000000000000e+02,2.185187502185187702e-01,2.477651177751631351e-01,2.756902060542152921e-01,7.736685824060254291e-01,2.998000000000000000e+03
8.000000000000000000e+02,2.476545835809879637e-01,2.489441618228881437e-01,2.775863739000963837e-01,7.747093836733077721e-01,1.742000000000000000e+03
8.000000000000000000e+02,2.767904169434571293e-01,2.489398255917741332e-01,2.768489533829291971e-01,8.520440110362315078e-01,2.582000000000000000e+03
8.000000000000000000e+02,3.059262503059262950e-01,2.491047434661672610e-01,2.772153700482725691e-01,8.964247300487167003e-01,2.228000000000000000e+03
8.000000000000000000e+02,3.350620836683954606e-01,2.495637157894672331e-01,2.769876060304455323e-01,9.179488827072437296e-01,2.375000000000000000e+03
7.000000000000000000e+02,1.458333334791666637e-02,2.347255670208621692e-01,2.601181968921995047e-01,7.415323108074987069e-01,2.742000000000000000e+03
7.000000000000000000e+02,4.375000004375000084e-02,2.353645692584234173e-01,2.592317737133315037e-01,8.340326825391373156e-01,1.795000000000000000e+03
7.000000000000000000e+02,7.291666673958333011e-02,2.334056620147406391e-01,2.615689938094891698e-01,7.444370760784843055e-01,1.829000000000000000e+03
7.000000000000000000e+02,1.020833334354166733e-01,2.340689320312422383e-01,2.597085578003018314e-01,7.113613359916199919e-01,2.369000000000000000e+03
7.000000000000000000e+02,1.312500001312499887e-01,2.342691838462406528e-01,2.603766691925958887e-01,7.445523162278138152e-01,3.064000000000000000e+03
7.000000000000000000e+02,1.604166668270833318e-01,2.351864799861442534e-01,2.617996769647939481e-01,7.631895083114615952e-01,2.278000000000000000e+03
7.000000000000000000e+02,1.895833335229166750e-01,2.344309774108798150e-01,2.603714729629231783e-01,8.968736250983582181e-01,2.611000000000000000e+03
7.000000000000000000e+02,2.187500002187499903e-01,2.330776659629577585e-01,2.582742275510949703e-01,7.165340218346930579e-01,2.256000000000000000e+03
7.000000000000000000e+02,2.479166669145833057e-01,2.315332113930514135e-01,2.580606731001895415e-01,6.994289247786926733e-01,2.291000000000000000e+03
7.000000000000000000e+02,2.770833336104166489e-01,2.337333223694539608e-01,2.580008463136851393e-01,8.164031483926097454e-01,1.575000000000000000e+03
7.000000000000000000e+02,3.062500003062499920e-01,2.334311502357713508e-01,2.586757537444701049e-01,7.139355257078700001e-01,2.465000000000000000e+03
7.000000000000000000e+02,3.354166670020833352e-01,2.350739134717261813e-01,2.629454237336882882e-01,7.059119331562543342e-01,2.380000000000000000e+03
