c_signed,force_rmse,exact_ln_ratio,lower,upper,first_order,var_nu,nu_mass_on_support,peak_dV_kT
1.100000000000000006e-01,2.999999999999999889e-01,-6.135201270719095046e-01,-6.136080223322413207e-01,-3.343874469130642124e-01,-4.613011934916932955e-01,2.889980914175612758e-01,5.727574233156988992e-01,1.331405722470442532e+00
-1.100000000000000006e-01,2.999999999999999889e-01,3.345797961971726520e-01,3.341870373050789267e-01,6.134076127242559240e-01,4.613011934916932955e-01,2.889980914175612758e-01,5.727574233156988992e-01,-1.331405722470442532e+00
1.600000000000000033e-01,2.999999999999999889e-01,-4.525037927407430383e-01,-4.525509211187130343e-01,-2.441069499841444224e-01,-3.351606093611541604e-01,2.123163226370816670e-01,4.697158010622272117e-01,1.187750349963168084e+00
-1.600000000000000033e-01,2.999999999999999889e-01,2.441889502320437888e-01,2.439135473401125298e-01,4.523575184746811417e-01,3.351606093611541604e-01,2.123163226370816670e-01,4.697158010622272117e-01,-1.187750349963168084e+00
2.200000000000000011e-01,2.999999999999999889e-01,-2.662244761535376703e-01,-2.662241870205526162e-01,-1.470857155729590193e-01,-1.974252605334083921e-01,1.190379177698488999e-01,3.382827944876610760e-01,9.839520074517202897e-01
-2.200000000000000011e-01,2.999999999999999889e-01,1.470633185433470602e-01,1.469012203149350215e-01,2.660396917625286184e-01,1.974252605334083921e-01,1.190379177698488999e-01,3.382827944876610760e-01,-9.839520074517202897e-01
2.999999999999999889e-01,2.999999999999999889e-01,-1.002139635458155209e-01,-1.001836325051427834e-01,-6.112090384205935006e-02,-7.760786359111168653e-02,3.858268214179140509e-02,1.850707778381987245e-01,7.082472139915586551e-01
-2.999999999999999889e-01,2.999999999999999889e-01,6.102381447258712482e-02,6.094678999936568170e-02,1.000095186624491150e-01,7.760786359111168653e-02,3.858268214179140509e-02,1.850707778381987245e-01,-7.082472139915586551e-01
4.000000000000000222e-01,2.999999999999999889e-01,-2.078218682852281743e-02,-2.075506567499431354e-02,-1.490579050260691651e-02,-1.743554572363297667e-02,5.799124928681582275e-03,7.418685354088139228e-02,4.247625064524702121e-01
-4.000000000000000222e-01,2.999999999999999889e-01,1.477421718596529619e-02,1.474059449207495813e-02,2.058986966446235342e-02,1.743554572363297667e-02,5.799124928681582275e-03,7.418685354088139228e-02,-4.247625064524702121e-01
5.200000000000000178e-01,2.999999999999999889e-01,-1.574465677076394886e-03,-1.560413411398320870e-03,-1.187672181346686225e-03,-1.287800161218146007e-03,3.717651453566952428e-04,1.928065748339419586e-02,2.097053187302143629e-01
-5.200000000000000178e-01,2.999999999999999889e-01,1.041944161223832838e-03,1.027529776013384744e-03,1.400271006065019388e-03,1.287800161218146007e-03,3.717651453566952428e-04,1.928065748339419586e-02,-2.097053187302143629e-01
6.600000000000000311e-01,2.999999999999999889e-01,2.005970087991533479e-03,2.011122723906536448e-03,2.023476915761816385e-03,2.095163906200759544e-03,1.234780186345625202e-05,3.347572992861928571e-03,9.057658970819229549e-02
-6.600000000000000311e-01,2.999999999999999889e-01,-2.177709039916758162e-03,-2.182795926849295191e-03,-2.170441734994015253e-03,-2.095163906200759544e-03,1.234780186345625202e-05,3.347572992861928571e-03,-9.057658970819229549e-02
8.199999999999999512e-01,2.999999999999999889e-01,5.280178149732052233e-03,5.279107063574350542e-03,5.279484029532853680e-03,5.354341250190832770e-03,3.769246552722321155e-07,4.932121620180205616e-04,4.142301793078714128e-02
-8.199999999999999512e-01,2.999999999999999889e-01,-5.432035281094853112e-03,-5.430863601449486752e-03,-5.430486635490983614e-03,-5.354341250190832770e-03,3.769246552722321155e-07,4.932121620180205616e-04,-4.142301793078714128e-02
